Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,SPE_Blank_FTICR_r1_08Feb23_Fir_300SA_P01_9395,SPE_Blank_FTICR_r2_10Feb23_Fir_300SA_P01_9463,SPE_Blank_FTICR_r3_10Feb23_Fir_300SA_P01_9510,Lab_Blank_r1_08Feb23_Fir_300SA_P01_9392,Lab_Blank_r1_08Feb23_Fir_300SA_P01_9415,Lab_Blank_r1_13Feb23_Fir_300SA_P01_9669,Lab_Blank_r2_09Feb23_Fir_300SA_P01_9442,Lab_Blank_r2_13Feb23_Fir_300SA_P01_9713,Lab_Blank_r2_13Feb23_Fir_300SA_P01_9736,Lab_Blank_r3_10Feb23_Fir_300SA_P01_9530,Lab_Blank_r3_10Feb23_Fir_300SA_P01_9554,Lab_Blank_r3_13Feb23_Fir_300SA_P01_9758
147.4273193,0,0,0,0,0,0,0,0,,,148.4345958,0,0,0,0,0,3257442.8,3365223.8,0,3014488.8,0,0,6160488.5,4937769.5,0
147.7417173,0,0,0,0,0,0,0,0,,,148.7489937,0,0,0,0,0,0,0,0,0,0,0,0,0,2400627.5
147.763411,0,0,0,0,0,0,0,0,,,148.7706874,0,0,0,0,0,12371552,12435884,0,10247322,0,0,20440534,16860842,0
148.2513181,0,0,0,0,0,0,0,0,,,149.2585946,0,0,0,0,0,5571666,5140043.5,3576221.5,5205189.5,4719679,5172602.5,4013248.8,2997881.5,7284553
148.2516638,0,0,0,0,0,0,0,0,,,149.2589403,0,0,0,0,0,0,0,2426894.3,2858995,0,0,2349953.3,0,3473097.8
148.2614359,0,0,0,0,0,0,0,0,,,149.2687124,0,0,0,0,0,3689762.3,2585378.8,0,2953799.3,0,0,0,0,0
151.9849146,0,0,0,0,0,0,0,0,,,152.9921911,0,0,0,0,0,0,0,0,0,0,0,0,0,2445161
151.9896316,0,0,0,0,0,0,0,0,,,152.9969081,0,0,0,0,0,0,0,3310115.3,0,3327443.8,2816694.3,0,0,0
154.5854342,0,0,0,0,0,0,0,0,,,155.5927107,0,0,3547417,3474286.5,2813991.8,0,0,0,0,0,0,0,0,0
154.5858239,0,0,0,0,0,0,0,0,,,155.5931003,0,0,9788077,9635494,7547935.5,0,0,0,0,0,0,0,0,0
155.5500568,0,0,0,0,0,0,0,0,,,156.5573333,0,0,0,0,0,0,0,0,0,0,0,4254068,3588642.8,0
156.539303,0,0,0,0,0,0,0,0,,,157.5465795,0,0,0,0,0,0,0,0,0,0,0,2722895,0,0
156.5396944,0,0,0,0,0,0,0,0,,,157.5469709,0,0,0,0,2680969.5,0,0,0,0,0,0,4722975,3251566,0
157.1185748,0,0,0,0,0,0,0,0,,,158.1258513,0,0,0,0,0,0,2510306,0,0,0,0,0,0,0
157.1194833,0,0,0,0,0,0,0,0,,,158.1267597,0,0,0,0,0,0,3177900,0,0,2402191.8,0,0,0,0
157.1198657,0,0,0,0,0,0,0,0,,,158.1271422,0,0,0,0,0,0,3577818,0,0,2460999.8,2407364,0,0,3530852
157.1200819,0,0,0,0,0,0,0,0,,,158.1273584,0,0,0,0,0,4138633.3,4113242,0,0,0,2593548,0,0,3469092
157.1203186,0,0,0,0,0,0,0,0,,,158.127595,0,0,0,0,0,4610137,0,0,0,0,0,0,0,0
157.1206344,0,0,0,0,0,0,0,0,,,158.1279109,0,0,0,0,2503355.8,0,0,2510675.5,0,0,0,3236445.5,2454155.3,0
157.1209417,0,0,0,0,0,0,0,0,,,158.1282182,0,0,0,0,0,0,0,3116523.3,0,2753687.8,3637236,0,0,0
157.1211626,0,0,0,0,0,0,0,0,,,158.1284391,0,0,0,0,3196715.8,0,0,0,0,3649871.8,0,0,0,0
157.1212957,0,0,0,0,0,0,0,0,,,158.1285722,0,0,0,0,0,0,0,0,0,4317071.5,0,0,0,0
157.1214237,0,0,0,0,0,0,0,0,,,158.1287002,0,0,0,0,0,0,0,0,0,4675471.5,0,0,0,0
157.1216627,0,0,0,0,0,0,0,0,,,158.1289392,0,0,0,0,4487023.5,0,0,0,0,0,0,0,4986251,0
157.1219814,0,0,0,0,0,0,0,0,,,158.1292579,0,0,0,0,0,0,0,0,0,6475191.5,0,7540797.5,0,0
157.1223171,0,0,0,0,0,0,0,0,,,158.1295935,0,0,0,0,0,0,0,0,0,0,0,8292109.5,0,0
157.1224481,0,0,0,0,0,0,0,0,,,158.1297245,0,0,0,0,0,0,0,0,0,0,0,9338413,0,0
157.1227149,0,0,0,0,0,0,0,0,,,158.1299913,0,0,10362050,9429508,0,21414256,0,0,0,0,11400964,0,0,0
157.1230424,0,0,0,0,0,0,0,0,,,158.1303189,0,0,10647714,0,8706228,0,0,0,0,9423519,0,0,0,0
157.1232678,0,0,0,0,0,0,0,0,,,158.1305442,0,0,10616086,10465060,8910356,21906232,0,8536443,21264920,0,12119564,10707513,9415907,17908376
157.1235797,0,0,0,0,0,0,0,0,,,158.1308562,0,0,10437218,10426452,0,0,20798658,0,0,0,0,0,9377259,18016612
157.1237646,0,0,0,0,0,0,0,0,,,158.1310411,0,0,10186802,0,0,0,0,0,0,0,0,0,9035611,17636036
157.1241541,0,0,0,0,0,0,0,0,,,158.1314305,0,0,0,0,0,0,0,0,0,0,0,9323725,0,0
157.1247908,0,0,0,0,0,0,0,0,,,158.1320672,0,0,0,0,5118275.5,0,0,0,0,0,0,6550333,0,0
157.1250334,0,0,0,0,0,0,0,0,,,158.1323099,0,0,0,0,0,0,0,0,0,4766943,0,5778085,0,0
157.1252077,0,0,0,0,0,0,0,0,,,158.1324842,0,0,0,0,0,0,0,0,0,4232303,0,0,0,0
157.1253507,0,0,0,0,0,0,0,0,,,158.1326272,0,0,0,0,0,0,0,0,0,3545351.3,0,0,0,0
157.1256812,0,0,0,0,0,0,0,0,,,158.1329576,0,0,0,0,2789571.3,0,0,0,0,0,3471283.5,2521021,2618426.8,0
157.1259826,0,0,0,0,0,0,0,0,,,158.133259,0,0,0,0,0,0,0,0,4080055.8,0,0,0,2407394.8,0
157.1262549,0,0,0,0,0,0,0,0,,,158.1335314,0,0,0,0,0,4071648.5,0,0,3521695.8,0,0,0,0,0
157.1264879,0,0,0,0,0,0,0,0,,,158.1337644,0,0,0,0,0,3671104.5,0,0,3939367.8,0,0,0,0,0
157.1267285,0,0,0,0,0,0,0,0,,,158.134005,0,0,0,0,0,0,3812169.3,0,3913095.8,0,0,0,0,0
157.1271801,0,0,0,0,0,0,0,0,,,158.1344566,0,0,2552089.8,0,0,0,0,0,3397167.5,0,2810019.3,0,0,0
157.1274965,0,0,0,0,0,0,0,0,,,158.134773,0,0,0,0,0,3437104.5,3162889,0,2922535.5,0,0,0,0,0
157.1280626,0,0,0,0,0,0,0,0,,,158.135339,0,0,0,0,0,2434504.3,0,0,0,0,0,0,0,0
158.1254671,0,0,0,0,0,0,0,0,,,159.1327436,0,0,0,0,0,0,0,0,0,0,0,0,0,2819411.8
158.1255971,0,0,0,0,0,0,0,0,,,159.1328736,0,0,0,0,0,0,0,0,0,0,0,0,0,2557075.8
158.125793,0,0,0,0,0,0,0,0,,,159.1330694,0,0,0,0,0,0,2699171,0,0,0,0,0,0,0
158.1260996,0,0,0,0,0,0,0,0,,,159.1333761,0,0,0,0,0,0,3048075,0,2709320.3,0,0,0,0,0
158.1264436,0,0,0,0,0,0,0,0,,,159.1337201,0,0,0,0,0,0,3220203,0,3201368.3,0,0,0,0,0
158.1266181,0,0,0,0,0,0,0,0,,,159.1338946,0,0,0,0,0,0,0,0,0,0,0,0,0,3609187.5
158.1268227,0,0,0,0,0,0,0,0,,,159.1340991,0,0,0,0,0,3099738.8,0,0,0,0,0,0,0,0
158.1270661,0,0,0,0,0,0,0,0,,,159.1343426,0,0,0,0,0,0,3046259,0,3119992.3,0,0,0,0,3167059.5
158.1272581,0,0,0,0,0,0,0,0,,,159.1345346,0,0,0,0,0,0,0,0,0,0,0,0,0,2583755.5
158.127542,0,0,0,0,0,0,0,0,,,159.1348185,0,0,0,0,0,2943582.8,2824907,0,2487040,0,0,0,0,2716099.5
158.1279937,0,0,0,0,0,0,0,0,,,159.1352701,0,0,0,0,0,2559110.8,0,0,0,0,0,0,0,0
160.6697297,0,0,0,0,0,0,0,0,,,161.6770062,0,0,0,0,0,0,0,0,0,2476210,0,0,0,3670877.5
161.1482056,0,0,0,0,0,0,0,0,,,162.155482,0,0,0,0,0,0,0,0,0,0,2837201.5,0,0,0
161.5803712,0,0,0,0,0,0,0,0,,,162.5876476,0,0,0,0,0,0,0,0,0,2390083,0,0,0,0
