"CoreID","pre","inc"
"out_Wein_51407_PBlank1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9650.XML","-6",NA
"out_Wein_51407_PBlank1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9694.XML","-6",NA
"out_Wein_51407_PBlank1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9739.XML","-2",NA
"out_Wein_51407_PBlank2_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9667.XML","-6",NA
"out_Wein_51407_PBlank2_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9733.XML","-2",NA
"out_Wein_51407_PBlank2_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9772.XML","-2",NA
"out_Wein_51407_PBlank3_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9690.XML","-6",NA
"out_Wein_51407_PBlank3_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9699.XML","-6",NA
"out_Wein_51407_PBlank3_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9762.XML","-6",NA
"out_Wein_51407_PooledQC1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9649.XML","-6",NA
"out_Wein_51407_PooledQC1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9701.XML","-2",NA
"out_Wein_51407_PooledQC1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9753.XML","-2",NA
"out_Wein_51407_1_B.2.3_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9651.XML","-6","4"
"out_Wein_51407_1_B.2.3_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9726.XML","-6","4"
"out_Wein_51407_1_B.2.3_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9744.XML","-2","4"
"out_Wein_51407_2_Pre.6.3_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9652.XML","-6","Pre"
"out_Wein_51407_2_Pre.6.3_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9716.XML","-6","Pre"
"out_Wein_51407_2_Pre.6.3_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9741.XML","-6","Pre"
"out_Wein_51407_3_C.6.3_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9653.XML","-6","6"
"out_Wein_51407_3_C.6.3_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9693.XML","-6","6"
"out_Wein_51407_3_C.6.3_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9759.XML","-6","6"
"out_Wein_51407_4_B.2.2_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9654.XML","-6","4"
