Lipid,Wein_51407_10_E_6_3_L,Wein_51407_11_D_2_2_L,Wein_51407_12_E_6_1_L,Wein_51407_13_E_2_3_L,Wein_51407_14_C_2_2_L,Wein_51407_15_D_6_2_L,Wein_51407_16_A_6_2_L,Wein_51407_17_A_6_3_L,Wein_51407_18_B_6_3_L,Wein_51407_19_A_2_1_L,Wein_51407_1_B_2_3_L,Wein_51407_20_Pre_2_3_L,Wein_51407_21_B_6_2_L,Wein_51407_22_Pre_2_2_L,Wein_51407_23_D_6_1_L,Wein_51407_24_D_2_1_L,Wein_51407_25_A_6_1_L,Wein_51407_26_C_6_1_L,Wein_51407_27_E_6_2_L,Wein_51407_28_C_2_3_L,Wein_51407_29_A_2_3_L,Wein_51407_2_Pre_6_3_L,Wein_51407_30_C_2_1_L,Wein_51407_31_B_2_1_L,Wein_51407_32_B_6_1_L,Wein_51407_33_A_2_2_L,Wein_51407_34_D_2_3_L,Wein_51407_35_Pre_6_1_L,Wein_51407_36_Pre_2_1_L,Wein_51407_3_C_6_3_L,Wein_51407_4_B_2_2_L,Wein_51407_5_C_6_2_L,Wein_51407_6_D_6_3_L,Wein_51407_7_Pre_6_2_L,Wein_51407_8_E_2_2_L,Wein_51407_9_E_2_1_L
Cer(d16:0/16:3),21.5969549640303,20.6092630410828,21.2145963085619,21.2522862762487,21.241920803738,20.4522411530211,21.4032409891222,21.1032433532391,21.7806416047209,21.2038686322716,21.3527331438187,20.9055021599945,21.4416586318293,22.0964703460261,21.6099206383056,20.7373954830907,21.3940589608458,20.9107682024158,20.8974110741413,21.7227356920768,20.9590765016169,21.4849304968194,20.8367208549522,21.3528243390137,20.7473522540093,20.510257466678,20.893641478652,21.8991862919794,21.7432806322367,20.2823209923869,21.2747809400887,21.4492342844015,21.3878811251474,20.9590251069444,21.22527929676,20.8541816638377
Cer(d16:0/18:2),19.6660748725341,20.3958594029736,20.0975568873717,19.6363574248443,19.9224609644413,19.6234147006606,19.4023690065989,20.1791922064724,19.7432664779219,20.5064314022921,20.3120911593214,20.1310618604097,19.7831670956862,19.8111453571652,19.0946580054671,19.786659386213,19.3839189305294,18.4947179301639,19.4562843459938,19.0683871284844,19.007170789818,20.503913600187,19.0467368784865,19.7849860160838,18.0587261941146,19.049623100959,18.7110289593009,19.2432572699041,18.7976365511859,20.1522604518225,19.0608672453927,20.4205229877599,20.5917534585131,19.4489060748583,20.3557492286554,18.8572809024966
Cer(d16:0/20:0),23.9748808402029,24.5576302726675,24.3572007040047,24.7910257602092,24.4347202714329,24.7313843814116,24.3988757965608,24.5555680853822,24.6114554996025,24.9542964862444,24.7526637507073,25.3891112622293,24.6853352810523,24.6700607739273,24.4892067725195,24.4667478931471,24.6470004455419,24.4043076753734,24.8847515021699,24.7639583548033,24.6837637660047,24.738378853824,24.7971408469776,25.0474550960216,24.3323147547305,25.033819422735,25.0760701605512,25.2326100257046,24.8421271751125,25.1213075234936,24.6944842506625,24.716851259411,25.0623256347556,24.7998915672229,25.1062106653058,24.6976468793046
Cer(d18:0/14:0),22.1907722626376,22.9002034434865,21.7487096677873,22.4834055020057,22.4401135302031,22.9082621434957,22.6361799273012,22.6194402685485,22.1500279917271,22.6412739445789,22.1828081423764,23.3766562636564,22.6205167580416,22.7933410963021,22.3943475861781,22.5938046294619,22.6645588169262,22.4830196513874,23.1264365878102,22.369098737462,22.2980205735199,22.3179881200509,22.677677180376,22.9160917686356,22.5738159990146,22.7772938030693,22.1179321832108,22.7683996844441,22.1940428620326,23.277649552663,21.9967137192974,22.2330470125917,22.2913326367892,23.1157046875989,22.7140947221784,23.2442812613666
Cer(d18:0/14:0)_A,19.61435983599,19.282819465073,19.0729648991893,19.090969431664,19.5989907047456,19.467152862425,19.1700571060649,19.3110799386204,19.4057204222197,19.4768871266781,19.5333053894605,19.5076252118739,19.8386622082779,20.1360822019249,20.1803348304576,19.8679795929009,20.0466458944037,19.5926316866909,19.946217251916,19.8847401776793,19.8577931657798,19.8209300665169,19.7044135628481,19.7412400861133,19.9222557495644,19.7143981834582,20.1207749329797,19.695396395975,19.9686227479986,19.570017452455,19.6037294626538,19.4421098499681,19.7742979464865,19.9776407851118,19.8349642268923,20.1094387190797
Cer(d18:0/14:0)_B,22.7757347633587,23.350730027484,23.1523809121162,23.1573189256366,24.0675112972446,23.3653637023411,22.9454429185449,23.1353759741799,22.3545246595616,23.1917957999711,22.7496232963873,24.4258438132839,22.7236102510057,22.7952456444875,22.961458210942,23.6187509865921,23.7978253477896,21.9556224382001,22.8440815717352,23.1204196246053,23.2312515613072,23.0873036810894,22.3109494755176,24.3365836980065,23.0499150240298,23.1300617166115,22.2792951711497,23.3568681286667,23.1401184573161,23.833730933397,22.6536308667889,22.7923269892869,23.0481317531728,23.7329849085928,23.8703224014851,23.8657696381129
Cer(d18:0/15:0),22.1857190349113,23.2816883830543,22.0058014906262,24.0572519705327,23.3627090265175,23.9336474619156,22.6080928291495,22.890028068814,22.8899199460059,23.3870904563274,23.790138456126,24.7622069984348,23.2906508437296,22.8197786562314,22.8121837188096,23.5338620890056,23.0871390784223,22.7072348083307,23.5628234072825,23.125173154576,23.3290988847054,23.2963743069449,23.231161449624,23.4666442385709,22.6951222952368,24.0127578072072,22.947473542021,23.3708073196246,22.5908181549187,24.2381211884764,23.2049413150201,23.3912286809659,23.6303747525404,24.1365632924966,23.2028419076402,23.6703739491545
Cer(d18:0/16:0(2OH))_A,24.3584535699404,25.0271155559687,25.3782623195326,25.0331395144159,25.3047616773082,25.3715688518678,24.649102426094,24.9750514896922,24.3734662232151,24.737847204274,24.8445862401484,24.8608912732942,24.2968559932563,25.0628723549712,24.6851269824948,24.4894679696472,24.4785468313162,24.4310250137492,24.7939225239698,24.2215415490482,24.4858243883928,24.8305486977518,24.3725172988695,25.7276043161668,24.4354082476946,24.8748298989739,24.154458059236,23.8991862919794,25.073452721219,25.4639445152131,24.5967090349761,24.716851259411,25.0161964640264,25.2778271008451,25.6613138773338,25.6341304285546
Cer(d18:0/16:0(2OH))_B,21.9995677190544,23.4796277606662,22.4356498016901,22.9341826553325,22.3717683658049,23.262270209377,23.135841390727,23.6860380172776,22.8767043265018,22.883817824625,22.9242751287775,23.8962243464065,23.2528488110172,22.7605730668327,22.8330021903172,23.1115197891035,23.2006117171664,22.6807625969695,23.3806200760617,22.7059110694354,22.8313209544186,23.0425653663241,22.9110002809108,22.9732356757392,22.6235690342117,23.3176123887356,22.3488361044028,23.3708073196246,22.9633089481021,23.7349527789188,22.8165858583937,22.9260054245188,23.4692694519881,23.4626271619532,23.4297498100991,23.9768009505016
Cer(d18:0/16:0)_A,24.1472448870967,24.4863936393398,23.9373632469108,24.124218026841,24.1739226602774,24.8909835324775,24.2762459445079,24.2561268463017,24.0057784246605,24.4631405729168,24.3039020894842,25.2275191729123,24.7734057368531,24.2589575800403,24.246171363392,24.1072881250409,24.4006944968097,24.5105907815592,25.1515406921424,24.2300843315781,24.0774982704565,24.1209988779047,24.1819208512658,24.7422028762789,24.1466271558048,24.5899240508449,24.3363116147923,24.2062663626256,24.1553425947789,25.0091355408343,23.9508134875624,24.4607856941182,24.5806802830881,25.0698794179062,24.6439939924917,24.75543452282
