Metabolite,Tags,RefMet Nomenclature,Main class, Sub class,Wein_Pblank_1,Wein_Pblank_2,Wein_Pblank_3,Wein_1_B_2_3,Wein_2_Pre_6_3,Wein_3_C_6_3,Wein_4_B_2_2,Wein_5_C_6_2,Wein_6_D_6_3,Wein_7_Pre_6_2,Wein_8_E_2_2,Wein_9_E_2_1,Wein_10_E_6_3,Wein_11_D_2_2,Wein_12_E_6_1,Wein_13_E_2_3,Wein_14_C_2_2,Wein_15_D_6_2,Wein_16_A_6_2,Wein_17_A_6_3,Wein_18_B_6_3,Wein_19_A_2_1,Wein_20_Pre_2_3,Wein_21_B_6_2,Wein_22_Pre_2_2,Wein_23_D_6_1,Wein_24_D_2_1,Wein_25_A_6_1,Wein_26_C_6_1,Wein_27_E_6_2,Wein_28_C_2_3,Wein_29_A_2_3,Wein_30_C_2_1,Wein_31_B_2_1,Wein_32_B_6_1,Wein_33_A_2_2,Wein_34_D_2_3,Wein_35_Pre_6_1,Wein_36_Pre_2_1,Alternative Identifications
1-hexadecanol,Confirmed ID (HIgh Confidence),Cetyl alcohol,Fatty alcohols,Fatty alcohols,0,2011.172353,3028.306073,8921.188318,6632.491347,14873.28087,8118.758462,11626.1524,10843.94151,14547.90152,8428.919396,19088.90631,4511.444937,16827.72056,6464.083837,11379.69694,11031.8541,12185.41819,12540.35664,12454.05796,9287.58092,15026.16969,10117.80058,15229.35889,13606.95517,8050.714783,10158.3836,13494.25987,10445.31174,11690.50469,11041.94126,12101.26297,9718.17959,14834.99853,9536.729981,12219.12675,13011.66931,8095.479278,10626.78463,"[2682] 1-hexadecanol [18.045](0.98634);[2682] 1-hexadecanol, (cetyl alcohol) [18.108](0.95507);"
2-furoic acid,Confirmed ID (HIgh Confidence),2-Furoic acid,Furoic acids,Furoic acid derivatives,12564.65061,27669.56837,17759.87374,6092.950868,49950.51571,27687.06645,67498.54441,53580.7638,74238.23407,32473,53474.84652,44385.7151,84862.95131,93406.87429,153563.9081,117389.1062,108834,35763.68692,75659.02757,58697.28595,21151.71593,29227.20368,4820.901353,12216.95456,11622.47859,35694.80852,55992.99298,12627.89114,11361.48697,16911.07883,41812.46852,35889.25679,62803.12972,60148.28077,44425.90804,60346,61142.0023,58981.8947,22291.93685,[6919] 2-furoic acid [8.073](0.778522);
2-phenylacetamide,Confirmed ID (HIgh Confidence),2-Phenylacetamide,Amines,Aralkylamines,0,3461.744534,1100.5056,112772.2168,68033.84484,94412.06152,99703.28265,115846.7736,99363.8342,151238.0256,127144.9719,117393.0709,84776.47478,103640.2239,92457.35958,127632.2019,122078.9978,82886.30612,107252.9269,81353.91871,70844.12603,71959.71487,67498.87602,118652.4864,78828.34153,100789.942,93966.61233,100415.6991,93686.13534,109569.1444,98451.42979,95291.08249,84749.86541,84074.70726,125840.651,132505.3645,112245.5907,100660.528,72834.63208,[7680] 2-phenylacetamide 1 [11.591](0.831204);L-threonine [major](0.760058);[45] tartronic acid [11.523](0.626717);
2-phenylacetic acid,Confirmed ID (HIgh Confidence),Phenylacetic acid,Phenolic acids,Phenolic acids,1358.48402,4875.192328,2428.235942,20255.90285,15374.70213,24413.6777,20221.29341,20152.18118,18410.8812,31891.86073,23125.79758,28927.91831,19406.69905,19131.44595,16484.79724,22092.09399,19199.72395,17080.00275,20367.43055,18788.21149,12546.52735,13912.47058,14657.26795,25808.08843,18216.6194,22130.81875,18711.71947,18474.82374,21456.57503,15048.41625,20858.79458,22089.47826,20538.28583,16622.08212,26047.61445,25280.32647,22151.12953,16118.11585,17152.97092,2-phenylacetic acid(0.748923);
3-hydroxybutyric acid,Confirmed ID (HIgh Confidence),3-Hydroxybutyric acid,Fatty acids,Hydroxy FA,14329.27442,17700.8909,13794.1766,119560.6372,276626.1095,120202.9294,204420.0258,233904.7193,120936.4536,237701.2573,155996.3503,126303.5908,138538.0358,92248.3352,175734.5909,163004.7412,161024.3546,111740.8294,168890.2003,99856.7656,123684.885,77138.70579,101653.3752,190982.7351,182184.1408,162591.1241,106129.8378,150158.9994,160765.8661,138906.8851,129753.5437,153420.0608,100486.8379,107811.7849,237078.4821,163825.8008,101458.5382,261725.5257,172105.3121,"[441] 3-hydroxybutyric acid [8.395](0.969813);[87] 3-hydroxyisobutyric acid [8.392](0.871873);1,4-butanediol(0.861625);[94220] lactamide 2 [8.394](0.741008);sulfate(0.676598);3-hydroxypropionic acid(0.663983);"
3-hydroxypentanoic acid,Confirmed ID (HIgh Confidence),-,,,0,2381.464012,0,23194.65952,24531.96062,49626.18069,18075.88019,18678.07347,51110.23495,49239.5431,25439.25243,25095.85485,19984.06659,13044.35027,15108.48423,24680.62106,10780.76451,14703.34847,18901.84428,12231.53998,14346.6291,11679.4232,34280.97457,34205.1615,19568.46203,17528.07927,2309.104298,29802.72398,34362.35138,36255.79261,24867.24735,17544.41014,13074.93658,10315.25745,28083.35642,29899.66433,7219.673932,31181.91112,23953.00562,"[107802] 3-hydroxypentanoic acid [9.486](0.883773);[1176] urea [9.599](0.704038);[8066] 2-butyne-1,4-diol [9.446](0.692675);"
4-aminobutyric acid (GABA),Confirmed ID (HIgh Confidence),4-Aminopentanoic acid,Fatty acids,Amino FA,4633.924463,9160.529709,55758.34305,58869.48725,78689.55888,78913.51753,51678.62869,67423.40803,54570.68753,95934.15461,67017.25499,58462.95963,48742.19274,46539.00651,67714.11083,61356.04876,50654.56268,40082.16426,57062.95917,42032.69422,52375.81107,27439.5525,60735.93836,73891.46793,81740.09496,69383.4369,47290.82947,77647.87976,71682.84909,50155.94001,28342.38513,42076.42307,13685.87941,25867.09043,84718.5047,67894.70747,52655.90266,67510.47521,70815.42664,4-aminobutyric acid (GABA)(0.778696);
4-hydroxy-3-methoxybenzoic acid (isovanillic acid),Confirmed ID (HIgh Confidence),Vanillic acid,Benzenes,Methoxybenzoic acids,1969.527278,7201.848564,124.8058053,19645.32994,22872.74071,24719.55156,27085.93696,13029.17002,27314.28165,19386.48298,16936.62171,25094.26694,21356.02442,17524.87419,11204.52244,16180.20607,20040.93271,31889.21711,24352.95861,22994.31509,21296.19272,23289.23344,21000.8095,34922.6929,21678.88945,28199.16975,30238.25793,32752.07578,35705.61678,15549.27327,22089.55753,16453.34023,23224.31359,7388.833634,26030.76765,20944.67212,27569.12626,12084.57006,18906.27301,4-hydroxy-3-methoxybenzoic acid (isovanillic acid)(0.816114);4-hydroxy-3-methoxybenzoic acid (vanillic acid)(0.774882);
4-hydroxybenzoic acid (p-salicylic acid),Confirmed ID (HIgh Confidence),4-Hydroxybenzoic acid,Phenolic acids,Phenolic acids,0,7414.752062,8048.26543,16182.39539,27426.14503,39114.41954,15194.75084,24897.24846,25635.64934,45918.15111,34345.99025,38316.97247,21458.9457,39263.80559,22492.04419,25202.82566,24380.71012,23821.85805,26459.52525,26169.12043,19949.33956,20048.70214,30698.45371,35184.54797,30716.7092,32040.15847,27327.77669,28909.93439,24501.77691,33907.68737,25311.91833,24283.20028,20850.42651,21854.81886,32297.41415,38598.3475,24306.16637,32720.67558,28593.09971,4-hydroxybenzoic acid (p-salicylic acid)(0.952111);
Arachidic acid,Confirmed ID (HIgh Confidence),Arachidic acid,Fatty acids,Saturated FA,6428.504714,26495.03411,23858.11039,46620.02936,42389.39817,79749.06664,53781.16081,54883.96227,48009.27404,102796.5871,60677.96035,97955.86049,47091.17583,56366.18523,48802.82068,61692.91008,56200.35929,54023.36912,61552.92496,48841.83995,31504.46599,37893.76976,57758.76588,82221.39327,45527.84024,60100.18302,56727.43602,56318.31958,61782.83105,58957.07486,62045.058,51353.46922,53696.40741,57075.60028,65689.39739,76709.34143,44747.10958,48512.80948,47019.78014,[10467] arachidic acid [22.367](0.983213);
