Sample.ID,Pre,inc,rep,UUID
Wein_19_A-2-1,-2,2,1,8656c258-a0e4-4755-81ed-f1d862112621
Wein_29_A-2-3,-2,2,3,04cbe581-cd60-44ff-8322-e3c9d0f83b9b
Wein_33_A-2-2,-2,2,2,5476356e-c64f-4057-80c1-f75c811fd36e
Wein_16_A-6-2,-6,2,2,23e00139-06b9-4e24-9999-02f36c313389
Wein_17_A-6-3,-6,2,3,0377bae3-d808-4dde-a8a3-9b68d5ef26de
Wein_25_A-6-1,-6,2,1,537028bc-b721-4650-9b07-7e9a120a86d5
Wein_1_B-2-3,-2,4,3,440dba45-293d-4a1b-bd7e-25ab39357fa2
Wein_4_B-2-2,-2,4,2,8245ad28-be7f-4252-a46d-5fd861c420f5
Wein_31_B-2-1,-2,4,1,1d3baff5-e4c8-4a89-a6c1-8cff831fec47
Wein_18_B-6-3,-6,4,3,a045cdb7-4657-4366-ab08-a49b9c9780ae
Wein_21_B-6-2,-6,4,2,ed8616cf-0423-43c6-a1dd-ec97431309c9
Wein_32_B-6-1,-6,4,1,44e660ac-df81-410a-b264-e345291f1872
Wein_14_C-2-2,-2,6,2,dd528c4e-3d60-40c8-b3a6-accce911cbf9
Wein_28_C-2-3,-2,6,3,3efde34c-2e51-4560-bfcb-164de36e563e
Wein_30_C-2-1,-2,6,1,96d60bed-37ab-4d96-818d-e43353b81425
Wein_3_C-6-3,-6,6,3,d8d73f99-589b-4559-97b6-107d71c0688c
Wein_5_C-6-2,-6,6,2,fce12027-06e4-41d8-9c98-645c90cdf058
Wein_26_C-6-1,-6,6,1,580e2f97-ae86-4b45-ae91-5f8be28d57f1
Wein_11_D-2-2,-2,8,2,a3edfe91-4286-4ded-9d74-6e59008a0f0b
Wein_24_D-2-1,-2,8,1,587708ea-5a51-49ee-b7b2-aaff43016145
Wein_34_D-2-3,-2,8,3,571d8331-5027-49c6-9ee0-362ed7654dc5
Wein_6_D-6-3,-6,8,3,48c5aae9-6684-4f19-bea2-28698eed6d5b
Wein_15_D-6-2,-6,8,2,dc8d0e75-f57d-4236-9ef5-523c6bd7e2e1
Wein_23_D-6-1,-6,8,1,da4b7b0d-51ea-43e9-9db0-768352f0dc52
Wein_8_E-2-2,-2,10,2,51bdcfb0-b98e-4b6d-9271-f857553c99ee
Wein_9_E-2-1,-2,10,1,1c00ea1c-ab85-41b9-9713-7f74f1aaa2fb
Wein_13_E-2-3,-2,10,3,4270be4e-67fc-4f42-811c-bb85d271bf86
Wein_10_E-6-3,-6,10,3,a5f82baa-555e-48ef-bc79-8febae160345
Wein_12_E-6-1,-6,10,1,3bac6092-7564-4731-8411-8b5f2df33f3f
Wein_27_E-6-2,-6,10,2,cefe1d73-c95e-430f-a38a-130e61f11fc9
Wein_Pblank_1,NA,NA,1,
Wein_Pblank_2,NA,NA,2,
Wein_Pblank_3,NA,NA,3,
Wein_20_Pre-2-3,-2,pre,3,0301b210-e061-4847-8236-55b4604e86b9
Wein_22_Pre-2-2,-2,pre,2,d07b9001-0b93-4a1a-92b7-70b238a58a2c
Wein_36_Pre-2-1,-2,pre,1,392fb7a7-e664-482e-90e7-87a2b5fbaa6e
Wein_2_Pre-6-3,-6,pre,3,504ecbd1-d7bc-4c8f-9ec9-1d345bff218d
Wein_7_Pre-6-2,-6,pre,2,a389c91b-9593-4b0f-84e7-b911e099c3e3
Wein_35_Pre-6-1,-6,pre,1,dec78bde-1a26-4368-a537-5b480888b90b
