Sample.ID,pre,inc
Wein_Pblank_1,NA,NA
Wein_Pblank_2,NA,NA
Wein_Pblank_3,NA,NA
Wein_1_B_2_3,-2,4
Wein_2_Pre_6_3,-6,pre
Wein_3_C_6_3,-6,6
Wein_4_B_2_2,-2,4
Wein_5_C_6_2,-6,6
Wein_6_D_6_3,-6,8
Wein_7_Pre_6_2,-6,pre
Wein_8_E_2_2,-2,10
Wein_9_E_2_1,-2,10
Wein_10_E_6_3,-6,10
Wein_11_D_2_2,-2,8
Wein_12_E_6_1,-6,10
Wein_13_E_2_3,-2,10
Wein_14_C_2_2,-2,6
Wein_15_D_6_2,-6,8
Wein_16_A_6_2,-6,2
Wein_17_A_6_3,-6,2
Wein_18_B_6_3,-6,4
Wein_19_A_2_1,-2,2
Wein_20_Pre_2_3,-2,pre
Wein_21_B_6_2,-6,4
Wein_22_Pre_2_2,-2,pre
Wein_23_D_6_1,-6,8
Wein_24_D_2_1,-2,8
Wein_25_A_6_1,-6,2
Wein_26_C_6_1,-6,6
Wein_27_E_6_2,-6,10
Wein_28_C_2_3,-2,6
Wein_29_A_2_3,-2,2
Wein_30_C_2_1,-2,6
Wein_31_B_2_1,-2,4
Wein_32_B_6_1,-6,4
Wein_33_A_2_2,-2,2
Wein_34_D_2_3,-2,8
Wein_35_Pre_6_1,-6,pre
Wein_36_Pre_2_1,-2,pre
