Metabolites,Wein_1_B_2_3,Wein_2_Pre_6_3,Wein_3_C_6_3,Wein_4_B_2_2,Wein_5_C_6_2,Wein_6_D_6_3,Wein_7_Pre_6_2,Wein_8_E_2_2,Wein_9_E_2_1,Wein_10_E_6_3,Wein_11_D_2_2,Wein_12_E_6_1,Wein_13_E_2_3,Wein_14_C_2_2,Wein_15_D_6_2,Wein_16_A_6_2,Wein_17_A_6_3,Wein_18_B_6_3,Wein_20_Pre_2_3,Wein_21_B_6_2,Wein_22_Pre_2_2,Wein_23_D_6_1,Wein_24_D_2_1,Wein_25_A_6_1,Wein_26_C_6_1,Wein_27_E_6_2,Wein_28_C_2_3,Wein_29_A_2_3,Wein_30_C_2_1,Wein_32_B_6_1,Wein_33_A_2_2,Wein_34_D_2_3,Wein_35_Pre_6_1,Wein_36_Pre_2_1
1-hexadecanol,12.9876426180617,12.4820770900504,13.4513377252488,12.666110487201,13.2067767628558,13.2419202352482,13.0281243866481,12.7242255778241,13.6533430692027,11.8522421004088,13.9257904086069,12.4322929700873,13.1416274999145,13.130116923132,13.3723620905593,13.3099766395521,13.5049994181874,13.4694040427174,13.2951115014778,13.4403557989996,13.696499712643,12.6713836658607,13.2790456320925,13.44978358752,13.0317560751987,13.3987808454627,13.344563600327,13.4569259336207,13.3951299717551,12.6912175132949,13.1157162872214,13.576172567994,12.7096310155117,13.3129271417394
2-furoic acid,12.4375478324731,15.3949538697585,14.347827004051,15.7216358489631,15.4111181847695,16.017193391539,14.1865539951907,15.3896664226908,14.8707040633904,16.085715470421,16.3984793716407,17.0025424317803,16.5083919894241,16.4324990644175,14.9257018002538,15.9029104953148,15.7416773171025,14.6568039686416,12.2255906064045,13.1223852842403,13.4690732099718,14.819909144955,15.7416210712149,13.3540514660646,13.1530521893705,13.9314123301238,15.2655029883635,15.0253203563298,16.0872084291439,14.9110522026852,15.4198332477113,15.8085303048441,15.5747147826679,14.3817439698878
2-phenylacetamide,16.6476745963874,15.8407069200347,16.1175859827221,16.284420462812,16.5235489974114,16.4377518431397,16.4060623370156,16.6392084909657,16.2738839737269,16.0842445945207,16.5484627747451,16.2705633178152,16.6290858283093,16.5981847596761,16.1383400966578,16.4063433753341,16.2125953599503,16.4006775005979,16.0330792710421,16.402171016861,16.2308698637152,16.3174746540159,16.4885230109006,16.3453506714714,16.1967360834533,16.6272133069826,16.5009819270374,16.434109519278,16.5195830503557,16.4131770724093,16.5545539652507,16.6849533740934,16.3458687805288,16.0898465977679
2-phenylacetic acid,14.1706772110212,13.6950127565774,14.1663044417408,13.982654736806,14.0003390355803,14.0055896785932,14.1605015958929,14.1803091092682,14.2530711314561,13.9571353639053,14.1108965588285,13.7829112977241,14.098695533522,13.9295272094701,13.8595145342016,14.0096622502895,14.0982112582132,13.9033173698605,13.8298320087431,14.2013238759289,14.1174106935495,14.13025170806,14.1603169108518,13.9029983374759,14.0703203316457,13.7630552922636,14.2622255563869,14.3251276523281,14.4746877494425,14.1408021887522,14.1645901963665,14.3437467724918,13.7031257230697,14.0036804732711
3-hydroxybutyric acid,16.7320054063816,17.8643197240056,16.4660149517742,17.3202440880774,17.5372521025808,16.721208271852,17.0583909510298,16.934246357013,16.3794323729229,16.7927908371524,16.3804735176656,17.197101444049,16.9820073856666,16.9976486455372,16.5692908557425,17.0614119758624,16.5082436976423,17.2046265625074,16.6238020049063,17.0888709079512,17.4394809140611,17.0073714793826,16.6641331867407,16.925856773798,16.9757897450506,16.9694898367877,16.8992718042567,17.1211835418466,16.7653066129025,17.3269437589229,16.8606657804728,16.5391848804327,17.7244253452592,17.3304417206286
3-hydroxypentanoic acid,14.3661274891576,14.3691168368801,15.1897162280723,13.8208453575642,13.8907486951349,15.4786432218572,14.7871306967659,14.3178622615442,14.0480577126582,13.9994308071345,13.5583757287958,13.6571340837946,14.2585440618325,13.0969011305487,13.6433510718812,13.9019252686067,13.4789895737191,14.0967410615947,15.055623916445,14.6077146307355,14.2206858145119,13.7938627960865,11.1417800166531,14.5928819367191,14.7497292869399,15.0316551455629,14.5158165877958,13.9927797525651,13.8231759219221,14.2493663098528,14.4067043898052,12.7263720920442,14.6551519678595,14.485428694815
4-aminobutyric acid (GABA),15.7098548823936,16.0506265175262,15.8588872498431,15.3363472459742,15.7426525902795,15.5731572187194,15.7493578588072,15.7153385813479,15.2681314886481,15.2857517720873,15.3933910556701,15.8212316614225,15.5723709414714,15.3291338659593,15.0901667367615,15.4959528255879,15.2598954532862,15.9649299420748,15.8807662254979,15.7189083784621,16.2831993611128,15.7787861882189,15.4979352196201,15.9743842683058,15.8105285045228,15.4998642022953,14.7045309409669,15.2547803746916,13.8890601137895,15.8423280639476,15.5898742196269,15.5929617705593,15.7695539894077,16.0492856737699
4-hydroxy-3-methoxybenzoic acid (isovanillic acid),14.1265212183025,14.268083542699,14.184267372672,14.4043234553915,13.3711482223949,14.5746864800202,13.4423644209176,13.7309521199448,14.0479664249784,14.0952237215813,13.9843547297394,13.2258563149946,13.6493953450448,13.9913912946531,14.7602750063811,14.2674953156153,14.3896607458384,14.6666247942125,14.3486607314737,14.6376653989307,14.3684462950076,14.4798475690115,14.8527497992659,14.7290240826529,14.8050515645749,13.810290786115,14.3449342895385,13.900148807303,14.6520079306561,14.139868795867,13.8931584013746,14.6594200511302,13.2876087616189,14.1440869914274
4-hydroxybenzoic acid (p-salicylic acid),13.846759998182,14.5300061504733,14.8463153567333,13.5703524759139,14.3053893481252,14.4831824395851,14.6863778750368,14.7509476663154,14.6585921968845,14.1021598145344,15.1481506532864,14.2311899419421,14.2887508562297,14.2741817881169,14.3394922714365,14.3871854377673,14.5762489544733,14.5723702476964,14.896381780654,14.6484425672517,14.8711791045614,14.6640761654093,14.7067428641516,14.5490030718215,14.2617869046516,14.9350560223248,14.541386618806,14.461726875536,14.4964488685313,14.4510696003346,14.775114184901,14.4776888717568,14.7246451509741,14.740889025899
Arachidic acid,15.3732847335191,15.158157780331,15.8740824353667,15.3938803524459,15.4457876762552,15.3883441193567,15.8490337838235,15.5719785771719,16.0127404310728,15.2360373638442,15.6697805740594,15.3487396898268,15.5802700634877,15.4790209948244,15.5207899420217,15.6052256758593,15.4765010696505,15.2315856178683,15.8082557089732,15.8730144080751,15.438904463816,15.5715642664117,15.7604214312841,15.5110420247815,15.5961065054822,15.7331085790248,15.834886070481,15.5422300509306,15.8611975402992,15.4753114691367,15.7659773772103,15.3581610010867,15.2928083467204,15.458489791413
