Metabolites,Wein_1_B_2_3,Wein_2_Pre_6_3,Wein_3_C_6_3,Wein_4_B_2_2,Wein_5_C_6_2,Wein_6_D_6_3,Wein_7_Pre_6_2,Wein_8_E_2_2,Wein_9_E_2_1,Wein_10_E_6_3,Wein_11_D_2_2,Wein_12_E_6_1,Wein_13_E_2_3,Wein_14_C_2_2,Wein_15_D_6_2,Wein_16_A_6_2,Wein_17_A_6_3,Wein_18_B_6_3,Wein_20_Pre_2_3,Wein_21_B_6_2,Wein_22_Pre_2_2,Wein_23_D_6_1,Wein_24_D_2_1,Wein_25_A_6_1,Wein_26_C_6_1,Wein_27_E_6_2,Wein_28_C_2_3,Wein_29_A_2_3,Wein_30_C_2_1,Wein_32_B_6_1,Wein_33_A_2_2,Wein_34_D_2_3,Wein_35_Pre_6_1,Wein_36_Pre_2_1
1-hexadecanol,12.9850657431105,12.4795002150992,13.4487608502976,12.6797697395887,13.2041998879046,13.239343360297,13.0255475116969,12.7216487028728,13.6507661942515,11.8496652254576,13.9262977300027,12.4297160951361,13.1440277824218,13.1275400481808,13.3697852156081,13.3073997646009,13.5024225432362,13.4668271677662,13.3034004820627,13.4493973449832,13.7155267119319,12.6794599450585,13.2833309735751,13.4544421380288,13.0368877934282,13.4064815856974,13.3419867253758,13.473213555384,13.3925530968039,12.6954957806593,13.1223402839152,13.5807932038506,12.7130165776749,13.3103502667882
2-furoic acid,12.4349709575219,15.3923769948072,14.3452501290998,15.7352951013508,15.4085413098182,16.0146165165878,14.1839771202395,15.3870895477396,14.8681271884392,16.0831385954698,16.3989866930365,16.9999655568291,16.5107922719314,16.4299221894662,14.9231249253026,15.9003336203636,15.7391004421513,14.6542270936904,12.2338795869894,13.131426830224,13.4881002092606,14.8279854241528,15.7459064126976,13.3587100165734,13.1581839076,13.9391130703585,15.2629261134123,15.0416079780931,16.0846315541927,14.9153304700496,15.4264572444051,15.8131509407007,15.5781003448311,14.3791670949365
2-phenylacetamide,16.6450977214362,15.8381300450835,16.1150091077709,16.2980797151997,16.5209721224602,16.4351749681885,16.4034854620643,16.6366316160145,16.2713070987757,16.0816677195695,16.548970096141,16.267986442864,16.6314861108165,16.5956078847249,16.1357632217066,16.4037665003829,16.2100184849991,16.3981006256467,16.041368251627,16.4112125628447,16.249896863004,16.3255509332137,16.4928083523833,16.3500092219801,16.2018678016828,16.6349140472173,16.4984050520862,16.4503971410413,16.5170061754045,16.4174553397738,16.5611779619445,16.6895740099499,16.349254342692,16.0872697228166
2-phenylacetic acid,14.16810033607,13.6924358816261,14.1637275667896,13.9963139891937,13.9977621606291,14.003012803642,14.1579247209417,14.1777322343169,14.2504942565049,13.9545584889541,14.1114038802243,13.7803344227729,14.1010958160293,13.9269503345189,13.8569376592504,14.0070853753383,14.095634383262,13.9007404949093,13.838120989328,14.2103654219126,14.1364376928383,14.1383279872578,14.1646022523344,13.9076568879846,14.0754520498752,13.7707560324983,14.2596486814357,14.3414152740915,14.4721108744913,14.1450804561166,14.1712141930603,14.3483674083484,13.7065112852329,14.0011035983199
3-hydroxybutyric acid,16.7294285314304,17.8617428490544,16.463438076823,17.3339033404651,17.5346752276295,16.7186313969008,17.0558140760786,16.9316694820618,16.3768554979717,16.7902139622012,16.3809808390614,17.1945245690978,16.9844076681739,16.9950717705859,16.5667139807913,17.0588351009112,16.5056668226911,17.2020496875562,16.6320909854912,17.0979124539349,17.4585079133499,17.0154477585804,16.6684185282233,16.9305153243067,16.9809214632801,16.9771905770224,16.8966949293055,17.1374711636099,16.7627297379512,17.3312220262873,16.8672897771666,16.5438055162892,17.7278109074224,17.3278648456774
3-hydroxypentanoic acid,14.3635506142063,14.3665399619289,15.1871393531211,13.8345046099519,13.8881718201837,15.476066346906,14.7845538218147,14.315285386593,14.045480837707,13.9968539321833,13.5588830501916,13.6545572088434,14.2609443443398,13.0943242555975,13.64077419693,13.8993483936555,13.4764126987679,14.0941641866434,15.0639128970299,14.6167561767192,14.2397128138007,13.8019390752843,11.1460653581358,14.5975404872278,14.7548610051694,15.0393558857976,14.5132397128446,14.0090673743285,13.8205990469709,14.2536445772172,14.4133283864989,12.7309927279008,14.6585375300227,14.4828518198638
4-aminobutyric acid (GABA),15.7072780074424,16.048049642575,15.8563103748918,15.3500064983619,15.7400757153283,15.5705803437682,15.746780983856,15.7127617063966,15.2655546136968,15.2831748971361,15.3938983770659,15.8186547864713,15.5747712239787,15.3265569910081,15.0875898618103,15.4933759506367,15.257318578335,15.9623530671235,15.8890552060829,15.7279499244458,16.3022263604017,15.7868624674167,15.5022205611027,15.9790428188145,15.8156602227523,15.5075649425301,14.7019540660157,15.2710679964549,13.8864832388382,15.846606331312,15.5964982163207,15.5975824064159,15.7729395515709,16.0467087988187
4-hydroxy-3-methoxybenzoic acid (isovanillic acid),14.1239443433513,14.2655066677478,14.1816904977208,14.4179827077792,13.3685713474437,14.572109605069,13.4397875459664,13.7283752449936,14.0453895500272,14.0926468466301,13.9848620511352,13.2232794400433,13.6517956275521,13.9888144197019,14.7576981314299,14.264918440664,14.3870838708872,14.6640479192613,14.3569497120586,14.6467069449144,14.3874732942964,14.4879238482093,14.8570351407486,14.7336826331617,14.8101832828044,13.8179915263498,14.3423574145873,13.9164364290663,14.6494310557049,14.1441470632314,13.8997823980683,14.6640406869867,13.290994323782,14.1415101164762
4-hydroxybenzoic acid (p-salicylic acid),13.8441831232307,14.5274292755221,14.843738481782,13.5840117283016,14.302812473174,14.4806055646339,14.6838010000856,14.7483707913642,14.6560153219333,14.0995829395831,15.1486579746822,14.2286130669909,14.291151138737,14.2716049131657,14.3369153964853,14.3846085628161,14.5736720795221,14.5697933727452,14.9046707612389,14.6574841132354,14.8902061038502,14.6721524446071,14.7110282056342,14.5536616223303,14.2669186228811,14.9427567625596,14.5388097438548,14.4780144972993,14.4938719935801,14.455347867699,14.7817381815947,14.4823095076134,14.7280307131373,14.7383121509478
Arachidic acid,15.3707078585679,15.1555809053798,15.8715055604155,15.4075396048336,15.443210801304,15.3857672444055,15.8464569088722,15.5694017022207,16.0101635561216,15.233460488893,15.6702878954553,15.3461628148756,15.582670345995,15.4764441198732,15.5182130670705,15.6026488009081,15.4739241946993,15.2290087429171,15.8165446895581,15.8820559540588,15.4579314631048,15.5796405456095,15.7647067727667,15.5157005752903,15.6012382237116,15.7408093192596,15.8323091955298,15.558517672694,15.858620665348,15.4795897365011,15.772601373904,15.3627816369432,15.2961939088836,15.4559129164618
