Metabolites,Wein_1_B_2_3,Wein_2_Pre_6_3,Wein_3_C_6_3,Wein_4_B_2_2,Wein_5_C_6_2,Wein_6_D_6_3,Wein_7_Pre_6_2,Wein_8_E_2_2,Wein_9_E_2_1,Wein_10_E_6_3,Wein_11_D_2_2,Wein_12_E_6_1,Wein_13_E_2_3,Wein_14_C_2_2,Wein_15_D_6_2,Wein_16_A_6_2,Wein_17_A_6_3,Wein_18_B_6_3,Wein_20_Pre_2_3,Wein_21_B_6_2,Wein_22_Pre_2_2,Wein_23_D_6_1,Wein_24_D_2_1,Wein_25_A_6_1,Wein_26_C_6_1,Wein_27_E_6_2,Wein_28_C_2_3,Wein_29_A_2_3,Wein_30_C_2_1,Wein_32_B_6_1,Wein_33_A_2_2,Wein_34_D_2_3,Wein_35_Pre_6_1,Wein_36_Pre_2_1
1-hexadecanol,12.9864743885406,12.4809088605293,13.4501694957277,12.6811783850188,13.2056085333347,13.2407520057271,13.026956157127,12.7230573483029,13.6521748396816,11.8510738708877,13.9277063754328,12.4311247405662,13.1454364278519,13.1289486936109,13.3711938610382,13.308808410031,13.5038311886663,13.4682358131963,13.2939432719566,13.4422939913304,13.7039713855322,12.6702154363396,13.2778774025714,13.4486153579989,13.0305878456776,13.3976126159415,13.3433953708059,13.4649501657265,13.393961742234,12.6969044260894,13.1237489293453,13.5822018492807,12.714425223105,13.3117589122183
2-furoic acid,12.436379602952,15.3937856402373,14.3466587745299,15.7367037467809,15.4099499552483,16.0160251620179,14.1853857656696,15.3884981931697,14.8695358338693,16.0845472408999,16.4003953384666,17.0013742022592,16.5122009173615,16.4313308348963,14.9245335707327,15.9017422657937,15.7405090875814,14.6556357391205,12.2244223768834,13.1243234765711,13.4765448828609,14.8187409154339,15.7404528416938,13.3528832365435,13.1518839598494,13.9302441006027,15.2643347588424,15.0333445884356,16.0860401996228,14.9167391154797,15.4278658898352,15.8145595861308,15.5795089902612,14.3805757403666
2-phenylacetamide,16.6465063668663,15.8395386905136,16.116417753201,16.2994883606298,16.5223807678903,16.4365836136186,16.4048941074944,16.6380402614446,16.2727157442058,16.0830763649996,16.5503787415711,16.2693950882941,16.6328947562466,16.597016530155,16.1371718671367,16.405175145813,16.2114271304292,16.3995092710768,16.031911041521,16.4041092091918,16.2383415366044,16.3163064244948,16.4873547813795,16.3441824419502,16.1955678539322,16.6260450774614,16.4998136975163,16.4421337513838,16.5184148208346,16.4188639852039,16.5625866073745,16.69098265538,16.3506629881221,16.0886783682467
2-phenylacetic acid,14.1695089815001,13.6938445270562,14.1651362122197,13.9977226346238,13.9991708060592,14.0044214490721,14.1593333663718,14.179140879747,14.251902901935,13.9559671343842,14.1128125256544,13.781743068203,14.1025044614594,13.928358979949,13.8583463046805,14.0084940207684,14.0970430286921,13.9021491403394,13.828663779222,14.2032620682597,14.1248823664387,14.1290834785389,14.1591486813307,13.9018301079547,14.0691521021246,13.7618870627425,14.2610573268658,14.333151884434,14.4735195199214,14.1464891015467,14.1726228384904,14.3497760537785,13.707919930663,14.00251224375
3-hydroxybutyric acid,16.7308371768605,17.8631514944845,16.4648467222531,17.3353119858952,17.5360838730596,16.7200400423309,17.0572227215087,16.9330781274919,16.3782641434018,16.7916226076313,16.3823894844915,17.1959332145279,16.985816313604,16.996480416016,16.5681226262214,17.0602437463413,16.5070754681212,17.2034583329863,16.6226337753852,17.090809100282,17.4469525869502,17.0062032498615,16.6629649572195,16.9246885442768,16.9746215155295,16.9683216072666,16.8981035747356,17.1292077739524,16.7641383833814,17.3326306717174,16.8686984225967,16.5452141617193,17.7292195528525,17.3292734911075
3-hydroxypentanoic acid,14.3649592596364,14.367948607359,15.1885479985512,13.835913255382,13.8895804656138,15.4774749923361,14.7859624672448,14.3166940320231,14.0468894831371,13.9982625776134,13.5602916956217,13.6559658542735,14.2623529897699,13.0957329010276,13.6421828423601,13.9007570390856,13.477821344198,14.0955728320735,15.0544556869239,14.6096528230663,14.2281574874011,13.7926945665654,11.140611787132,14.591713707198,14.7485610574188,15.0304869160417,14.5146483582747,14.000803984671,13.822007692401,14.2550532226473,14.414737031929,12.7324013733309,14.6599461754528,14.4842604652939
4-aminobutyric acid (GABA),15.7086866528725,16.0494582880051,15.8577190203219,15.351415143792,15.7414843607584,15.5719889891983,15.7481896292861,15.7141703518267,15.2669632591269,15.2845835425662,15.395307022496,15.8200634319014,15.5761798694088,15.3279656364382,15.0889985072404,15.4947845960668,15.2587272237651,15.9637617125536,15.8795979959768,15.7208465707929,16.290671034002,15.7776179586978,15.496766990099,15.9732160387847,15.8093602750017,15.4986959727742,14.7033627114458,15.2628046067974,13.8878918842683,15.8480149767421,15.5979068617508,15.598991051846,15.774348197001,16.0481174442488
4-hydroxy-3-methoxybenzoic acid (isovanillic acid),14.1253529887814,14.2669153131779,14.1830991431509,14.4193913532093,13.3699799928738,14.5735182504991,13.4411961913965,13.7297838904237,14.0467981954573,14.0940554920602,13.9862706965653,13.2246880854734,13.6532042729822,13.990223065132,14.75910677686,14.2663270860941,14.3884925163173,14.6654565646914,14.3474925019525,14.6396035912615,14.3759179678968,14.4786793394904,14.8515815697448,14.7278558531318,14.8038833350538,13.8091225565939,14.3437660600174,13.9081730394088,14.650839701135,14.1455557086615,13.9011910434984,14.6654493324168,13.2924029692121,14.1429187619063
4-hydroxybenzoic acid (p-salicylic acid),13.8455917686608,14.5288379209522,14.8451471272121,13.5854203737317,14.3042211186041,14.482014210064,14.6852096455157,14.7497794367943,14.6574239673634,14.1009915850132,15.1500666201123,14.230021712421,14.2925597841671,14.2730135585958,14.3383240419154,14.3860172082462,14.5750807249522,14.5712020181753,14.8952135511329,14.6503807595825,14.8786507774506,14.6629079358881,14.7055746346305,14.5478348423004,14.2606186751305,14.9338877928037,14.5402183892849,14.4697511076418,14.4952806390102,14.4567565131291,14.7831468270248,14.4837181530435,14.7294393585674,14.7397207963779
Arachidic acid,15.372116503998,15.1569895508099,15.8729142058456,15.4089482502637,15.4446194467341,15.3871758898356,15.8478655543023,15.5708103476508,16.0115722015517,15.2348691343231,15.6716965408854,15.3475714603057,15.5840789914251,15.4778527653033,15.5196217125006,15.6040574463382,15.4753328401294,15.2304173883472,15.8070874794521,15.8749526004059,15.4463761367051,15.5703960368905,15.7592532017629,15.5098737952604,15.594938275961,15.7319403495037,15.8337178409599,15.5502542830365,15.8600293107781,15.4809983819312,15.7740100193341,15.3641902823733,15.2976025543137,15.4573215618919
