Metabolites,Count_4,Count_pre,Count_6,Count_8,Count_10,Count_2,Mean_4,Mean_pre,Mean_6,Mean_8,Mean_10,Mean_2,Fold_change_4_vs_pre,Fold_change_4_vs_6,Fold_change_4_vs_8,Fold_change_4_vs_10,Fold_change_4_vs_2,Fold_change_pre_vs_6,Fold_change_pre_vs_8,Fold_change_pre_vs_10,Fold_change_pre_vs_2,Fold_change_6_vs_8,Fold_change_6_vs_10,Fold_change_6_vs_2,Fold_change_8_vs_10,Fold_change_8_vs_2,Fold_change_10_vs_2,P_value_A_4_vs_pre,P_value_A_4_vs_6,P_value_A_4_vs_8,P_value_A_4_vs_10,P_value_A_4_vs_2,P_value_A_pre_vs_6,P_value_A_pre_vs_8,P_value_A_pre_vs_10,P_value_A_pre_vs_2,P_value_A_6_vs_8,P_value_A_6_vs_10,P_value_A_6_vs_2,P_value_A_8_vs_10,P_value_A_8_vs_2,P_value_A_10_vs_2,Flag_A_4_vs_pre,Flag_A_4_vs_6,Flag_A_4_vs_8,Flag_A_4_vs_10,Flag_A_4_vs_2,Flag_A_pre_vs_6,Flag_A_pre_vs_8,Flag_A_pre_vs_10,Flag_A_pre_vs_2,Flag_A_6_vs_8,Flag_A_6_vs_10,Flag_A_6_vs_2,Flag_A_8_vs_10,Flag_A_8_vs_2,Flag_A_10_vs_2
1-hexadecanol,5,6,6,6,6,5,13.0550174008351,13.0886606350781,13.2587786135651,13.344991155065,12.8667466405386,13.3699908103536,-0.0336432342429713,-0.203761212730047,-0.289973754229853,0.18827076029646,-0.314973409518501,-0.170117978487076,-0.256330519986882,0.221913994539431,-0.28133017527553,-0.0862125414998065,0.392031973026507,-0.111212196788454,0.478244514526313,-0.0249996552886476,-0.503244169814961,0.895227628799246,0.427672710376145,0.261729349965692,0.463260609416809,0.243572201127506,0.48676779119986,0.297331897287756,0.365756474950518,0.275898690106339,0.72364270643463,0.115549994404954,0.663816560060376,0.0574527086445386,0.922039488224224,0.0566849397657802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-furoic acid,5,6,6,6,6,5,14.1739563361808,14.2067038993798,15.1150330804982,15.6191179024126,15.631066748027,15.0912690136379,-0.0327475631989991,-0.941076744317352,-1.44516156623177,-1.45711041184619,-0.917312677457046,-0.908329181118352,-1.41241400303277,-1.42436284864719,-0.884565114258047,-0.504084821914416,-0.516033667528836,0.0237640668603056,-0.0119488456144197,0.527848888774722,0.539797734389142,0.961717319113021,0.174956614956055,0.0414529197445311,0.0399169134835575,0.204590380992528,0.169878274892748,0.0369561382751533,0.0355041384078726,0.201452069583506,0.440851529450901,0.430214926359487,0.972213916571472,0.985344666769549,0.441569893919325,0.431414691903566,0,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0
2-phenylacetamide,5,6,6,6,6,5,16.4336954385937,16.159004455417,16.4082685705882,16.4364630139301,16.420361215442,16.3931010153902,0.274690983176662,0.0254268680054821,-0.00276757533641359,0.0133342231516913,0.0405944232035367,-0.249264115171179,-0.277458558513075,-0.26135676002497,-0.234096559973125,-0.0281944433418957,-0.0120926448537908,0.0151675551980546,0.0161017984881049,0.0433619985399503,0.0272602000518454,0.0255738424329554,0.828780382894299,0.981212165128857,0.909675435656325,0.741108158073436,0.0328889252549688,0.0186219196365867,0.0258588042815791,0.0541779689097837,0.801448826606174,0.914069121673917,0.897324766870322,0.885760293445438,0.712489900177607,0.816658706277985,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0
2-phenylacetic acid,5,6,6,6,6,5,14.083826385254,13.9195260355836,14.1493991578566,14.1022647488425,14.0055242514118,14.1026283760679,0.164300349670331,-0.0655727726026623,-0.0184383635885528,0.0783021338421115,-0.0188019908139623,-0.229873122272993,-0.182738713258884,-0.0859982158282193,-0.183102340484293,0.0471344090141095,0.143874906444774,0.0467707817887,0.0967404974306643,-0.000363627225409502,-0.0971041246560738,0.146856610616029,0.556292660857385,0.868220977002784,0.482903584510869,0.871313954876095,0.0370575276371848,0.0927445167351048,0.419639588790691,0.107499062522053,0.656927445442284,0.181457579859815,0.674265737392523,0.364697278537257,0.997388579586079,0.385364840016079,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
3-hydroxybutyric acid,5,6,6,6,6,5,17.1386094535483,17.3414089370481,16.9390457474959,16.647489086974,16.8755060023206,16.8979827910577,-0.202799483499806,0.199563706052412,0.491120366574247,0.263103451227689,0.240626662490598,0.402363189552219,0.693919850074053,0.465902934727495,0.443426145990404,0.291556660521834,0.0635397451752766,0.0410629564381857,-0.228016915346558,-0.250493704083649,-0.0224767887370909,0.29305125771725,0.300669357881836,0.0148856542867722,0.175408293860222,0.233633333614716,0.0339523193211425,0.000634636203525342,0.0153468881315208,0.0264584763087913,0.117354014004095,0.727375379592903,0.829799131848604,0.216774638170568,0.196337311781432,0.906307305712299,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
3-hydroxypentanoic acid,5,6,6,6,6,5,14.2322302785611,14.5967884816126,14.2098464122145,13.3909428762244,14.2184419754764,14.0771666214163,-0.364558203051438,0.0223838663466207,0.841287402336761,0.0137883030846861,0.15506365714481,0.386942069398058,1.2058456053882,0.378346506136124,0.519621860196247,0.81890353599014,-0.00859556326193456,0.132679790798189,-0.827499099252075,-0.686223745191951,0.141275354060124,0.426212545115124,0.960811011817274,0.0729332024225295,0.975853505904749,0.744734315378369,0.376392274510959,0.00912958620170636,0.386939733462885,0.259507621561476,0.0674638899829416,0.984211023769639,0.77102493885441,0.0648006215412607,0.139748383537951,0.75666957177371,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4-aminobutyric acid (GABA),5,6,6,6,6,5,15.7185450113506,15.9650637647533,15.2212973147057,15.4882784199296,15.5267760712674,15.5174878654329,-0.246518753402649,0.497247696644928,0.230266591421069,0.191768940083271,0.201057145917705,0.743766450047577,0.476785344823718,0.43828769348592,0.447575899320354,-0.266981105223859,-0.305478756561657,-0.296190550727223,-0.0384976513377975,-0.0292094455033638,0.00928820583443368,0.31157487233048,0.0469254375657032,0.34398660220404,0.429496056659307,0.427764886859603,0.00291673297748384,0.0457790024683087,0.0648828048345466,0.071823846004426,0.251642519090259,0.191228179069764,0.225926609673576,0.867175129613515,0.903686607460637,0.969302809335189,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4-hydroxy-3-methoxybenzoic acid (isovanillic acid),5,6,6,6,6,5,14.399072041321,13.977807284257,14.2236318828938,14.5524343275961,13.7596087488318,14.2384079076901,0.421264757063991,0.175440158427193,-0.153362286275076,0.639463292489216,0.160664133630904,-0.245824598636798,-0.574627043339067,0.218198535425225,-0.260600623433087,-0.328802444702269,0.464023134062023,-0.0147760247962889,0.792825578764292,0.31402641990598,-0.478799158858312,0.0833457496192702,0.460797911442674,0.518624715047449,0.0109372268991305,0.517375539968289,0.281130641940902,0.015819766437115,0.337671174380318,0.276088010310511,0.152721101084512,0.0473421637674276,0.95022658906924,0.00140412957993297,0.191479864290499,0.0507865192128733,0,0,0,1,0,0,-1,0,0,0,1,0,1,0,0
4-hydroxybenzoic acid (p-salicylic acid),5,6,6,6,6,5,14.2218702866559,14.7428453416661,14.4530832513063,14.637100932609,14.4941107130938,14.5523661420331,-0.520975055010203,-0.231212964650391,-0.415230645953084,-0.272240426437895,-0.330495855377206,0.289762090359812,0.105744409057118,0.248734628572308,0.190479199632996,-0.184017681302693,-0.0410274617875039,-0.0992828907268155,0.142990219515189,0.0847347905758777,-0.0582554289393116,0.00556527039626497,0.193245954792028,0.0236019423675103,0.127730454987695,0.0787798747813773,0.0906833406594202,0.527730939629007,0.143748125252876,0.28145452868243,0.275269933725821,0.805870362938337,0.571597560841439,0.394565816428968,0.628963238519735,0.739464367795839,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Arachidic acid,5,6,6,6,6,5,15.4734866249892,15.5022071395792,15.6806786409303,15.5453889440414,15.5801404141267,15.5827056768197,-0.0287205145899883,-0.207192015941132,-0.071902319052203,-0.106653789137496,-0.109219051830525,-0.178471501351144,-0.0431818044622148,-0.0779332745475081,-0.0804985372405369,0.135289696888929,0.100538226803636,0.0979729641106069,-0.0347514700852933,-0.0373167327783221,-0.00256526269302881,0.831677607657073,0.132914971331623,0.595431041473534,0.432322895560154,0.441275368576149,0.173011456764193,0.7376493671584,0.546401242582362,0.552458334700971,0.298225345394895,0.437499148675842,0.470332945510268,0.787414952162779,0.782478670812189,0.984847229213358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
