Metabolites,Count_-6,Count_-2,Mean_-6,Mean_-2,Fold_change_-6_vs_-2,P_value_A_-6_vs_-2,Flag_A_-6_vs_-2,,
2-furoic acid,3,3,15.48104985,13.39465056,2.086399287,0.038950658,1,,
3-hydroxybutyric acid,3,3,17.97802098,17.16708952,0.81093146,0.042226178,1,,
D-arabitol,3,3,15.12863944,14.07359702,1.055042424,0.028192196,1,,
D-xylose,3,3,14.27645484,13.67421429,0.602240549,0.02410795,1,,
Isomaltose,3,3,15.28299197,14.22893706,1.054054909,0.029684783,1,,
Palatinose,3,3,15.02984494,13.89401392,1.135831024,0.016055758,1,,
Tagatose,3,3,18.62058475,17.19484445,1.425740301,0.043758295,1,,
Turanose,3,3,14.40392829,13.24769351,1.156234777,0.036411239,1,,
Sugars - Disaccharide3,3,3,13.76982213,12.68195624,1.087865885,0.004691293,1,,
Sugars - Monosaccharide Hexose1,3,3,15.07056052,14.70434557,0.366214957,0.003829708,1,,
1-(4-(4'-chlorophenyl)-2-thiazolyl)-3-(2-hydroxy-phenyl)-5-(2-butyl-4-chloro-1H-imidazol,3,3,12.96282038,11.02470297,1.93811741,0.034249699,1,,
Unknown 013,3,3,16.6592123,16.33110565,0.328106658,0.016778245,1,,
Unknown 054,3,3,21.22246857,20.64442508,0.578043498,0.03144569,1,,
Unknown 093,3,3,15.23782237,13.33473003,1.90309234,0.042015218,1,,
Unknown 113,3,3,16.24549977,15.45258972,0.792910051,0.035302435,1,,
Unknown 120,3,3,17.46716528,16.18294627,1.284219004,0.02149735,1,,
Unknown 124,3,3,19.74017935,18.59782236,1.142356992,0.04932612,1,,
Unknown 125,3,3,14.8215839,14.31782925,0.50375465,0.015707311,1,,
Unknown 126,3,3,15.93643442,14.9393128,0.997121616,0.010136339,1,,
Unknown 166,3,3,16.83817484,15.27304257,1.565132271,0.024419067,1,,
Unknown 248,3,3,18.43159621,17.87760273,0.553993481,0.029880221,1,,
1,2-cyclohexanedione,3,3,12.63155096,13.46242473,-0.830873773,0.297204751,0,
Benzene-1,2,4-triol,3,3,13.81181133,13.67609385,0.13571748,0.906769275,0
1-hexadecanol,3,3,13.1689198,13.47069409,-0.301774288,0.454720346,0,,
2-phenylacetamide,3,3,16.62652165,16.15377988,0.472741768,0.235548602,0,,
2-phenylacetic acid,3,3,14.28185566,14.01948903,0.262366633,0.498282588,0,,
3-hydroxypentanoic acid,3,3,15.03277547,14.62309411,0.409681358,0.339362038,0,,
4-aminobutyric acid (GABA),3,3,16.28548842,16.10693172,0.178556701,0.404872888,0,,
4-hydroxy-3-methoxybenzoic acid (isovanillic acid),3,3,14.09499454,14.32291264,-0.227918098,0.46454365,0,,
4-hydroxybenzoic acid (p-salicylic acid),3,3,15.07598536,14.87199794,0.203987421,0.407917243,0,,
Arachidic acid,3,3,15.86230894,15.60439796,0.257910982,0.565115785,0,,
Arbutin,3,3,17.28767806,16.49013064,0.797547424,0.202405997,0,,
behenic acid,3,3,17.8606536,17.65609977,0.204553823,0.701645302,0,,
Campesterol,3,3,17.7859597,17.39885147,0.387108235,0.245635267,0,,
Capric acid,3,3,14.49058551,14.40700244,0.083583071,0.634374722,0,,
Caprylic acid,3,3,13.89506713,13.60394757,0.291119555,0.552067489,0,,
Carbonate ion,3,3,20.49327482,19.90410288,0.589171939,0.298562905,0,,
D-fructose,3,3,17.08860456,17.13806148,-0.049456919,0.791157909,0,,
D-galactose,3,3,16.22072354,15.60297967,0.61774387,0.075066168,0,,
D-glucose,3,3,19.8713633,19.37673594,0.494627355,0.357039023,0,,
D-mannitol,3,3,19.34217123,19.89616679,-0.553995559,0.319067551,0,,
Ethanolamine,3,3,15.28094337,15.23725831,0.043685058,0.876568882,0,,
Fumaric acid,3,3,14.14459305,14.61394807,-0.46935502,0.517617441,0,,
Gerulic acid,3,3,14.78472495,14.30610795,0.478616993,0.491276835,0,,
Glucosamine-1-phosphate,3,3,17.22715759,17.8158095,-0.588651903,0.301047732,0,,
Glycerol,3,3,19.94536586,19.26850767,0.676858194,0.082467484,0,,
