Metabolites,Count_-2_4,Count_-6_pre,Count_-6_6,Count_-6_8,Count_-2_10,Count_-6_10,Count_-2_8,Count_-2_6,Count_-6_2,Count_-6_4,Count_-2_pre,Count_-2_2,Mean_-2_4,Mean_-6_pre,Mean_-6_6,Mean_-6_8,Mean_-2_10,Mean_-6_10,Mean_-2_8,Mean_-2_6,Mean_-6_2,Mean_-6_4,Mean_-2_pre,Mean_-2_2,P_value_A_-2_4_vs_-6_4,P_value_A_-6_pre_vs_-2_pre,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,P_value_A_-6_2_vs_-2_2,Flag_A_-2_4_vs_-6_4,Flag_A_-6_pre_vs_-2_pre,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,Flag_A_-6_2_vs_-2_2
1-hexadecanol,2,3,3,3,3,3,3,3,3,3,3,2,12.8268765526314,12.7399441640701,13.2299568544344,13.0952219972227,13.1730653823138,12.5611053053196,13.5936695362311,13.2899368317381,13.4215865484198,13.2003257850039,13.4348461186201,13.286321110421,0.283197133332963,0.0320737707715197,0.845221640161058,0.114898253207268,0.0562394355889345,0.694140160210968,0,-1,0,0,0,0
2-furoic acid,2,3,3,3,3,3,3,3,3,3,3,2,14.0795918407181,15.0520742158723,14.3039991260636,15.2542681122492,15.5895874918351,15.6732234107751,15.9828769158999,15.928403493975,14.9995464261606,14.230080485189,13.3588025954213,15.2225768020206,0.880125427877432,0.0680019072053093,0.0791030410167277,0.417731058495165,0.925329387953003,0.823195720057351,0,0,0,0,0,0
2-phenylacetamide,2,3,3,3,3,3,3,3,3,3,3,2,16.4660475295997,16.1975460125264,16.2792903545289,16.2978555312711,16.5140594310006,16.3273404064396,16.5739797199131,16.5395832456898,16.3214298022519,16.4053418632894,16.1179319108418,16.4943317422644,0.714593580050855,0.592470883081451,0.089589045634314,0.0728653642013211,0.215989993207976,0.302828494457201,0,0,0,0,0,0
2-phenylacetic acid,2,3,3,3,3,3,3,3,3,3,3,2,14.0766659739136,13.8528800251799,14.0789879363222,13.9984519736182,14.1773585914154,13.8343673179644,14.2049867473907,14.2221468384332,14.0036239486595,14.0818144781805,13.9836410585212,14.2448589243473,0.971859175972246,0.321996731718613,0.27931254031504,0.123801808265754,0.0143816848322519,0.108727336085454,0,0,0,0,1,0
3-hydroxybutyric acid,2,3,3,3,3,3,3,3,3,3,3,2,17.0274002696557,17.4294250059087,17.0294955396106,16.7362252612296,16.786563143005,16.9651262681922,16.5576621360424,16.8509324144234,16.9668976039993,17.205963394843,17.2508618807215,16.7883344788121,0.522890251421853,0.475554102489631,0.475554102489631,0.475554102489631,0.475554102489631,0.522890251421853,0,0,0,0,0,0
3-hydroxypentanoic acid,2,3,3,3,3,3,3,3,3,3,3,2,14.0934864233609,14.6037998338351,14.6100647367157,14.3052856966082,14.2081546786783,14.2294066788307,12.4755092791644,13.8119645467555,13.991265593015,14.3179406673943,14.587246141924,14.1997420711852,0.711781413233814,0.975658362783667,0.150967960023097,0.00250294660304473,0.968753022096978,0.731418904428273,0,0,0,1,0,0
4-aminobutyric acid (GABA),2,3,3,3,3,3,3,3,3,3,3,2,15.5231010641839,15.8565127885803,15.8040227815484,15.4807033812332,15.5186136704891,15.5356158786018,15.4947626819498,14.6409083069052,15.5767441823933,15.8420554614948,16.0710837534603,15.4223272971593,0.273462599558806,0.4073175828237,0.000146546741286271,0.95635643632361,0.947233941564216,0.592062912674908,0,0,1,0,0,0
4-hydroxy-3-methoxybenzoic acid (isovanillic acid),2,3,3,3,3,3,3,3,3,3,3,2,14.265422336847,13.6660189084118,14.1201557198806,14.6049363518042,13.8094379633227,13.710456940897,14.4988415267118,14.3294445049492,14.4620600480355,14.48138632967,14.2870646726362,13.8966536043388,0.535399559631761,0.0552319563101237,0.502216228623399,0.732747353476411,0.750005086461885,0.113459265763509,0,0,0,0,0,0
4-hydroxybenzoic acid (p-salicylic acid),2,3,3,3,3,3,3,3,3,3,3,2,13.7085562370479,14.6470097254947,14.4711638698366,14.4955836254769,14.5660969064765,14.4228019262671,14.7775274630649,14.4373390918181,14.504145821354,14.5572941384275,14.8361499703715,14.6184205302185,0.000692371494642782,0.336535601882164,0.862133039644381,0.157181926023888,0.464539277358228,0.600781205935487,-1,0,0,0,0,0
Arachidic acid,2,3,3,3,3,3,3,3,3,3,3,2,15.5326956363567,15.4482080457232,15.6291132703284,15.4921099555803,15.6332127175277,15.5277455172817,15.5975771558264,15.7345804705745,15.538008359588,15.4272284361106,15.5536752459693,15.6434755598341,0.600605669879828,0.55864026600057,0.558640266000577,0.558640266000577,0.558640266000583,0.600605669879828,0,0,0,0,0,0
