Sample.ID,pre,inc
Wein_Blank.01,NA,NA
Wein_Blank.02,NA,NA
Wein_Blank.03,NA,NA
Pooled.QC1,NA,NA
Pooled.QC2,NA,NA
Pre_2_1,-2,pre
Pre_2_2,-2,pre
Pre_2_3,-2,pre
Pre_6_1,-6,pre
Pre_6_2,-6,pre
Pre_6_3,-6,pre
A_2_1,-2,2
A_2_2,-2,2
A_2_3,-2,2
A_6_1,-6,2
A_6_2,-6,2
A_6_3,-6,2
B_2_1,-2,4
B_2_2,-2,4
B_2_3,-2,4
B_6_1,-6,4
B_6_2,-6,4
B_6_3,-6,4
C_2_1,-2,6
C_2_2,-2,6
C_2_3,-2,6
C_6_1,-6,6
C_6_2,-6,6
C_6_3,-6,6
D_2_1,-2,8
D_2_2,-2,8
D_2_3,-2,8
D_6_1,-6,8
D_6_2,-6,8
D_6_3,-6,8
E_2_1,-2,10
E_2_2,-2,10
E_2_3,-2,10
E_6_1,-6,10
E_6_2,-6,10
E_6_3,-6,10
