m/z,RT [min],Name,Tags,RefMet Nomenclature,Main class, Sub class,Formula,Annot. DeltaMass [ppm],Calc. MW,Reference Ion,Wein_Blank 01,Wein_Blank 02,Wein_Blank 03,Pooled QC1,Pooled QC2,Pre_2_1,Pre_2_2,Pre_2_3,Pre_6_1,Pre_6_2,Pre_6_3,A_2_1,A_2_2,A_2_3,A_6_1,A_6_2,A_6_3,B_2_1,B_2_2,B_2_3,B_6_1,B_6_2,B_6_3,C_2_1,C_2_2,C_2_3,C_6_1,C_6_2,C_6_3,D_2_1,D_2_2,D_2_3,D_6_1,D_6_2,D_6_3,E_2_1,E_2_2,E_2_3,E_6_1,E_6_2,E_6_3
277.21791,0.989,(±)13-HODE,Not in Internal DB. MS/MS match only,13-HODE,,,C18 H32 O3,1.35,296.23555,[M-H-H2O]-1,161191.0078,142732.6817,148920.9387,19902497.96,26158467.67,22055510.91,24744396.38,20811150.58,57806193.9,73558585.04,54601635.57,16229888.67,32361070.47,19720529.13,37991490.03,23144107.41,29642860.69,15744696.6,24807016.14,35595081.48,30236184.21,33460918.5,26000387.47,9817746.706,11730033.18,12685958.68,42449946.48,22091688.29,28727603.04,7721205.277,21090710.9,19625885.49,17397004.54,19785857.17,22378302.17,19792806.28,16082425.76,16385073.8,51331019.65,31472953.79,23524443.17
471.34918,1.009,"10,11-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydropicene-4a(2H)-carboxylic acid",Not in Internal DB. MS/MS match only;Potential ID (Low Confidence),-,Isoprenoids,C30 isoprenoids,C30 H48 O4,2.52,472.35645,[M-H]-1,435692.3256,385800.2679,402526.8591,104245688.1,115793793.4,153358006.9,84913105.77,130894031.2,173246433.9,93661516.57,134458794.4,81353177.03,136176922.5,134341958.8,138750765.6,61221909.05,58979459.65,132007800.1,130861858,101946242.4,129702934.3,111275104.6,118817095,62301274.43,91866065.61,21355006.39,88315452.42,88481260.64,71010968.69,104805954.2,37391769.38,134852329.3,121120585.7,133216202.8,109282248.3,103895619.8,90751686.48,96719470.28,124106618.6,55310696.31,117398268.6
469.33357,0.997,18-?-Glycyrrhetinic acid,Not in Internal DB. MS/MS match only;Potential ID (Low Confidence),-,Isoprenoids,C30 isoprenoids,C30 H46 O4,2.63,470.34085,[M-H]-1,187680.6962,166188.9793,173394.1974,57714918.17,74573972.29,66135390.49,65026992.94,57417408.59,87951652.29,50532257.78,93483782.35,38745432.07,91752793.02,102158812.5,79940091.93,59207990.85,49312622.3,58576597.46,93387498.74,60941031.06,32925000.32,68395149.45,69073644.78,46711776.64,63475314.67,49568686.41,64138820.47,53152479.1,79513155.2,54799456.99,40792381.1,53805316.58,70954710.99,76928393.24,66757103.86,83933641.31,65319035.19,51929292.69,55258416.74,41293719.14,78064771.21
487.34421,1.086,"3,21,23-Trihydroxyolean-12-en-28-oic acid",Not in Internal DB. MS/MS match only;Potential ID (Low Confidence),-,Isoprenoids,C30 isoprenoids,C30 H48 O5,2.67,488.35148,[M-H]-1,396443.6383,552144.3146,332473.3454,101471213.4,112289734.3,100932697.7,88698658.81,65769627.79,119669741,76058563.21,111236522.5,65379846.36,109278179.1,128945508.5,115600074.2,93767032.56,83723713.72,91916881.73,112092754.9,86481541.05,72744482.92,78212641.85,92767220.72,81429461.75,82479934.56,94452599.71,108703618.3,61603080.51,109598282.1,80597867.99,78906223.12,101118793.5,104758818.5,94258462.7,105866516.1,109966386.3,59086893.33,83292033.62,95227213.1,58614140.4,104793019.2
497.36523,0.937,"3-Acetoxylanosta-8,24-dien-21-oic acid",Not in Internal DB. MS/MS match only,-,,,C32 H50 O4,3.19,498.3725,[M-H]-1,37969.78687,57208.55648,58209.01295,2351664.444,2085226.408,420279.1656,984869.4549,2099342.421,4405965.859,1646078.092,2825465.923,969591.5512,2030860.954,3714255.623,3417632.384,236072.1625,749989.2497,6336731.934,2323419.018,2012918.676,2242516.255,2475513.773,1634184.908,379521.1312,1636244.002,671792.2475,1726512.321,2919410.003,869683.8719,722978.536,262642.2,2274843.993,4431977.45,4925959.586,2611931.057,2612222.684,1535659.789,2827194.731,2870114.752,472360.7331,1527457.734
305.24881,0.98,"8Z,11Z,14Z-Eicosatrienoic acid",Not in Internal DB. MS/MS match only,Bishomo-gamma-linolenic acid,Fatty acids,Unsaturated FA,C20 H34 O2,0.69,306.25609,[M-H]-1,305821.1026,148010.9037,778488.9308,2294903.945,2171648.954,1763472.396,1511670.288,1571457.553,8192906.429,5446510.674,5666250.519,4495129.868,6961057.565,3505131.383,3174766.388,2111826.253,3557719.618,1698715.272,3398256.528,4086213.887,2621279.005,2288437.084,3575529.764,658679.3316,2432360.381,1463391.472,2755206.679,1955432.219,932784.2855,789944.4378,1046338.57,3220534.824,3241921.399,4035191.765,1084363.472,792532.8988,1064606.933,2250428.545,13674241.21,1357743.309,1476111.098
485.32861,1.006,"9-hydroxy-5b,8,8,11a-tetramethyl-1-(prop-1-en-2-yl)octadecahydro-1H-cyclopenta[a]chrysene-3a,5a-dicarboxylic acid",Not in Internal DB. MS/MS match only;Potential ID (Low Confidence),-,,,C30 H46 O5,2.81,486.33589,[M-H]-1,351337.3012,311104.9173,324593.0488,57632003.07,79341731.21,54426572.37,69004230.99,50604884.15,78526311.21,44102749.35,86595110.62,32759538.9,71592040.54,109891098.9,72221000.68,77325137.63,59027318.04,68433486.83,89585042.75,56703495.04,65216536.42,54234467.8,60934471.13,60391877.15,59230946.44,70866490.85,95624999.32,51478483.75,79408302.67,58663055.26,46984710.87,65518887.74,71156328.21,59440307.92,70857695.27,91249760.69,44212477.03,50074503.71,63996530.71,42314527.52,80539596.14
303.23308,0.981,Arachidonic acid,Not in Internal DB. MS/MS match only,Arachidonic acid,Fatty acids,Unsaturated FA,C20 H32 O2,0.43,304.24036,[M-H]-1,737750.2577,401701.6111,1326605.532,4155714.766,4908042.856,4824304.556,4092563.749,2423484.89,18640975.41,6897988.404,17655551.62,2875631.837,8223974.515,13461142.05,4668513.368,3905703.015,16498124.51,2327874.864,6085927.705,4386238.075,8297986.157,5375142.665,6298336.396,1859791.202,4063329.021,3031661.911,3646937.905,3117779.971,1649638.772,3052275.431,1790197.698,5020399.124,5929085.098,6632268.279,2499758.015,1646083.319,2683520.722,2540779.923,11106358.7,2220348.882,2408892.046
471.34923,0.822,Armatinol A,Not in Internal DB. MS/MS match only;Not good Peak,-,,,C30 H48 O4,2.64,472.35651,[M-H]-1,188260.514,168870.7663,246690.8865,6224964.105,6090557.25,2683296.261,7930683.633,75197879.91,2364535.759,7144268.246,2311005.048,3875631.448,7815347.723,4588900.545,6912299.512,15150739.32,17003097.49,3088079.005,3705439.779,3989123.165,2674965.639,7431524.594,6685911.224,3987784.207,12824005.74,5839486.948,6762618.183,9527474.107,35439337.27,13934292.98,9895114.251,1288356.144,4828108.726,6142975.409,6897087.957,13897926.67,6172462.527,2651606.709,3257957.741,19472900.84,2768882.333
174.08809,7.433,Citrulline,Confirmed ID (HIgh Confidence),Citrulline,Amino acids and peptides,Amino acids,C6 H13 N3 O3,-1.87,175.09536,[M-H]-1,12301.35408,15407.88272,30141.15653,2989533.301,3271792.387,2444569.481,2319497.585,1292066.922,4167580.761,3254104.58,4717654.618,1180077.549,3320911.677,2426403.513,2713468.528,1985533.224,2423864.869,1570459.243,5430829.885,5655245.486,4096883.506,4217872.494,2983428.328,1249382.567,3095313.745,2654446.862,3380758.318,5149209.56,4058992.443,1719561.486,1469295.51,3947630.08,1958749.151,3044448.919,3295039.211,2062248.797,1772484.965,1331772.604,2491186.369,2318994.503,2569965.932
