Sample.ID,pre,inc
Wein_Blank.01,NA,NA
Wein_Blank.02,NA,NA
Wein_Blank.03,NA,NA
Pooled.QC1,NA,NA
Pooled.QC2,NA,NA
X2_Pre_6_3,-6,pre
X7_Pre_6_2,-6,pre
X20_Pre_2_3,-2,pre
X22_Pre_2_2,-2,pre
X35_Pre_6_1,-6,pre
X36_Pre_2_1,-2,pre
X16_A_6_2,-6,2
X17_A_6_3,-6,2
X19_A_2_1,-2,2
X25_A_6_1,-6,2
X29_A_2_3,-2,2
X33_A_2_2,-2,2
X1_B_2_3,-2,4
X4_B_2_2,-2,4
X18_B_6_3,-6,4
X21_B_6_2,-6,4
X31_B_2_1,-2,4
X32_B_6_1,-6,4
X3_C_6_3,-6,6
X5_C_6_2,-6,6
X14_C_2_2,-2,6
X26_C_6_1,-6,6
X28_C_2_3,-2,6
X30_C_2_1,-2,6
X6_D_6_3,-6,8
X11_D_2_2,-2,8
X15_D_6_2,-6,8
X23_D_6_1,-6,8
X24_D_2_1,-2,8
X34_D_2_3,-2,8
X8_E_2_2,-2,10
X9_E_2_1,-2,10
X10_E_6_3,-6,10
X12_E_6_1,-6,10
X13_E_2_3,-2,10
X27_E_6_2,-6,10
