Name,Pre_2_1,Pre_2_2,Pre_2_3,Pre_6_1,Pre_6_2,Pre_6_3,A_2_1,A_2_2,A_2_3,A_6_1,A_6_2,A_6_3,B_2_2,B_2_3,B_6_1,B_6_2,B_6_3,C_2_1,C_2_2,C_2_3,C_6_1,C_6_2,C_6_3,D_2_1,D_2_2,D_2_3,D_6_1,D_6_2,D_6_3,E_2_1,E_2_2,E_2_3,E_6_1,E_6_2,E_6_3
(±)13-HODE,24.1659744072892,24.2060945300265,24.1244522010001,25.4087650949826,25.679193795701,25.5368771037158,24.1158877150426,24.7550227592588,24.1700920590467,25.3543529478165,24.5457617079959,24.9017231941014,24.6150779925713,25.0797890100123,24.5960636267096,24.7797613497691,24.5444195303606,23.4066070546214,23.447044097737,23.6154480562767,25.2987562442744,24.4267191886339,25.0564412861962,23.8872522204213,24.3979576714379,24.1404919838939,23.7538527305793,24.1050109849778,24.440443896109,24.4433417204382,24.232910877379,23.8130339183412,25.582992838058,24.8711097966524,24.5478746697029
10,11-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydropicene-4a(2H)-carboxylic acid,26.9636668141328,25.9849799220931,26.7774228782847,26.9922947612001,26.0277564654983,26.8370251505428,26.4414332989663,26.8281737575678,26.9382318618111,27.2231004789471,25.949164816518,25.8942511171482,27.0143025329447,26.5978478017533,26.6969267562681,26.5133432537955,26.7365569232481,26.0724048784969,26.4163690465518,24.3667898377256,26.3556593955249,26.4285874527221,26.3620455505306,27.6500030221158,25.2240706880767,26.9210427725244,26.5533859917304,26.8562390772223,26.7283304771333,26.8354284711061,26.7293503020931,26.374458090559,26.8566700704964,25.6845557166408,26.8670533218297
18-?-Glycyrrhetinic acid,25.7502577227809,25.6000313911999,25.5885836909707,26.0142516909583,25.1375047080861,26.3126490432584,25.3712608438775,26.2585155031579,26.5431355524071,26.4275958839003,25.9009086826827,25.6359954853271,26.527559215835,25.8555250154681,24.718970997496,25.8111783154897,25.9540217589681,25.656929521066,25.8830326453545,25.5816445353714,25.8941913318918,25.6933524946309,26.525197232678,26.714515843662,25.3496496682999,25.5954829708008,25.7819122842094,26.0640575932624,26.0172646794168,26.5276147150671,26.2549293298697,25.4772003225394,25.6893561459847,25.2629195737246,26.2783857363124
3,21,23-Trihydroxyolean-12-en-28-oic acid,26.3601569408361,26.0479049708622,25.7845169775153,26.4585275117805,25.7274107529991,26.5634915801227,26.1260805982193,26.510696872106,26.8790834133927,26.9597470708078,26.5641975606119,26.3996748185922,26.7909509061039,26.3605033375862,25.8626253784254,26.0046861174301,26.3795015266016,26.4586940694082,26.2608801915699,26.511806013899,26.6553215668988,25.9062180079654,26.9881569430197,27.2710959225866,26.3014890330534,26.5057134863087,26.3440135986348,26.3571635694002,26.6825177669582,26.9173562379974,26.1102639953782,26.1588302645252,26.4745358309394,25.7682459626713,26.7031848049851
3-Acetoxylanosta-8,24-dien-21-oic acid,18.4523269769345,19.5550689980797,20.8151048789022,21.6950712310636,20.197404752862,21.2644936311182,20.0507555491601,20.7609267996813,21.7615388103953,21.8797457797287,17.9304885241778,19.597052238655,21.1986510446379,20.9354718984856,20.8429778907404,21.0230841831139,20.5525295459833,18.7134672286113,20.6052968122927,19.3763744652072,20.6789260443351,21.5069642549493,20.010638553328,20.4704508730095,18.0705924967906,21.0315737511554,21.7810362560369,22.0990181140712,21.3415320341231,21.5217153367535,20.8443563895124,21.2780949087925,21.4223422437653,18.8130300623633,20.6029184604927
8Z,11Z,14Z-Eicosatrienoic acid,20.5213261250761,20.1732080920447,20.3972706806721,22.5899882530846,21.9237042304616,22.2683992299421,22.2636693134864,22.5381418384688,21.6779342242066,21.7733989936973,21.0916798335163,21.8430632343406,21.7471964465413,21.9569477332718,21.0681303682375,20.909718835548,21.6821153252159,19.508863294675,21.1772659044072,20.4996031697665,21.3532259596701,20.9287749461731,20.1116909572686,20.598249238593,20.0647716005418,21.5331064333589,21.3299348279599,21.8112505590106,20.0732636375742,19.8009801785451,20.3158186202037,20.9489234099037,23.6746226986525,20.3362798710373,20.5535873089027
9-hydroxy-5b,8,8,11a-tetramethyl-1-(prop-1-en-2-yl)octadecahydro-1H-cyclopenta[a]chrysene-3a,5a-dicarboxylic acid,25.4691464089407,25.6856775041548,25.4063721057731,25.8507171378307,24.9411686628037,26.202218505598,25.1291496621565,25.9005626283284,26.6483964258863,26.2810950621858,26.2860542803157,25.8954213052858,26.467587656369,25.7515487677829,25.7050253661338,25.4764943254888,25.7731450107105,26.0274977200001,25.7831881423711,26.0973191198281,26.470381341848,25.6471850731206,26.5232935218886,26.8128064569034,25.5535413177018,25.8796451019683,25.7860058769414,25.6919830068836,26.1032678530194,26.6481863194699,25.6918794128689,25.4247279649164,25.901155617108,25.2981502700283,26.3234123333424
Arachidonic acid,21.9732281186897,21.6100694753406,21.0222504645591,23.7760183626487,22.2645476757545,23.9080548331185,21.619185497931,22.7786711268067,23.6191946113473,22.3297117713354,21.9787709418622,24.0563405418641,22.5878788796877,22.0591671317569,22.7306206985608,22.1416592537539,22.4989291266372,21.0063557680422,21.9175710976381,21.5503962872143,21.7577510502003,21.6018065345416,20.9342257146664,22.5483113050934,20.8395407703052,22.1736082049788,22.2008952184487,22.5281156883177,21.278203661173,20.855474811086,21.6496247821541,21.123995070117,23.3745478154799,21.0458555015386,21.2601557413881
Armatinol A,21.1269134823569,22.564509818981,25.9777874597438,20.7971698750682,22.315158222604,20.9745252528197,22.0497379011252,22.7051453964987,22.0666142419883,22.8959142884366,23.9345049796633,24.0998361012677,21.8720464620882,21.9222546790429,21.097379807745,22.6090144203415,22.5850825112156,22.1068024509574,23.5756839798577,22.4961290339665,22.6486473161155,23.213381199468,25.3593552883648,24.7389940487042,23.3061382170109,20.2113375982658,21.9045438801477,22.4175509305219,22.7424025825258,23.9332352180543,22.8513439263857,21.185590460753,21.6052017151186,24.1784650278194,21.4610897463823
Citrulline,20.9924875430013,20.790876930003,20.1148481726552,21.6148230717416,21.1806325891304,22.0040746436606,20.3341881861542,21.4704146864067,21.1472851941946,21.5468867329408,21.0027151910107,21.2894196877747,22.4235743566447,22.4257726622959,21.7123863187839,21.7918716902958,21.4209294312531,20.4324304132125,21.524994558902,21.3586986743486,21.648412299766,22.3256384026892,22.2331972223554,21.720466854172,20.5545464370868,21.8267929470482,20.6030183644721,21.4047944294964,21.6767108506893,21.1806558443301,21.0512711435284,20.1920714202954,21.2180667799155,21.1085685175915,21.3535352353256
