Name,Pre_2_1,Pre_2_2,Pre_2_3,Pre_6_1,Pre_6_2,Pre_6_3,A_2_1,A_2_2,A_2_3,A_6_1,A_6_2,A_6_3,B_2_1,B_2_2,B_2_3,B_6_1,B_6_2,B_6_3,C_2_1,C_2_2,C_2_3,C_6_1,C_6_2,D_2_2,D_2_3,D_6_1,D_6_2,D_6_3,E_2_1,E_2_2,E_2_3,E_6_1,E_6_2,E_6_3
(±)13-HODE,24.1824212575539,24.2225413802912,24.1408990512648,25.4252119452473,25.6956406459657,25.5533239539806,24.1323345653074,24.7714696095236,24.1865389093115,25.3707997980813,24.5622085582606,24.9181700443662,23.9973821510258,24.6315248428361,25.0962358602771,24.6125104769743,24.7962082000338,24.5608663806254,23.4230539048862,23.4634909480018,23.6318949065414,25.3152030945392,24.4431660388987,24.4144045217027,24.1569388341586,23.7702995808441,24.1214578352425,24.4568907463737,24.459788570703,24.2493577276437,23.8294807686059,25.5994396883228,24.8875566469171,24.5643215199677
10,11-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydropicene-4a(2H)-carboxylic acid,26.9801136643976,26.0014267723579,26.7938697285494,27.0087416114649,26.0442033157631,26.8534720008076,26.457880149231,26.8446206078326,26.9546787120759,27.2395473292118,25.9656116667827,25.910697967413,27.065067467197,27.0307493832094,26.614294652018,26.7133736065328,26.5297901040603,26.7530037735129,26.0888517287617,26.4328158968166,24.3832366879903,26.3721062457897,26.4450343029869,25.2405175383414,26.9374896227892,26.5698328419952,26.8726859274871,26.7447773273981,26.8518753213709,26.7457971523579,26.3909049408238,26.8731169207611,25.7010025669055,26.8835001720944
18-?-Glycyrrhetinic acid,25.7667045730456,25.6164782414647,25.6050305412354,26.0306985412231,25.1539515583508,26.3290958935232,25.3877076941423,26.2749623534227,26.5595824026719,26.4440427341651,25.9173555329475,25.6524423355918,25.8928405877853,26.5440060660997,25.8719718657329,24.7354178477607,25.8276251657545,25.9704686092329,25.6733763713308,25.8994794956193,25.5980913856362,25.9106381821566,25.7097993448957,25.3660965185646,25.6119298210656,25.7983591344741,26.0805044435272,26.0337115296816,26.5440615653319,26.2713761801345,25.4936471728042,25.7058029962495,25.2793664239893,26.2948325865771
3,21,23-Trihydroxyolean-12-en-28-oic acid,26.3766037911009,26.064351821127,25.8009638277801,26.4749743620453,25.7438576032638,26.5799384303875,26.1425274484841,26.5271437223708,26.8955302636574,26.9761939210726,26.5806444108766,26.416121668857,26.5428460495355,26.8073977563686,26.3769501878509,25.8790722286902,26.0211329676948,26.3959483768664,26.475140919673,26.2773270418346,26.5282528641637,26.6717684171636,25.9226648582302,26.3179358833182,26.5221603365734,26.3604604488996,26.373610419665,26.6989646172229,26.9338030882622,26.126710845643,26.17527711479,26.4909826812041,25.7846928129361,26.7196316552498
3-Acetoxylanosta-8,24-dien-21-oic acid,18.4687738271993,19.5715158483445,20.8315517291669,21.7115180813283,20.2138516031268,21.280940481383,20.0672023994249,20.777373649946,21.77798566066,21.8961926299935,17.9469353744426,19.6134990889198,22.684327084862,21.2150978949027,20.9519187487504,20.8594247410052,21.0395310333787,20.568976396248,18.729914078876,20.6217436625574,19.392821315472,20.6953728945999,21.5234111052141,18.0870393470554,21.0480206014202,21.7974831063017,22.1154649643359,21.3579788843879,21.5381621870183,20.8608032397771,21.2945417590572,21.4387890940301,18.8294769126281,20.6193653107574
8Z,11Z,14Z-Eicosatrienoic acid,20.5377729753409,20.1896549423095,20.4137175309368,22.6064351033493,21.9401510807264,22.2848460802069,22.2801161637512,22.5545886887336,21.6943810744714,21.7898458439621,21.108126683781,21.8595100846053,20.785032156394,21.7636432968061,21.9733945835366,21.0845772185022,20.9261656858127,21.6985621754807,19.5253101449398,21.193712754672,20.5160500200312,21.3696728099348,20.9452217964379,20.0812184508066,21.5495532836237,21.3463816782246,21.8276974092754,20.0897104878389,19.8174270288099,20.3322654704685,20.9653702601685,23.6910695489173,20.352726721302,20.5700341591675
9-hydroxy-5b,8,8,11a-tetramethyl-1-(prop-1-en-2-yl)octadecahydro-1H-cyclopenta[a]chrysene-3a,5a-dicarboxylic acid,25.4855932592055,25.7021243544196,25.4228189560379,25.8671639880955,24.9576155130684,26.2186653558628,25.1455965124213,25.9170094785931,26.664843276151,26.2975419124506,26.3025011305805,25.9118681555505,26.117218651579,26.4840345066338,25.7679956180477,25.7214722163986,25.4929411757535,25.7895918609753,26.0439445702648,25.7996349926358,26.1137659700928,26.4868281921128,25.6636319233853,25.5699881679666,25.8960919522331,25.8024527272062,25.7084298571484,26.1197147032842,26.6646331697347,25.7083262631336,25.4411748151812,25.9176024673728,25.3145971202931,26.3398591836072
Arachidonic acid,21.9896749689544,21.6265163256054,21.0386973148239,23.7924652129135,22.2809945260193,23.9245016833833,21.6356323481957,22.7951179770715,23.6356414616121,22.3461586216001,21.9952177921269,24.0727873921288,21.239601606688,22.6043257299525,22.0756139820216,22.7470675488256,22.1581061040186,22.515375976902,21.022802618307,21.9340179479029,21.5668431374791,21.7741979004651,21.6182533848063,20.85598762057,22.1900550552435,22.2173420687135,22.5445625385824,21.2946505114378,20.8719216613507,21.6660716324188,21.1404419203818,23.3909946657447,21.0623023518034,21.2766025916528
Armatinol A,21.1433603326216,22.5809566692457,25.9942343100085,20.813616725333,22.3316050728687,20.9909721030845,22.06618475139,22.7215922467635,22.0830610922531,22.9123611387013,23.9509518299281,24.1162829515325,21.6472977618979,21.888493312353,21.9387015293076,21.1138266580098,22.6254612706063,22.6015293614804,22.1232493012222,23.5921308301225,22.5125758842312,22.6650941663803,23.2298280497327,23.3225850672756,20.2277844485305,21.9209907304125,22.4339977807866,22.7588494327905,23.9496820683191,22.8677907766505,21.2020373110178,21.6216485653834,24.1949118780841,21.4775365966471
Citrulline,21.0089343932661,20.8073237802677,20.1312950229199,21.6312699220064,21.1970794393952,22.0205214939253,20.3506350364189,21.4868615366714,21.1637320444594,21.5633335832055,21.0191620412755,21.3058665380395,20.6717746013511,22.4400212069095,22.4422195125607,21.7288331690486,21.8083185405606,21.4373762815178,20.4488772634773,21.5414414091668,21.3751455246134,21.6648591500308,22.342085252954,20.5709932873516,21.843239797313,20.6194652147368,21.4212412797612,21.6931577009541,21.1971026945949,21.0677179937932,20.2085182705602,21.2345136301802,21.1250153678562,21.3699820855904
