Name,X20_Pre_2_3,X22_Pre_2_2,X35_Pre_6_1,X36_Pre_2_1,X16_A_6_2,X17_A_6_3,X19_A_2_1,X25_A_6_1,X29_A_2_3,X33_A_2_2,X18_B_6_3,X21_B_6_2,X32_B_6_1,X5_C_6_2,X14_C_2_2,X28_C_2_3,X30_C_2_1,X6_D_6_3,X11_D_2_2,X15_D_6_2,X23_D_6_1,X24_D_2_1,X34_D_2_3,X8_E_2_2,X9_E_2_1,X10_E_6_3,X12_E_6_1,X13_E_2_3,X27_E_6_2
2,2,6,6-Tetramethyl-4-piperidinol,26.3297440222146,26.3172039154968,26.937805477228,26.6577038149331,27.0457863758233,26.2948967646697,26.6703610002487,26.8498219706265,26.1325369602446,26.415977506031,26.828210402484,27.1433296393157,27.2546020876022,26.9275373272752,26.9267593488716,26.4059181121269,26.5763782096778,27.4753886337544,26.9621989337905,26.9111624788478,27.3176292870762,27.4105752124158,26.3932366626319,27.8132435823579,27.7085851899562,27.6152165191934,27.3574435144772,26.8595149929738,26.8646585996029
4-Guanidinobutanoic acid,20.9978812526508,21.8917549754497,23.4572501473057,22.8285942976659,20.814940054088,20.9470091362211,20.1924025189328,21.3086881384329,22.1121275895705,21.5667455474234,22.1977739804033,21.5257423926167,22.3542129002632,22.6960985610216,21.6578053747579,20.9289326865259,20.6175747187689,21.4214636055131,20.9339889704746,21.7986535418168,22.2961253748849,20.6238551015906,21.9421095277907,20.4376127618433,20.1395695075829,22.1150376972544,21.8553925114375,21.3864592216439,18.324977454424
Acetyl-L-carnitine,23.4222230136475,23.8117797227001,22.0833024393513,22.1871045485839,20.9979486076475,21.2219071320989,21.4340689012964,20.9270539486925,20.8179536238457,21.2328314407676,20.177682874198,22.7508785398952,20.9973793070912,21.9197332233178,19.901878998148,21.0327736812614,20.5979620761651,20.7384078967454,21.3296186561805,20.5090125203644,20.2880846367372,20.5025052244576,20.4096879181809,20.7731607999198,20.7838758650004,20.0619750365373,19.794044397385,20.4610844545122,22.722336060368
Adenine,26.3228873865428,26.7330014515666,27.9073565792731,27.5126035251815,26.0674409152816,26.1476863043597,25.6978541288202,26.5565336508445,25.954132262532,26.1504035768695,26.458380235407,25.8776360435477,26.4907001796712,26.2731210020924,26.199150154369,26.3131172787635,25.5788013646326,26.8370482227339,26.5761189003551,26.1392207709339,26.6064203338065,27.0176932377667,26.4289474726164,26.9962098203579,26.8580064999963,27.2550280078665,27.0816755757072,26.5494359136311,26.2003795483104
Adenosine,28.8717588186319,29.1243517574666,29.7771873528815,29.8917675664462,29.4978372566195,29.6530926905256,29.300901998531,29.6779799258294,29.5691976951336,29.7475147081449,29.8122318349941,29.0622830684234,29.6544623902075,29.8645585802692,29.8656924799276,30.1211895461792,29.8487670136961,30.4165544730996,30.1668785128322,29.5847805276341,30.0852556256612,30.8550881897184,30.1382417876649,30.5498893637761,30.1619829573961,30.9797250886707,30.6778133770343,30.0818377474487,29.6455299970752
Betaine,30.0319170890548,30.4608556199864,30.5182380826437,30.3086042487025,30.2804194356025,30.7135565277026,30.0662809791799,30.2191441468353,30.3528376897851,30.2735914983928,30.4143095452624,30.2020845927712,30.1559602542306,30.9782630350913,30.2489537004446,30.4094533496538,29.921187510073,30.6507599738806,29.9849073950471,30.006781474131,30.3366002387967,30.1305558161443,30.0664026266137,30.2083278086731,30.1628468518608,30.8018237992744,29.9383398972103,30.1309489707894,30.1365379785224
Bis(methylbenzylidene)sorbitol,22.119732173178,21.3944446073638,22.5884147493822,22.1510058167523,21.9884514994359,22.435072899964,22.3217297288836,22.9772543322138,21.6996190474135,22.1741283476422,22.5819043991767,21.699038215865,20.8960607706716,23.5762417534624,23.1961217201284,22.5659996394205,21.2680669242363,22.8616410460675,22.6363285640392,22.3601607813783,22.3011898046092,22.6288844094999,22.6155223850126,22.3794531081667,22.2811765108589,22.3633765117532,22.4593697357579,23.4756625787556,22.8017947486156
Choline,29.3730088358144,29.0279953117385,29.3256528324787,29.4573041354415,29.722570044987,29.8535954966238,29.7577729975229,29.6457423441194,29.3894689995377,29.4727133564407,29.605943505706,28.8591414985584,29.4527215968127,29.4882380022446,29.6256638032354,29.446032032525,29.7595834311618,29.9325523248952,30.0418447709546,29.7660784641727,29.5104111368633,30.0148449120531,29.5143058462756,29.9900790229835,30.1341875068741,30.3453790359799,29.9548301053839,29.7031455426556,29.8899506132842
Cytosine,25.4947013887108,25.8845911401304,27.2439358217819,26.8289881064641,26.1472506085248,25.3135636738776,25.1083470544303,26.1934555503846,25.7432266777077,25.4031901672961,25.3862027903652,24.7914284740782,25.8275344704975,25.384859429894,25.0128860707239,25.8988583709634,26.4611130715452,25.8392078802985,25.7342085485374,25.0286093885496,25.4745577240056,26.2462908112624,25.8463085557303,26.2248306349612,26.0437272585735,26.0610151617927,25.898413648287,25.3387348540404,25.9290361660895
DEET,20.9937949485264,21.1198358286314,23.7677770183638,23.6440628134784,22.6875010312131,21.5991452179049,20.9279345053199,21.922437970861,20.067660249831,21.7902334209634,21.536076841145,22.144314384313,21.2779774134417,21.5129680245685,20.9953458613231,22.5690573883007,21.8613728462016,21.4271300607269,20.6725483076518,23.9160729314391,21.4645626519312,21.9890560027813,22.3108281852676,20.6747682535535,24.2847839406202,19.731706365872,19.8528645721277,21.0804604784396,22.2407574483022
Deoxyadenosine,25.8565943011487,25.9655506958201,26.9558185279236,26.8745025036099,26.1261150631901,25.8219410348583,24.865935907532,26.8756658580439,26.2553926384073,25.7212624024718,26.3556544301562,25.4979667886299,25.9155309162025,26.257323368761,26.0074837387507,25.4903680572443,26.7701990000595,26.6136030784558,26.1921892918106,24.3681526179818,25.6435612294598,26.8234794344537,25.7451711585543,26.3781510090598,26.6212508099233,26.7028183129612,25.993963689855,26.2011517509834,25.7560707778318
