Name,X7_Pre_6_2,X20_Pre_2_3,X22_Pre_2_2,X35_Pre_6_1,X36_Pre_2_1,X16_A_6_2,X17_A_6_3,X19_A_2_1,X25_A_6_1,X29_A_2_3,X33_A_2_2,X18_B_6_3,X21_B_6_2,X31_B_2_1,X32_B_6_1,X5_C_6_2,X14_C_2_2,X26_C_6_1,X28_C_2_3,X30_C_2_1,X6_D_6_3,X11_D_2_2,X15_D_6_2,X23_D_6_1,X24_D_2_1,X34_D_2_3,X8_E_2_2,X9_E_2_1,X10_E_6_3,X12_E_6_1,X13_E_2_3,X27_E_6_2
2,2,6,6-Tetramethyl-4-piperidinol,28.3666426213072,26.329057636087,26.3165175293693,26.9371190911005,26.6570174288056,27.0450999896957,26.2942103785421,26.6696746141211,26.8491355844989,26.1318505741171,26.4152911199034,26.8275240163565,27.1426432531881,26.9895150741264,27.2539157014746,26.9268509411476,26.926072962744,27.0583918517143,26.4052317259994,26.5756918235502,27.4747022476269,26.9615125476629,26.9104760927202,27.3169429009487,27.4098888262882,26.3925502765043,27.8125571962303,27.7078988038287,27.6145301330658,27.3567571283496,26.8588286068462,26.8639722134753
4-Guanidinobutanoic acid,22.5891055238067,20.9971948665233,21.8910685893221,23.4565637611781,22.8279079115384,20.8142536679604,20.9463227500935,20.1917161328052,21.3080017523054,22.1114412034429,21.5660591612958,22.1970875942757,21.5250560064891,20.8245162657124,22.3535265141356,22.695412174894,21.6571189886304,19.9416992565494,20.9282463003983,20.6168883326414,21.4207772193855,20.933302584347,21.7979671556892,22.2954389887574,20.623168715463,21.9414231416632,20.4369263757157,20.1388831214553,22.1143513111268,21.8547061253099,21.3857728355163,18.3242910682964
Acetyl-L-carnitine,22.4818968227272,23.42153662752,23.8110933365725,22.0826160532237,22.1864181624564,20.9972622215199,21.2212207459713,21.4333825151688,20.9263675625649,20.8172672377182,21.23214505464,20.1769964880705,22.7501921537676,20.557638831375,20.9966929209636,21.9190468371902,19.9011926120204,21.1753515814118,21.0320872951338,20.5972756900376,20.7377215106178,21.328932270053,20.5083261342368,20.2873982506096,20.50181883833,20.4090015320533,20.7724744137923,20.7831894788728,20.0612886504097,19.7933580112574,20.4603980683846,22.7216496742405
Adenine,28.1367293500253,26.3222010004153,26.7323150654391,27.9066701931455,27.5119171390539,26.066754529154,26.1469999182322,25.6971677426926,26.5558472647169,25.9534458764044,26.1497171907419,26.4576938492794,25.8769496574202,26.2007304441062,26.4900137935436,26.2724346159648,26.1984637682414,26.5194108956692,26.3124308926359,25.5781149785051,26.8363618366063,26.5754325142275,26.1385343848063,26.6057339476789,27.0170068516391,26.4282610864888,26.9955234342304,26.8573201138687,27.2543416217389,27.0809891895796,26.5487495275035,26.1996931621829
Adenosine,29.8930579142602,28.8710724325043,29.123665371339,29.7765009667539,29.8910811803187,29.4971508704919,29.652406304398,29.3002156124034,29.6772935397018,29.5685113090061,29.7468283220173,29.8115454488665,29.0615966822959,29.9618344450379,29.6537760040799,29.8638721941416,29.8650060938,29.8895501941157,30.1205031600517,29.8480806275685,30.415868086972,30.1661921267046,29.5840941415066,30.0845692395337,30.8544018035908,30.1375554015373,30.5492029776485,30.1612965712685,30.9790387025431,30.6771269909067,30.0811513613211,29.6448436109476
Betaine,30.9045993229237,30.0312307029272,30.4601692338588,30.5175516965161,30.307917862575,30.2797330494749,30.712870141575,30.0655945930523,30.2184577607077,30.3521513036575,30.2729051122652,30.4136231591348,30.2013982066436,29.5563599315803,30.155273868103,30.9775766489637,30.248267314317,30.4058405739879,30.4087669635262,29.9205011239454,30.6500735877531,29.9842210089195,30.0060950880034,30.3359138526691,30.1298694300168,30.0657162404861,30.2076414225455,30.1621604657332,30.8011374131468,29.9376535110827,30.1302625846618,30.1358515923948
Bis(methylbenzylidene)sorbitol,22.3265738770505,22.1190457870504,21.3937582212362,22.5877283632546,22.1503194306247,21.9877651133083,22.4343865138364,22.321043342756,22.9765679460862,21.6989326612859,22.1734419615146,22.5812180130491,21.6983518297375,22.4757812277546,20.895374384544,23.5755553673348,23.1954353340008,21.7600414677231,22.565313253293,21.2673805381087,22.8609546599399,22.6356421779116,22.3594743952507,22.3005034184816,22.6281980233723,22.614835998885,22.3787667220391,22.2804901247313,22.3626901256257,22.4586833496303,23.474976192628,22.801108362488
Choline,30.010584329906,29.3723224496868,29.0273089256109,29.3249664463511,29.4566177493139,29.7218836588594,29.8529091104962,29.7570866113953,29.6450559579918,29.3887826134101,29.4720269703131,29.6052571195784,28.8584551124308,29.8275837950844,29.4520352106852,29.487551616117,29.6249774171078,29.8714197251803,29.4453456463974,29.7588970450342,29.9318659387676,30.041158384827,29.7653920780452,29.5097247507357,30.0141585259255,29.5136194601481,29.9893926368559,30.1335011207466,30.3446926498524,29.9541437192564,29.702459156528,29.8892642271566
Cytosine,26.5423539547061,25.4940150025832,25.8839047540029,27.2432494356543,26.8283017203365,26.1465642223972,25.31287728775,25.1076606683027,26.192769164257,25.7425402915801,25.4025037811685,25.3855164042376,24.7907420879507,25.6908489059925,25.8268480843699,25.3841730437664,25.0121996845963,26.284262021748,25.8981719848358,26.4604266854177,25.8385214941709,25.7335221624098,25.0279230024221,25.473871337878,26.2456044251348,25.8456221696027,26.2241442488337,26.0430408724459,26.0603287756652,25.8977272621594,25.3380484679128,25.9283497799619
DEET,20.7050937783357,20.9931085623988,21.1191494425038,23.7670906322362,23.6433764273508,22.6868146450855,21.5984588317773,20.9272481191923,21.9217515847334,20.0669738637034,21.7895470348359,21.5353904550174,22.1436279981854,20.806529081676,21.2772910273141,21.512281638441,20.9946594751955,21.533926639294,22.5683710021731,21.8606864600741,21.4264436745993,20.6718619215242,23.9153865453115,21.4638762658036,21.9883696166537,22.31014179914,20.674081867426,24.2840975544926,19.7310199797444,19.8521781860002,21.079774092312,22.2400710621746
Deoxyadenosine,26.9266611827828,25.8559079150211,25.9648643096925,26.955132141796,26.8738161174824,26.1254286770625,25.8212546487308,24.8652495214044,26.8749794719163,26.2547062522797,25.7205760163443,26.3549680440286,25.4972804025023,25.5438352497893,25.9148445300749,26.2566369826335,26.0067973526231,26.5357166045733,25.4896816711167,26.7695126139319,26.6129166923283,26.191502905683,24.3674662318542,25.6428748433323,26.8227930483261,25.7444847724268,26.3774646229323,26.6205644237958,26.7021319268336,25.9932773037274,26.2004653648558,25.7553843917042
Deoxycarnitine,26.1197750351899,25.9194008368419,26.0857816141934,26.6241189731397,26.6844408550688,26.4532886699291,26.5872982159973,25.9598364908144,26.5855754798069,26.794399943166,26.602638111354,26.7396275699558,26.7226995227817,25.7134768679179,26.4797157308111,26.6150961858717,27.081737642669,26.6760475362949,26.7877377302069,26.0592069559919,26.4464117838471,26.2801295811611,26.1769100858568,26.855502941417,26.5253159634764,26.5980959446941,26.1596000015066,25.6615869607225,26.6766891818719,26.7335701360596,26.6662634649498,26.1528697700427
Diethanolamine,25.7448184923891,25.1301019335123,24.8336710673653,25.1372342620634,24.3210711652439,25.2328042655609,24.8560024930609,25.6456260557611,24.9269670298231,24.1776661785904,24.6057614340639,24.6843816419676,24.1200153260905,24.5010284810531,24.7475187213422,24.9764884300253,25.8362891858737,24.0712520840794,23.2899676631104,24.6012055888251,26.0279830915549,25.8400788891267,25.3623375746622,26.1451526726363,26.7475309940074,25.1375695990597,25.9898397943727,26.6036479786971,25.9837775249658,25.7675532436752,25.9785684662335,25.2284028309648
DL-?-Leucine,25.5853878912086,25.3549534574717,25.8851096974729,25.6676097861377,25.9582253994295,25.3214786335996,25.7015095785042,25.2535174037564,25.5821286264867,26.300270236823,26.1328777412704,25.7288802590136,25.6244299939984,24.8904403677413,25.7134713821633,26.0146063096604,26.0137067134795,25.0196243156954,25.6009848762677,25.1170197631873,25.1287775662494,25.0433222284718,25.0901695697652,25.5722227150619,25.0420988682345,25.757380157489,24.9754418663302,25.2207545040098,25.297163555258,24.7278042002509,25.7389098655603,24.3420142219183
DL-Arginine,19.812319985055,21.8275630038818,22.7780940555949,19.3990988028443,19.9414935143042,19.7743813208585,19.6725178325427,21.917046935438,19.2794304703289,19.6115468535971,18.617595735508,19.7160139399834,21.2371480183153,19.6688820311337,19.5020605272392,20.4999720633449,19.6816166572489,19.8745627634553,19.4736911284512,19.4109803107091,20.112261097009,19.9353796215297,18.793021102204,19.9663382208557,19.6864652779953,19.7577839315275,19.7436000183431,19.4384024152271,21.4750847013763,21.2396883936074,19.8808966354785,19.0567936132482
DL-Carnitine,27.535710645704,27.9160772712693,27.8675574217009,27.633704789088,27.7891227577079,26.9329690822371,27.2807334300757,27.7671152593449,27.0072609213889,27.6212256924069,27.6365763597971,27.7110921946511,27.9146732421685,27.3835329646118,27.9908573959044,28.1738291815393,27.7765616088321,27.3447028578013,27.5683771398962,27.4467901704211,27.4233077928786,27.4417520898559,27.6314064799248,27.7528641313688,27.018114396559,27.3671854836522,27.5336559938864,27.2517966749834,27.6441194850908,26.7980202673854,27.5333836925277,27.7965960542627
DL-Citrulline,22.0256763158034,21.9709335615766,20.3164700765874,22.053982517634,21.6158639742213,20.283463356715,20.7352161651326,22.4371188184865,20.0605599132252,22.0810986350724,22.4323004982316,20.9456226022558,22.3299634238788,21.2097365162522,21.8190687228709,20.532689886045,20.1235417441369,21.7833134743795,22.0505717476136,20.906958368395,21.6662250937835,19.1893314148154,20.4240869987429,20.5226203502851,19.9206291784831,21.7233320873653,21.1813953094332,21.6354512220889,20.9958080630017,19.8640979799185,19.9831148822109,21.5023490699521
DL-Glutamine,23.0626044513565,24.3565914265307,23.7401135896208,23.610698092427,23.7303620474262,23.2648164242836,23.3577603868965,24.5213910762324,22.7413862151218,23.6463361001501,23.5486633665134,23.1522950530638,24.0287342700692,23.7460111453765,23.7125166714704,23.3400527244182,23.1250322796708,23.4860020195473,23.320618667603,22.987310395252,23.0927339604365,22.9755644798953,22.8930282766154,23.2644744159214,23.0376080722465,23.3403867695279,22.5719893068341,22.941356065227,23.4543698455981,23.0887421028987,23.1134703931646,24.0525295504821
DL-Isoleucine/Leucine,26.3836579688953,25.8128199796675,26.2044365094632,26.0186281404391,26.0595605431534,26.0441021454251,26.4083461290772,25.131781040284,26.9945467584309,26.061108405798,26.0735893934686,26.6901713432626,26.0003855828382,24.9988108921667,25.5256894858768,27.0657997328818,26.4783345391402,25.6909008260738,25.7136207427132,25.0929132579574,26.6679154043014,25.6817850568449,25.9053068656724,26.1215948005934,26.1456418944414,25.365157245284,25.8636761607922,26.4350229151216,26.2251405268136,25.7622798401639,25.7579909901168,25.3123998866702
DL-Proline,24.1154843570729,23.1737054087455,23.6190020350043,23.7349822551254,23.7179504595077,23.3134585421209,23.6525890677541,22.2955364572676,23.4351163805388,23.0012497778633,23.4055729873958,23.62459113856,23.3014492211044,22.2107712253264,22.8446517930355,23.5450394052704,22.79485299648,22.8996956943295,22.6402167015483,22.2059624258139,23.3707858907172,22.5533623451211,22.9145173591487,22.4124646429939,22.412864136493,22.3123550932305,22.8082107653543,22.7320346711466,22.6118673321912,22.4786804724486,22.6622419550987,22.815836959595
DL-Stachydrine,25.0788229263063,25.0528316623049,25.1958721296469,24.5943033818717,24.6459266473661,23.7733769136811,24.9761502746912,23.9795279610095,24.0125405620057,25.0628852919331,25.0285656454646,24.6341773014303,24.9955089233661,23.9914767637048,24.2513819845047,25.6429751956391,25.204548647591,24.6312340010657,24.8532534721625,24.0340375498251,23.9506525112741,23.7199658107775,24.3002285650223,24.5462738300294,24.5875357174697,24.4941710900974,23.6066992561285,24.696740070477,24.6525650755769,24.2679721812057,24.0555348624484,24.37100793587
Glycerophosphocholine,16.9981954260304,19.5654133374407,18.6112387302708,19.6900895177152,19.8629954519815,17.2297337896367,17.8065917990226,18.6585780250677,18.0086578056801,18.4013396521257,18.6167618054568,18.1906573841717,19.2175846851843,18.8588468361494,18.9509483574342,17.2525813360922,17.5700650633137,17.2719368286568,19.0877741069086,19.0687749031785,18.143384554221,17.551672664657,18.073443694803,17.6690569836877,17.7520071965719,18.3800078293104,18.5517418311571,17.655245621972,18.1361883715945,17.101442817366,18.6632463791308,17.3718589797687
HOTrE,23.9892288361857,22.9704541938451,23.5147254052941,23.4388618485237,23.4899322592015,23.5685529827882,23.1276523610256,22.1239895224755,23.7170672225532,22.590494226583,22.9242102426393,22.7894364253747,22.6046546579949,22.8987470983304,23.1784834042019,23.0987784381392,23.027415221749,23.4322149304256,21.7711025353771,22.277465738894,23.0543817388021,23.3586358161285,22.4856106301111,22.6474422230817,22.9351965557398,22.4658514824677,22.707715150595,23.6811391919742,23.1537290009254,22.8803260885537,23.0632289848113,22.92546337446
Hypoxanthine,27.2407083039183,24.9557808441777,26.470271122121,27.0542153033788,26.9788869047298,24.2007041765278,24.292932263992,23.6981369035963,25.021014738115,24.1533870296462,23.746484317067,26.6395948370398,23.7197199959858,24.3582221663102,24.3982906867347,24.3916240501979,24.9084933623812,24.5558602039857,24.3046812887173,24.9812297352093,24.9077962496884,24.4167758009753,23.8852338239961,24.2779283305672,25.2888779783931,24.3592005672973,25.4243541529081,24.9279370928516,24.8785457312473,24.3988284584097,24.3647113760373,23.9092125060416
LL-2,6-Diaminheptanedioic acid,23.038013485591,24.0015858503364,23.9808830827933,23.6425073773842,23.5519134022036,22.2114271009112,22.9182831148025,23.7006754259017,22.2504233872803,23.1367808050157,23.0012375012049,22.9783448039627,23.6837517292125,23.1633899680856,23.3209794818635,23.2407268314132,22.6142998295662,22.9939198599287,23.0207323799186,22.5632809398827,22.2929118299994,22.4406775648684,22.5271881971036,22.7554304018042,22.0164155369939,22.7863805811694,21.7453595790077,22.088702660548,22.8568516764705,22.258090946167,22.4522320045886,23.0954521246341
L-Pyroglutamic acid,23.0626044513565,24.3565914265307,23.7401135896208,23.610698092427,23.7303620474262,23.2648164242836,23.3577603868965,24.5213910762324,22.7413862151218,23.6463361001501,23.5486633665134,23.1522950530638,24.0287342700692,23.7460111453765,23.7125166714704,23.3400527244182,23.1250322796708,23.4860020195473,23.320618667603,22.987310395252,23.0927339604365,22.9755644798953,22.8930282766154,23.2644744159214,23.0376080722465,23.3403867695279,22.5719893068341,22.941356065227,23.4543698455981,23.0887421028987,23.1134703931646,24.0525295504821
N-alpha-Acetyl-L-Lysine,28.3170510102866,28.967683300463,28.5231364398087,27.7756017931095,27.8295348849319,27.4908743648806,27.9168801173591,28.674846587727,27.5478641158639,28.3448159089756,28.822002559481,27.9663867143685,28.6092145033051,28.594837314901,27.7292047413411,29.1171342081162,28.5366027538371,27.4729952195666,28.4264431387316,28.453770167611,28.2376017614575,28.1096971816917,28.3088434994708,28.0813053354783,28.1092038467408,28.2584102904562,28.3467191509437,28.3323145149664,26.5959117870999,26.7742103582749,28.3806613542595,27.9699560178276
N-Methyl-D-Aspartic acid,24.4956150868066,24.5052194223255,25.1103185246352,24.8823161229354,25.4671372434148,24.2462911437146,24.1027104435784,23.4000376657377,23.9251093970469,24.717229286561,24.4865771765266,24.4504373826932,24.2676007405759,24.7112408544581,24.5046983744467,24.6309144170506,24.2893594867946,24.6661595033162,24.8524844497388,23.9438856839102,24.356081002963,24.183141871469,24.4941032766283,25.0503349589493,24.78799222995,24.951602456262,24.6090861519284,24.916887492157,25.378325158413,25.1764008666851,24.8128784575743,24.7386613818485
Oleamide,22.7947414086926,20.7782932495582,21.54460878753,22.1866751566783,22.0298102797002,22.4059885719998,22.8378744676937,21.1288956497506,22.498295315103,21.8810080465707,22.6704354718417,21.5510856218595,21.7377316323649,18.5608879417727,21.1982675059324,22.7172097517024,22.0102175612468,22.3419664330505,21.2566333417714,20.233075833465,22.5444811762454,21.1091173308867,21.7799589648032,22.4852216439788,22.6096208895671,21.2730834830866,20.4157938340064,19.9251304574324,22.302310519612,20.7944853862191,20.3462545540424,22.0898664530207
Senecionine,19.6193285535486,26.8863768979841,21.0728122698976,18.6123323845863,18.6776185058972,21.3830680453687,20.8324479042567,24.3198173162239,22.9475142585128,18.5330725247417,20.071765045946,20.0529834886555,19.2513747180413,24.0074236439676,18.4438223164002,20.282361977022,18.1281226397175,21.4777096837159,19.2709604262098,20.6020326822311,22.7144632061283,26.8335137044991,21.722877302583,19.7651730406569,18.2418088948852,18.8472333209996,21.1962538676175,20.2904214781766,17.702746880149,24.5602411032836,27.026236978258,22.5848673134449
Sugars - Oligosaccharide (Tetraose),21.4425220004769,19.5403251178834,20.2645531502769,17.9772901787143,19.4659434505071,15.3633072266768,15.3030709941814,20.61966317831,19.4092346833798,20.0106369477389,20.3951963873397,19.0087328616865,21.7312349735141,20.191652730138,22.5866350321051,20.3340519106002,19.3435321823474,15.5829311537199,15.8371754066405,19.8143828974174,17.8247278206327,15.6209168729821,18.1507223269521,17.5600758057052,15.7747614005889,18.4760800764893,16.8262055206695,19.3091255667841,20.7897060524318,19.0746803814589,17.5524886550625,17.0070743665538
Sugars - Trisaccharide1,25.134755554787,25.1151162824671,24.9825072337886,23.8748109958368,23.9657525734207,23.4037190767606,23.280682183439,24.0821510061269,23.6423146605396,23.9636908295787,24.9611949603951,23.3153330384963,24.6337317216316,24.9090223921433,24.0374824984507,24.2541160110506,23.8785780463574,23.4441301336825,23.4489775089294,24.4958925384495,24.1460884570907,24.3330578011098,24.3998515047306,23.731550978536,24.1132301775459,23.4931519681851,24.7948777184568,25.6513602720432,22.9766606842423,22.945637793129,23.4068329727603,24.7004075104875
Sugars - Trisaccharide2,22.8275232288049,24.4506720365368,23.3388495265844,21.7724874034272,22.0713438550032,19.8921141431618,18.9158552496361,24.1281371834012,20.0797881851385,21.8329094003794,22.0402547278487,20.4860472646665,23.5788474392591,23.1706043226573,22.2886553542599,22.2820868987642,20.5005116608486,19.0604746342169,20.9423308967974,22.7419039873434,20.0936967436785,20.5319272184341,21.251573720894,20.680482754216,20.9161472431778,20.8981193849582,21.3743791113717,22.7790220164164,22.6752424464718,20.9650803619315,20.688654217453,22.195447392336
Sugars-Monosaccharides-Hexoses,27.4880187943785,28.1724734687759,26.9658970056104,27.3063335052353,26.9117853239166,26.7288327688206,26.9478884218873,28.1760126367368,26.3662455318017,27.2469241272838,28.0675050142342,26.6385085234626,27.5282960685732,27.8436147456231,26.6310697114599,26.6233791998661,26.5057503632952,26.5217074758502,27.5487402737433,27.5432706596166,26.4842083094709,27.1401862567048,26.4988336043812,26.5027238261815,27.1022322474104,27.1702671386921,27.0005745056342,27.2931272765681,25.5582033104429,26.1153880083551,26.780036869236,27.6932800032813
Thymine,25.5929256375941,24.3184370814339,24.9765603623512,25.6900707756298,24.6487656273346,25.0603823730216,24.8904111161964,25.0774576410772,25.2576314861644,24.9223047941538,24.315942187459,25.1774777994855,24.6152721920783,25.1771687900523,24.653278833061,25.4539334373604,25.1465181153273,25.1507392854464,25.1606592410015,25.6049190145969,25.6808005271472,25.5809013086513,24.7792666377202,25.2475529008703,26.0800277603536,25.2362762428021,25.9087393309932,25.5020514439412,25.520957847172,25.3787729586678,25.2834964052055,25.1892644077566
Unknown 001,18.4538665321012,21.7949126932998,18.6946406720742,19.4790798515624,19.68056144954,17.5758448659115,19.7457374521046,17.6601602873363,23.1202196935946,18.0073911269653,19.5736927436189,18.5753499287112,18.4187486248988,18.0489268386659,19.8999653040266,19.8802268023492,19.7547551215209,18.3472290439488,20.1682880111037,17.8014965831432,19.2759287968641,23.5908534442354,18.1058675288112,17.3863679326467,18.6129389504723,18.5195851467358,15.886222412366,20.7481902671749,16.9162990530815,21.9449506197144,18.6563598602138,19.0371672269869
Unknown 002,20.4881521615929,21.1773198710205,20.8205339127022,21.2728184362235,21.2138800072666,20.9271346519258,20.8257964178825,19.8644655594751,21.9820435735521,20.7530261990627,21.356147601915,20.8741130115106,20.2558490978815,19.6737884351531,21.3748817419112,21.0756623028567,20.2274804337817,21.0787246916051,21.6678071362408,19.984083239349,23.3329477169861,21.9662219884664,19.7648429985574,20.4787736537917,20.2851156457518,20.5313044022678,18.955310029379,20.4121773457389,19.0664433500036,19.9820801937868,19.9339982552332,20.6667600701957
