Name,Pre_2_1,Pre_2_2,Pre_2_3,Pre_6_1,Pre_6_2,A_2_1,A_2_2,A_2_3,A_6_1,A_6_2,A_6_3,B_2_1,B_6_1,B_6_2,B_6_3,C_2_1,C_2_2,C_2_3,C_6_1,C_6_2,D_2_2,D_2_3,D_6_1,D_6_2,D_6_3,E_2_1,E_2_2,E_2_3,E_6_1,E_6_2,E_6_3
(±)13-HODE,24.1310712388525,24.1711913615898,24.0895490325634,25.3738619265459,25.6442906272643,24.0809845466059,24.7201195908222,24.1351888906101,25.3194497793798,24.5108585395592,24.8668200256648,23.9460321323243,24.5611604582729,24.7448581813324,24.509516361924,23.3717038861847,23.4121409293003,23.58054488784,25.2638530758378,24.3918160201973,24.3630545030013,24.1055888154572,23.7189495621426,24.0701078165411,24.4055407276723,24.4084385520015,24.1980077089423,23.7781307499045,25.5480896696213,24.8362066282157,24.5129715012662
10,11-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydropicene-4a(2H)-carboxylic acid,26.9287636456961,25.9500767536565,26.742519709848,26.9573915927634,25.9928532970617,26.4065301305296,26.7932705891311,26.9033286933745,27.1881973105104,25.9142616480813,25.8593479487115,27.0137174484956,26.6620235878314,26.4784400853588,26.7016537548114,26.0375017100602,26.3814658781152,24.3318866692889,26.3207562270882,26.3936842842855,25.18916751964,26.8861396040878,26.5184828232937,26.8213359087856,26.6934273086966,26.8005253026695,26.6944471336564,26.3395549221224,26.8217669020597,25.6496525482041,26.832150153393
18-?-Glycyrrhetinic acid,25.7153545543442,25.5651282227633,25.553680522534,25.9793485225216,25.1026015396494,25.3363576754408,26.2236123347212,26.5082323839704,26.3926927154636,25.866005514246,25.6010923168904,25.8414905690839,24.6840678290593,25.7762751470531,25.9191185905315,25.6220263526293,25.8481294769178,25.5467413669347,25.8592881634551,25.6584493261942,25.3147464998632,25.5605798023642,25.7470091157727,26.0291544248257,25.9823615109801,26.4927115466305,26.220026161433,25.4422971541027,25.654452977548,25.2280164052879,26.2434825678757
3,21,23-Trihydroxyolean-12-en-28-oic acid,26.3252537723995,26.0130018024255,25.7496138090787,26.4236243433438,25.6925075845624,26.0911774297827,26.4757937036693,26.844180244956,26.9248439023711,26.5292943921752,26.3647716501556,26.491496030834,25.8277222099887,25.9697829489934,26.344598358165,26.4237909009716,26.2259770231332,26.4769028454623,26.6204183984622,25.8713148395287,26.2665858646168,26.470810317872,26.3091104301982,26.3222604009635,26.6476145985215,26.8824530695607,26.0753608269415,26.1239270960885,26.4396326625027,25.7333427942347,26.6682816365484
3-Acetoxylanosta-8,24-dien-21-oic acid,18.4174238084979,19.520165829643,20.7802017104655,21.6601680626269,20.1625015844253,20.0158523807234,20.7260236312446,21.7266356419586,21.844842611292,17.8955853557412,19.5621490702183,22.6329770661606,20.8080747223037,20.9881810146773,20.5176263775466,18.6785640601746,20.570393643856,19.3414712967706,20.6440228758985,21.4720610865126,18.0356893283539,20.9966705827188,21.7461330876002,22.0641149456345,21.3066288656865,21.4868121683169,20.8094532210757,21.2431917403558,21.3874390753286,18.7781268939267,20.568015292056
8Z,11Z,14Z-Eicosatrienoic acid,20.4864229566394,20.1383049236081,20.3623675122354,22.5550850846479,21.8888010620249,22.2287661450497,22.5032386700321,21.6430310557699,21.7384958252606,21.0567766650796,21.8081600659039,20.7336821376925,21.0332271998008,20.8748156671113,21.6472121567793,19.4739601262383,21.1423627359705,20.4647000013298,21.3183227912334,20.8938717777365,20.0298684321052,21.4982032649223,21.2950316595232,21.7763473905739,20.0383604691375,19.7660770101085,20.280915451767,20.914020241467,23.6397195302158,20.3013767026006,20.518684140466
9-hydroxy-5b,8,8,11a-tetramethyl-1-(prop-1-en-2-yl)octadecahydro-1H-cyclopenta[a]chrysene-3a,5a-dicarboxylic acid,25.434243240504,25.6507743357181,25.3714689373364,25.815813969394,24.906265494367,25.0942464937198,25.8656594598917,26.6134932574496,26.2461918937491,26.251151111879,25.8605181368491,26.0658686328776,25.6701221976972,25.4415911570521,25.7382418422738,25.9925945515634,25.7482849739344,26.0624159513914,26.4354781734114,25.6122819046839,25.5186381492651,25.8447419335317,25.7511027085047,25.6570798384469,26.0683646845828,26.6132831510332,25.6569762444322,25.3898247964798,25.8662524486713,25.2632471015916,26.2885091649058
Arachidonic acid,21.938324950253,21.575166306904,20.9873472961224,23.741115194212,22.2296445073179,21.5842823294943,22.74376795837,23.5842914429107,22.2948086028987,21.9438677734255,24.0214373734274,21.1882515879866,22.6957175301241,22.1067560853172,22.4640259582005,20.9714525996055,21.8826679292014,21.5154931187776,21.7228478817636,21.5669033661049,20.8046376018685,22.1387050365421,22.165992050012,22.493212519881,21.2433004927363,20.8205716426493,21.6147216137174,21.0890919016803,23.3396446470432,21.0109523331019,21.2252525729514
Armatinol A,21.0920103139202,22.5296066505443,25.9428842913071,20.7622667066315,22.2802550541673,22.0148347326885,22.6702422280621,22.0317110735516,22.8610111199999,23.8996018112266,24.064932932831,21.5959477431964,21.0624766393084,22.5741112519048,22.5501793427789,22.0718992825208,23.540780811421,22.4612258655298,22.6137441476789,23.1784780310313,23.2712350485742,20.1764344298291,21.8696407117111,22.3826477620852,22.7074994140891,23.8983320496176,22.816440757949,21.1506872923163,21.570298546682,24.1435618593827,21.4261865779456
Citrulline,20.9575843745646,20.7559737615663,20.0799450042185,21.5799199033049,21.1457294206938,20.2992850177175,21.43551151797,21.1123820257579,21.5119835645041,20.967812022574,21.2545165193381,20.6204245826496,21.6774831503472,21.7569685218591,21.3860262628164,20.3975272447758,21.4900913904653,21.323795505912,21.6135091313293,22.2907352342525,20.5196432686502,21.7918897786116,20.5681151960354,21.3698912610597,21.6418076822526,21.1457526758935,21.0163679750917,20.1571682518587,21.1831636114788,21.0736653491548,21.3186320668889
