Name,Count_pre,Count_2,Count_4,Count_6,Count_8,Count_10,Mean_pre,Mean_2,Mean_4,Mean_6,Mean_8,Mean_10,Fold_change_pre_vs_2,Fold_change_pre_vs_4,Fold_change_pre_vs_6,Fold_change_pre_vs_8,Fold_change_pre_vs_10,Fold_change_2_vs_4,Fold_change_2_vs_6,Fold_change_2_vs_8,Fold_change_2_vs_10,Fold_change_4_vs_6,Fold_change_4_vs_8,Fold_change_4_vs_10,Fold_change_6_vs_8,Fold_change_6_vs_10,Fold_change_8_vs_10,P_value_A_pre_vs_2,P_value_A_pre_vs_4,P_value_A_pre_vs_6,P_value_A_pre_vs_8,P_value_A_pre_vs_10,P_value_A_2_vs_4,P_value_A_2_vs_6,P_value_A_2_vs_8,P_value_A_2_vs_10,P_value_A_4_vs_6,P_value_A_4_vs_8,P_value_A_4_vs_10,P_value_A_6_vs_8,P_value_A_6_vs_10,P_value_A_8_vs_10,Flag_A_pre_vs_2,Flag_A_pre_vs_4,Flag_A_pre_vs_6,Flag_A_pre_vs_8,Flag_A_pre_vs_10,Flag_A_2_vs_4,Flag_A_2_vs_6,Flag_A_2_vs_8,Flag_A_2_vs_10,Flag_A_4_vs_6,Flag_A_4_vs_8,Flag_A_4_vs_10,Flag_A_6_vs_8,Flag_A_6_vs_10,Flag_A_8_vs_10
(±)13-HODE,6,6,6,5,5,6,24.8700063723839,24.6569202474751,24.6157879852954,24.0553617785735,24.1839983036643,24.5983241536934,0.213086124908827,0.254218387088514,0.81464459381047,0.686008068719609,0.271682218690565,0.041132262179687,0.601558468901644,0.472921943810782,0.0585960937817376,0.560426206721957,0.431789681631095,0.0174638316020506,-0.128636525090862,-0.542962375119906,-0.414325850029044,0.52964278630975,0.454005466270437,0.0278502433489782,0.0607966393963135,0.423932350443457,0.903097550362579,0.097734583425306,0.188836351001421,0.862323373065316,0.121708377303004,0.229046853640514,0.958769561441006,0.72840411544277,0.133262309566007,0.247946897407852,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydropicene-4a(2H)-carboxylic acid,6,6,6,5,5,6,26.6136378488901,26.5621727387578,26.7843798310884,25.944408972469,26.4730606516022,26.5743661790523,0.051465110132245,-0.170741982198326,0.669228876421052,0.1405771972879,0.0392716698378024,-0.222207092330571,0.617763766288807,0.0891120871556552,-0.0121934402944426,0.839970858619377,0.311319179486226,0.210013652036128,-0.528651679133151,-0.629957206583249,-0.101305527450098,0.87618071535658,0.605997069269364,0.0613063239968658,0.685270384030512,0.905348688560678,0.502760828446386,0.0827014525712,0.797072679536075,0.970545776402383,0.0209399597976802,0.372185450234467,0.52630800068117,0.151506302987237,0.0771244413908088,0.770079374138561,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18-?-Glycyrrhetinic acid,6,6,6,5,5,6,25.7503265581405,26.0393488421569,25.8070550237277,25.7582769559277,25.7781202894626,25.9315144875144,-0.289022284016387,-0.0567284655871987,-0.00795039778721929,-0.027793731322145,-0.181187929373948,0.232293818429188,0.281071886229167,0.261228552694242,0.107834354642439,0.0487780677999794,0.0289347342650537,-0.124459463786749,-0.0198433335349257,-0.173237531586729,-0.153394198051803,0.261436884450158,0.823642754371449,0.976231831540514,0.917054226839283,0.478392114211711,0.364824882709066,0.296978306935859,0.331750841833417,0.672193886175086,0.8550039843974,0.913662859978915,0.625469718364434,0.943244459441866,0.517801547279239,0.566559938383991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21,23-Trihydroxyolean-12-en-28-oic acid,6,6,6,5,5,6,26.1734483059508,26.5896935725531,26.3372245945011,26.375030820213,26.4546263411358,26.3718496996809,-0.416245266602317,-0.163776288550302,-0.201582514262252,-0.281178035185061,-0.198401393730098,0.252468978052015,0.214662752340065,0.135067231417256,0.217843872872219,-0.0378062257119502,-0.117401746634759,-0.0346251051797957,-0.0795955209228083,0.00318112053215458,0.0827766414549629,0.0364935478905188,0.394782215023464,0.319135935211698,0.168162375334098,0.304056532037902,0.193498550622934,0.289318113703854,0.502338012121186,0.260035572447135,0.850505587385445,0.559449907690422,0.856332780618592,0.704289411912866,0.98734309640724,0.680222457190727,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Acetoxylanosta-8,24-dien-21-oic acid,6,6,6,5,5,6,20.3463585950915,20.3465314672311,21.2198793165245,20.1926526113439,20.8811973807002,20.763523083878,-0.000172872139671654,-0.873520721433032,0.153705983747578,-0.534838785608748,-0.417164488786582,-0.87334784929336,0.15387885588725,-0.534665913469077,-0.416991616646911,1.02722670518061,0.338681935824283,0.456356232646449,-0.688544769356326,-0.57087047253416,0.117674296822166,0.999805388080409,0.223985914398622,0.836247811774754,0.473893264241975,0.557369540147543,0.224075187314573,0.836066393705491,0.474034872106421,0.557531862883111,0.174198026613019,0.649279350768689,0.521207258682418,0.378525307758895,0.44491796772965,0.874246213980498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8Z,11Z,14Z-Eicosatrienoic acid,6,6,6,5,5,6,21.328762952145,21.8810947565508,21.3718958527554,20.7099935052031,20.9789122619538,20.9548155314723,-0.552331804405803,-0.0431329006104164,0.618769446941823,0.349850690191115,0.373947420672689,0.509198903795387,1.17110125134763,0.902182494596918,0.926279225078492,0.661902347552239,0.392983590801531,0.417080321283105,-0.268918756750708,-0.244822026269134,0.024096730481574,0.298178943978331,0.934613741911882,0.267113236778986,0.527248353322036,0.478892268445426,0.33680302206372,0.0409444128968826,0.109928688327252,0.0863093899586094,0.235932325965325,0.478021468316495,0.430175612024015,0.6411844398458,0.657597454574168,0.965141610526199,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9-hydroxy-5b,8,8,11a-tetramethyl-1-(prop-1-en-2-yl)octadecahydro-1H-cyclopenta[a]chrysene-3a,5a-dicarboxylic acid,6,6,6,5,5,6,25.6089969044483,26.0398934109578,25.8955423382313,26.0215611296983,25.8193354815677,25.8976988365538,-0.430896506509569,-0.286545433783061,-0.412564225250062,-0.210338577119437,-0.288701932105496,0.144351072726508,0.0183322812595073,0.220557929390132,0.142194574404073,-0.126018791467001,0.0762068566636245,-0.00215649832243514,0.202225648130625,0.123862293144565,-0.0783633549860596,0.0833127763651181,0.242396129459902,0.112307004728369,0.410316478387699,0.238956185601029,0.552265106463759,0.942443984453946,0.388238638180028,0.558181139648497,0.620442349081553,0.764255874588932,0.992892591029044,0.448099870336214,0.626410272772886,0.757801675066315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arachidonic acid,6,6,6,5,5,6,22.44214167195,22.7467592654559,22.2233484914014,21.5832229977921,21.8205195589094,21.568055803892,-0.304617593505899,0.218793180548587,0.858918674157895,0.621622113040527,0.874085868057939,0.523410774054486,1.16353626766379,0.926239706546426,1.17870346156384,0.640125493609307,0.402828932491939,0.655292687509352,-0.237296561117368,0.0151671939000444,0.252463755017413,0.534815180502496,0.655197224781506,0.102230556362981,0.231622442671972,0.0821208800010143,0.289443493450157,0.0298481427187352,0.0791662400019645,0.0216799320722101,0.218379264426435,0.43480908688261,0.18723463561825,0.658390451792671,0.976411107959301,0.623349178888873,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Armatinol A,6,6,6,5,5,6,22.3091242021937,22.9750723350947,21.9692183156092,22.8245756463378,22.1328414919592,22.552267866017,-0.66594813290105,0.339905886584532,-0.515451444144102,0.176282710234517,-0.2431436638233,1.00585401948558,0.150496688756949,0.842230843135567,0.42280446907775,-0.855357330728634,-0.163623176350015,-0.583049550407832,0.691734154378619,0.272307780320801,-0.419426374057817,0.34361318805167,0.626758512285873,0.482994970830796,0.809666981762775,0.727672743765246,0.156770543814376,0.837061631436078,0.255176061238161,0.545717635215385,0.248015892487292,0.823087886688875,0.406130590123662,0.368791330900161,0.710053265694922,0.56754696096241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrulline,6,6,6,5,5,6,21.1327373419634,21.1482651300117,21.754757218658,21.4744817200484,21.2296194560233,21.0338083404292,-0.0155277880482743,-0.622019876694608,-0.341744378085004,-0.0968821140598948,0.098929001534259,-0.606492088646334,-0.326216590036729,-0.0813543260116205,0.114456789582533,0.280275498609605,0.525137762634714,0.720948878228867,0.244862264025109,0.440673379619263,0.195811115594154,0.963517557809366,0.0750816769830503,0.341112782573123,0.785679230687019,0.770902283413164,0.0822279686855593,0.363154370161934,0.819344777665452,0.736257872989036,0.433727959830085,0.147887440666008,0.0409664009367905,0.511895946425652,0.222080465710886,0.583371749360157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
