Name,Count_-6,Count_-2,Mean_-6,Mean_-2,Fold_change_-6_vs_-2,P_value_A_-6_vs_-2,Flag_A_-6_vs_-2
2,2,6,6-Tetramethyl-4-piperidinol,16,16,27.1399321340757,26.7849472966365,0.354984837439236,0.0437048832586749,1
4-Guanidinobutanoic acid,16,16,21.6021600543908,21.1919771579044,0.410182896486404,0.260187043703613,0
Acetyl-L-carnitine,16,16,21.1773366011739,21.202865747758,-0.0255291465841232,0.943939252855544,0
Adenine,16,16,26.659072388109,26.4424248516371,0.216647536471886,0.29945213627027,0
Adenosine,16,16,29.8851431807197,29.8904124247574,-0.00526924403766316,0.975696775151564,0
Betaine,16,16,30.4158530920675,30.1439834558792,0.271869636188288,0.00838782467025873,1
Bis(methylbenzylidene)sorbitol,16,16,22.3729360742088,22.3358350623245,0.0371010118842605,0.859825010411673,0
Choline,16,16,29.7015751032131,29.6578274067741,0.043747696439052,0.702178189610207,0
Cytosine,16,16,25.8335048349434,25.8094097390723,0.024095095871175,0.902115986642167,0
DEET,16,16,21.7069189340034,21.6111235200408,0.0957954139625983,0.813411156386917,0
Deoxyadenosine,16,16,26.1460596297426,26.0813888848566,0.0646707448859907,0.766931670035336,0
Deoxycarnitine,16,16,26.5403248011796,26.3487280602959,0.19159674088365,0.120383350979959,0
Diethanolamine,16,16,25.1882931053038,25.202476529681,-0.0141834243771832,0.960556700677877,0
DL-?-Leucine,16,16,25.3823299128107,25.5178133216872,-0.135483408876482,0.396530320864715,0
DL-Arginine,16,16,19.9631683032668,20.085689882873,-0.122521579606225,0.71905329781197,0
DL-Carnitine,16,16,27.5357404969668,27.5574265610908,-0.021686064123962,0.849808361933455,0
DL-Citrulline,16,16,21.0965464958515,21.1736155021856,-0.0770690063341419,0.810097656483936,0
DL-Glutamine,16,16,23.3501715287879,23.4189253238295,-0.068753795041566,0.671192952915575,0
DL-Isoleucine/Leucine,16,16,26.1760540898385,25.8047655979008,0.371288491937644,0.0371311339208033,1
DL-Proline,16,16,23.1919506570004,22.7841180900873,0.4078325669131,0.0250525124384898,1
DL-Stachydrine,16,16,24.5424482227213,24.5130982861504,0.0293499365708172,0.871900714980008,0
Glycerophosphocholine,16,16,17.9445220206916,18.5534818396683,-0.608959818976718,0.0258842325835086,-1
HOTrE,16,16,23.1307427601967,22.8625189766316,0.268223783565066,0.120872004433116,0
Hypoxanthine,16,16,24.8607631037391,24.8335894151512,0.0271736885879577,0.93985499691869,0
LL-2,6-Diaminheptanedioic acid,16,16,22.879018896783,22.8915341945053,-0.0125152977222562,0.952346072240118,0
L-Pyroglutamic acid,16,16,23.3501715287879,23.4189253238295,-0.068753795041566,0.671192952915575,0
N-alpha-Acetyl-L-Lysine,16,16,27.8694397217379,28.4194174622204,-0.549977740482497,0.00330398739623743,-1
N-Methyl-D-Aspartic acid,16,16,24.5853599536032,24.6090674033402,-0.0237074497369711,0.880436882255547,0
Oleamide,16,16,22.1416350005598,21.1108041695143,1.03083083104546,0.00196093092536202,1
Senecionine,16,16,20.7470820110221,21.5003418873283,-0.753259876306199,0.427447065188447,0
Sugars - Oligosaccharide (Tetraose),16,16,18.6966248605493,18.6901649713235,0.00645988922585516,0.992920674486629,0
Sugars - Trisaccharide1,16,16,23.8700795501807,24.3497121426099,-0.479632592429194,0.0468702998614287,-1
Sugars - Trisaccharide2,16,16,21.1903377013039,22.0253604243257,-0.83502272302179,0.0882004887378226,0
Sugars-Monosaccharides-Hexoses,16,16,26.7270573164655,27.3417748695676,-0.614717553102079,0.00270664398112232,-1
Thymine,16,16,25.2086711384608,25.1837640841709,0.024907054289848,0.869905735541085,0
Unknown 001,16,16,19.1351780785821,19.1999359755291,-0.064757896947043,0.915669354015002,0
Unknown 002,16,16,20.8404390043914,20.5514162539252,0.289022750466206,0.361066912848334,0
Unknown 003,16,16,21.0953209602657,20.8843492200211,0.210971740244524,0.533167168774233,0
Unknown 004,16,16,22.6406836482685,22.9348249885059,-0.294141340237321,0.554482332390607,0
Unknown 005,16,16,17.9427471206926,18.5077587713748,-0.565011650682145,0.283998240745235,0
Unknown 006,16,16,19.8999287110261,19.5016371500047,0.398291561021388,0.207124938889796,0
Unknown 007,16,16,22.3727092246374,22.3746921789205,-0.00198295428312534,0.989538662851787,0
Unknown 008,16,16,22.3727092246374,22.3746921789205,-0.00198295428312534,0.989538662851787,0
Unknown 009,16,16,23.0211751205234,23.065461906482,-0.0442867859585334,0.775726606217643,0
Unknown 010,16,16,22.4037791866142,22.3412671291305,0.0625120574837474,0.745882568466115,0
Unknown 011,16,16,22.2914777956966,22.1332688941545,0.158208901542157,0.335809127014293,0
Unknown 012,16,16,22.2914777956966,22.1332688941545,0.158208901542157,0.335809127014293,0
Unknown 013,16,16,21.0630800644741,20.8555730646006,0.207506999873512,0.693092432813581,0
Unknown 014,16,16,24.093948139987,23.996328167897,0.0976199720899906,0.822246488695362,0
Unknown 015,16,16,23.8433136009803,23.818908163543,0.0244054374373022,0.911901428053692,0
Unknown 016,16,16,21.4121235123264,21.3835597195748,0.0285637927515587,0.853665726805242,0
Unknown 017,16,16,22.6716222266776,22.8284425918429,-0.156820365165224,0.54896704158106,0
Unknown 018,16,16,22.8742248006697,22.6511952543747,0.223029546295017,0.0666244903141935,0
Unknown 019,16,16,22.6625774004948,22.4222175480021,0.240359852492674,0.0968756877689686,0
Unknown 020,16,16,24.0158439429333,23.1230507017386,0.892793241194646,0.0133287711638088,1
Unknown 021,16,16,24.7713726017767,24.5061526545998,0.265219947176909,0.27601535810076,0
Unknown 022,16,16,20.6642752463931,19.3587688817171,1.30550636467599,0.008348527729509,1
Unknown 023,16,16,20.7901840578174,19.4486095713151,1.34157448650233,0.0346804963744322,1
Unknown 024,16,16,23.426082649397,23.7601651269738,-0.334082477576803,0.477588956077094,0
Unknown 025,16,16,22.480732577715,22.2954685073763,0.1852640703387,0.539087928283204,0
Unknown 026,16,16,23.1767452701618,23.2701523085267,-0.0934070383648304,0.703744667466549,0
Unknown 027,16,16,22.3259454732367,20.9463787574242,1.3795667158125,0.00401833505459567,1
Unknown 028,16,16,21.9845419501385,22.0439542992164,-0.0594123490779559,0.83009857198078,0
Unknown 029,16,16,22.5896962594416,22.4945396571295,0.095156602312116,0.671225122456032,0
Unknown 030,16,16,22.9664168166905,22.0503257968201,0.916091019870404,0.00519277933620567,1
Unknown 031,16,16,24.6055661973874,23.3582585634812,1.24730763390616,0.00311266752312669,1
Unknown 032,16,16,23.6374503792754,21.9291732678543,1.70827711142107,0.00522271548021748,1
Unknown 033,16,16,23.3520227806201,23.6405370977749,-0.288514317154771,0.533735434174714,0
Unknown 034,16,16,22.7979209161661,21.5712132970684,1.22670761909774,0.0217434910866333,1
Unknown 035,16,16,22.1739813138299,21.9048443250007,0.269136988829139,0.317875054840495,0
Unknown 036,16,16,21.3810623596306,21.5548545640045,-0.173792204373871,0.827680903946497,0
Unknown 037,16,16,21.7172147384074,21.9419623094302,-0.224747571022792,0.777862752483975,0
Unknown 038,16,16,20.1095446854836,20.6079427824094,-0.498398096925769,0.281512913324886,0
Unknown 039,16,16,23.6177326810201,23.7521957892428,-0.134463108222715,0.653120083014665,0
