Name,Count_-6,Count_-2,Mean_-6,Mean_-2,Fold_change_-6_vs_-2,P_value_A_-6_vs_-2,Flag_A_-6_vs_-2
2,2,6,6-Tetramethyl-4-piperidinol,3,3,27.5095296319178,26.8278547659723,0.681674865945517,0.213046267333386,0
4-Guanidinobutanoic acid,3,3,23.1412034940346,22.2990476903462,0.84215580368836,0.269516731264436,0
Acetyl-L-carnitine,3,3,23.3926645618627,23.5333399434013,-0.1406753815386,0.905507132475745,0
Adenine,3,3,28.2230796985662,27.2491349695211,0.973944729045108,0.0522743817911906,0
Adenosine,3,3,30.0832592054649,29.6889302292723,0.394328976192536,0.281199450857519,0
Betaine,3,3,31.1504710775966,30.6600965010053,0.490374576591229,0.256575115942593,0
Bis(methylbenzylidene)sorbitol,3,3,22.4107725288537,22.2813650475221,0.129407481331608,0.694881965003786,0
Choline,3,3,29.8577673900665,29.6790736094222,0.178693780644327,0.129205195783672,0
Cytosine,3,3,27.1426101161043,26.4623977268592,0.680212389245099,0.247694125453741,0
DEET,3,3,22.1600474198532,22.3122020453028,-0.152154625449583,0.912594285626393,0
Deoxyadenosine,3,3,27.310825329841,26.6251866819503,0.685638647890702,0.135786823839407,0
Deoxycarnitine,3,3,26.9461453664234,26.6235316699197,0.322613696503684,0.572426854931468,0
Diethanolamine,3,3,25.450109992152,25.1552719565921,0.294838035559831,0.453641816230042,0
DL-?-Leucine,3,3,26.1880153263864,26.1264200860097,0.0615952403767039,0.907409056667915,0
DL-Arginine,3,3,21.83544882386,21.9093740924786,-0.0739252686186092,0.975512243792235,0
DL-Carnitine,3,3,28.1400531744998,28.2512430514444,-0.111189876944628,0.810460111448072,0
DL-Citrulline,3,3,23.1469951502907,21.6947464386801,1.45224871161057,0.219853342494001,0
DL-Glutamine,3,3,24.4321642277584,24.3360129224109,0.0961513053475365,0.926113274243981,0
DL-Isoleucine/Leucine,3,3,26.7298216649374,26.4192629119797,0.310558752957657,0.512315266293621,0
DL-Proline,3,3,24.3570675688408,23.8972098689708,0.459857699869971,0.275990574455214,0
DL-Stachydrine,3,3,25.4310208343307,25.3585340476576,0.072486786673096,0.894145520799997,0
Glycerophosphocholine,3,3,19.8872810844021,19.7402064077827,0.147074676619408,0.932982817379371,0
HOTrE,3,3,23.9752684486398,23.7186945206652,0.256573927974575,0.448634267985167,0
Hypoxanthine,3,3,27.3785875104839,26.5286368582278,0.849950652256066,0.272930504764581,0
LL-2,6-Diaminheptanedioic acid,3,3,24.4196694577492,24.2384513463294,0.181218111419753,0.862239854940906,0
L-Pyroglutamic acid,3,3,24.4321642277584,24.3360129224109,0.0961513053475365,0.926113274243981,0
N-alpha-Acetyl-L-Lysine,3,3,28.6937420679909,28.8337754429528,-0.140033374961959,0.829319222754409,0
N-Methyl-D-Aspartic acid,3,3,25.299106027661,25.4212156313435,-0.122109603682482,0.846424758255319,0
Oleamide,3,3,22.5481996887219,21.8445613401478,0.703638348574032,0.180203977886511,0
Senecionine,3,3,19.8178527527411,22.6059264591446,-2.78807370640346,0.322364788451825,0
Sugars - Oligosaccharide (Tetraose),3,3,20.6394224282014,20.1505978074408,0.488824620760656,0.712132380603287,0
Sugars - Trisaccharide1,3,3,24.7948081727878,25.0814492644438,-0.286641091656019,0.617200681548777,0
Sugars - Trisaccharide2,3,3,23.3035411241227,23.6806123739265,-0.37707124980372,0.750605428760586,0
Sugars-Monosaccharides-Hexoses,3,3,28.0872527789846,27.7437091673193,0.343543611665268,0.616048661580585,0
Thymine,3,3,26.0404910616962,25.0415782582583,0.99891280343795,0.0775217339678619,0
Unknown 001,3,3,19.3697344347717,20.4503621728563,-1.08062773808468,0.310633015405292,0
Unknown 002,3,3,21.0160629546345,21.4642351648814,-0.448172210246899,0.260513052722823,0
Unknown 003,3,3,21.7465103589885,22.0043787343566,-0.257868375368041,0.210300546316705,0
Unknown 004,3,3,20.4706353306224,21.7176886688174,-1.24705333819504,0.672215469697544,0
Unknown 005,3,3,17.9436666036808,18.640113116326,-0.696446512645196,0.505138377156218,0
Unknown 006,3,3,20.2896692109007,20.2999817069663,-0.0103124960655911,0.992385231665041,0
Unknown 007,3,3,22.1895804840789,22.3921688322617,-0.202588348182847,0.187355122874725,0
Unknown 008,3,3,22.1895804840789,22.3921688322617,-0.202588348182847,0.187355122874725,0
Unknown 009,3,3,22.7611586824607,23.075991414229,-0.314832731768341,0.00408318505877584,-1
Unknown 010,3,3,22.6852367251601,22.1748917053605,0.510345019799551,0.268250975525558,0
Unknown 011,3,3,22.0280664763784,22.0396042006906,-0.0115377243121628,0.961921958131239,0
Unknown 012,3,3,22.0280664763784,22.0396042006906,-0.0115377243121628,0.961921958131239,0
Unknown 013,3,3,22.2023637055921,21.2453513351313,0.95701237046087,0.294489924850994,0
Unknown 014,3,3,24.1320826924118,24.1308935071324,0.00118918527938661,0.999108732066233,0
Unknown 015,3,3,23.6119038265289,24.0934438327223,-0.481540006193477,0.265966135669106,0
Unknown 016,3,3,21.3657490714982,21.5210314557095,-0.155282384211304,0.636743841182981,0
Unknown 017,3,3,22.752916837445,22.801643961275,-0.0487271238299805,0.838733101300403,0
Unknown 018,3,3,23.3153370106349,22.9991538029613,0.316183207673607,0.423381446764307,0
Unknown 019,3,3,23.3460872814887,23.1068939904217,0.239193291067082,0.543188679860374,0
Unknown 020,3,3,24.5357132158141,23.5592348715709,0.976478344243141,0.125457704669861,0
Unknown 021,3,3,24.381433587947,23.7271433268685,0.654290261078479,0.26357609997388,0
Unknown 022,3,3,21.982263564583,19.3775335323107,2.60473003227232,0.00477843659881857,1
Unknown 023,3,3,22.0650603801006,19.1782386080317,2.88682177206892,0.076983897761594,0
Unknown 024,3,3,21.8150947982588,22.3999499084696,-0.584855110210768,0.790773972947737,0
Unknown 025,3,3,22.3939193016825,23.0191479598527,-0.625228658170141,0.412584071749369,0
Unknown 026,3,3,23.383805878488,23.1110077119393,0.272798166548693,0.544864334132403,0
Unknown 027,3,3,23.4318424059231,21.5327155769616,1.89912682896151,0.0271620438097293,1
Unknown 028,3,3,21.4086474461898,21.8411443554453,-0.432496909255462,0.490112146431877,0
Unknown 029,3,3,22.5638658746792,21.9507677148039,0.613098159875264,0.406424710363934,0
Unknown 030,3,3,23.4237374415937,21.8631470709462,1.56059037064745,0.185692083491097,0
Unknown 031,3,3,25.3965319429827,23.1258222950985,2.27070964788426,0.0739086225104985,0
Unknown 032,3,3,24.456151724192,22.1046792191308,2.3514725050612,0.254846537235837,0
