Name,Count_-2_T0,Count_-6_6,Count_-6_4,Count_-2_4,Count_-2_10,Count_-6_8,Count_-2_8,Count_-6_T0,Count_-2_2,Count_-6_2,Count_-2_6,Count_-6_10,Mean_-2_T0,Mean_-6_6,Mean_-6_4,Mean_-2_4,Mean_-2_10,Mean_-6_8,Mean_-2_8,Mean_-6_T0,Mean_-2_2,Mean_-6_2,Mean_-2_6,Mean_-6_10,P_value_A_-2_T0_vs_-6_T0,P_value_A_-6_6_vs_-2_6,P_value_A_-6_4_vs_-2_4,P_value_A_-2_10_vs_-6_10,P_value_A_-6_8_vs_-2_8,P_value_A_-2_2_vs_-6_2,Flag_A_-2_T0_vs_-6_T0,Flag_A_-6_6_vs_-2_6,Flag_A_-6_4_vs_-2_4,Flag_A_-2_10_vs_-6_10,Flag_A_-6_8_vs_-2_8,Flag_A_-2_2_vs_-6_2
Cer(d18:0/14:0),3,3,3,3,3,3,3,3,3,3,3,3,22.9803852887989,22.8127005068672,22.536168910447,22.4425607613093,22.9313289823165,22.736336733512,22.4544456418157,23.1035222592298,22.6145542994483,22.662303159964,22.4629935621436,22.333168363886,0.703964081666011,0.285635927378167,0.772549577987629,0.0740228060168172,0.387422195877879,0.882710015374565,0,0,0,0,0,0
Cer(d18:0/16:0)_A,3,3,3,3,3,3,3,3,3,3,3,3,24.4903893288328,24.3053890274196,24.100127939712,23.9123198424904,24.4003110442065,24.4041241074321,23.9733264926968,24.415544814517,24.0386983856857,24.0021444302332,23.9134180468961,23.8396973195757,0.800420619423894,0.193202865534301,0.527318679581878,0.0675234832776598,0.154191751275056,0.901685665471548,0,0,0,0,0,0
Cer(d18:0/16:0)_B,3,3,3,3,3,3,3,3,3,3,3,3,24.6600525474568,24.4001546856081,24.4787934044238,24.2858674292578,24.6766668474431,24.5622412642225,24.4090712537877,24.7139613407331,24.5329388270815,24.3212835169589,24.27264815576,24.1671504488011,0.83782687540299,0.629012078850567,0.466196216046573,0.0622531138191755,0.562101147357029,0.424571120979015,0,0,0,0,0,0
Cer(d18:0/18:0),3,3,3,3,3,3,3,3,3,3,3,3,23.7563079848574,23.6068812541319,23.4414572139333,23.2745104720332,23.7814974374402,23.6110316312861,23.3784725648206,23.8852623282284,23.5351581742465,23.3754900062048,23.1209842426637,23.1712691825736,0.654140357209723,0.100272901316252,0.562465586533179,0.0421213114185042,0.421313619595476,0.579511009608207,0,0,0,1,0,0
Cer(d18:0/24:0),3,3,3,3,3,3,3,3,3,3,3,3,20.986248317597,20.5167761852099,20.5087831208651,20.1769549170807,20.7943307687043,21.0801879594792,20.1319265826135,20.8396327285738,20.4469696038248,20.5262211789694,20.3020973098431,20.3705797170428,0.757424796778505,0.651465597053725,0.48633209611069,0.375530191502785,0.0546161461496274,0.867312652277328,0,0,0,0,0,0
Cer(d18:1/16:0)_A,3,3,3,3,3,3,3,3,3,3,3,3,22.6525033604762,22.6632774025883,22.498105148858,22.5633260734638,22.8577322924496,22.6289880961214,22.5607362745562,22.9589425879634,22.5642201616856,22.4708098192208,22.46510238965,22.2916695499199,0.128493967707152,0.318762346289201,0.740475723160772,0.00770980729197101,0.728908726362098,0.635638584595484,0,0,0,1,0,0
Cer(d18:1/16:0)_B,3,3,3,3,3,3,3,3,3,3,3,3,24.6116301458386,24.4496986306245,24.127471978758,24.1196882623071,24.5614162143128,24.459507045782,24.2129638767113,24.6481825390877,24.2748780998433,24.1748478508462,24.1735776012753,23.956157313007,0.899257518702733,0.343422650538625,0.978489004856124,0.0446668360156419,0.396686023796841,0.729286929170558,0,0,0,1,0,0
Cer(d18:1/17:0)_A,3,3,3,3,3,3,3,3,3,3,3,3,22.0778727881568,21.8936882998578,21.4142467209127,21.5901779403381,22.0451595045983,21.9192690291362,21.4259866535008,21.998082497416,21.8791890220615,21.5271669437974,21.5622019214797,21.2905431038129,0.78711259057141,0.267754152424701,0.552712205248118,0.0163246656078606,0.10429421636429,0.23999896709997,0,0,0,1,0,0
Cer(d18:1/17:0)_B,3,3,3,3,3,3,3,3,3,3,3,3,23.0180830210844,22.9824829559842,22.6725613846112,22.7681285686874,23.1952001013863,22.9856972214961,22.8135673511398,23.276976446322,22.8806176825405,22.8428183363006,22.8850533448864,22.5333348971521,0.262057586200906,0.669427488691402,0.675359869148781,0.00721601464771179,0.452524732588919,0.868229534200206,0,0,0,1,0,0
Cer(d18:1/20:0),3,3,3,3,3,3,3,3,3,3,3,3,21.0874896991835,20.7322122944504,20.6558611833528,20.5408792197599,20.6762699037347,20.952506478027,20.4564141147541,20.9784884948994,20.8603784354646,20.7099992627675,20.5549656016066,20.4523080738283,0.747348260178081,0.601053776383617,0.734028918722568,0.509533659774765,0.151059166909705,0.657053615851199,0,0,0,0,0,0
Cer(d18:1/24:0),3,3,3,3,3,3,3,3,3,3,3,3,22.4194152850882,22.0953623811405,22.1550462524699,21.842965499874,21.985716955661,22.6867593509748,21.8034641254351,22.3726568079989,22.0406856909777,22.0341070389426,21.9896719140695,22.1046902798045,0.899215897654448,0.774818466952235,0.401381316094263,0.747485427040536,0.0235620954181459,0.98578071373904,0,0,0,0,1,0
Cer(d18:1/24:1),3,3,3,3,3,3,3,3,3,3,3,3,21.8010202350426,21.9593941756472,21.8025931496095,21.7409967892292,21.7653479766087,22.067191593885,21.4053497179296,22.3158271629364,22.1325429649479,22.006236652756,21.70927931335,21.6999772296132,0.195390337266832,0.5236998349688,0.874713887555638,0.867110542775079,0.099723017295176,0.746660992304833,0,0,0,0,0,0
Cer(d18:2/16:0)_B,3,3,3,3,3,3,3,3,3,3,3,3,23.8665410740277,23.7561745861956,23.6558202511069,23.5607554699848,24.0802935225392,23.7767413347161,23.8366776381908,23.8922234505844,23.6983760952343,23.524166723433,23.4147271568807,23.3097307342169,0.940724952040114,0.327757747503187,0.783286633546755,0.0335641798987712,0.862266563622039,0.614915566575319,0,0,0,1,0,0
Cer(d20:0/18:0),3,3,3,3,3,3,3,3,3,3,3,3,22.965371627336,22.8662028227241,22.8679406364608,22.6048625438846,22.943775695783,23.0593275266679,22.686379076303,23.2777899795876,22.7220503259469,22.684306771775,22.6420956962851,22.6599476735261,0.219935148604239,0.375224525849196,0.29940706885661,0.263781329803297,0.145727484127933,0.880324632863674,0,0,0,0,0,0
PE(14:0/15:0),3,3,3,3,3,3,3,3,3,3,3,3,20.4680636059604,20.2763402363791,20.0884276246768,20.2714621530894,20.4568042854342,20.3162906143648,20.4993251427774,20.2850290775478,20.4772260572216,20.294191528809,20.4593747647918,20.2737697570215,0.255209855365114,0.255209855365114,0.255209855365114,0.255209855365114,0.255209855365114,0.255209855365114,0,0,0,0,0,0
PE(15:0/0:0),3,3,3,3,3,3,3,3,3,3,3,3,20.7794451435955,20.3618202650815,20.427272464155,20.5913120000025,20.5844801371974,20.6900825838498,20.8541221196973,20.615405607748,20.7665781824649,20.6025386466174,20.525859800929,20.4204406013499,0.650272827816217,0.650272827816217,0.650272827816217,0.650272827816217,0.650272827816217,0.650272827816217,0,0,0,0,0,0
PE(15:0/15:0),3,3,3,3,3,3,3,3,3,3,3,3,23.6327099025301,23.418456404455,23.202446015795,23.3085495861092,23.7791245498149,23.5131872187168,23.4795140860443,23.4265501658083,23.5882794403786,23.4254225024652,23.4422145436114,23.2659581409508,0.359640811947607,0.915185757366645,0.635108101644939,0.0288701329874744,0.880033137894312,0.467810330137414,0,0,0,1,0,0
PE(15:0/16:1)_A,3,3,3,3,3,3,3,3,3,3,3,3,23.2841284151908,23.4463387837585,23.320368330941,23.3794806708438,23.4730570399801,23.4138355121548,23.4729478520576,23.225016075288,23.3172136394861,23.2581012995833,23.5054511236614,23.4139447000773,0.675305556788297,0.675305556788279,0.675305556788279,0.675305556788316,0.675305556788297,0.675305556788316,0,0,0,0,0,0
PE(15:0/16:1)_B,3,3,3,3,3,3,3,3,3,3,3,3,22.9447618382305,22.8020888426877,22.7295558709038,22.8781803619936,23.088315976615,22.8500977227189,22.9987222138087,22.7961373471406,22.9863143191333,22.8376898280435,22.9507133337776,22.9396914855252,0.501076707612472,0.501076707612472,0.501076707612472,0.501076707612462,0.501076707612472,0.501076707612462,0,0,0,0,0,0
