Name,Count_-2,Count_-6,Mean_-2,Mean_-6,Fold_change_-2_vs_-6,P_value_A_-2_vs_-6,Flag_A_-2_vs_-6
(±)13-HODE,15,16,24.0327831217333,24.7673969313398,-0.734613809606515,0.000140471822045326,-1
10,11-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydropicene-4a(2H)-carboxylic acid,15,16,26.3599263806914,26.4878390863085,-0.127912705617078,0.560664903331417,0
18-?-Glycyrrhetinic acid,15,16,25.7860743082489,25.7327135417096,0.0533607665392424,0.721960638417925,0
3,21,23-Trihydroxyolean-12-en-28-oic acid,15,16,26.3290883158528,26.2930700719197,0.0360182439331247,0.769615371231706,0
3-Acetoxylanosta-8,24-dien-21-oic acid,15,16,20.3321017406877,20.7128544325922,-0.380752691904455,0.395794370100198,0
8Z,11Z,14Z-Eicosatrienoic acid,15,16,20.7777280443291,21.399018011756,-0.621289967426897,0.0594112232345177,0
9-hydroxy-5b,8,8,11a-tetramethyl-1-(prop-1-en-2-yl)octadecahydro-1H-cyclopenta[a]chrysene-3a,5a-dicarboxylic acid,15,16,25.7948342739419,25.8045132392537,-0.00967896531184209,0.94890082853163,0
Arachidonic acid,15,16,21.6292515544055,22.2665924305324,-0.637340876126817,0.0388704860437374,-1
Armatinol A,15,16,22.4842848380685,22.4966807443409,-0.0123959062723458,0.97722295222763,0
Citrulline,15,16,20.8735561583802,21.3962474311181,-0.522691272737891,0.00351517381519224,-1
DL-Glutamic acid,15,16,24.2696262393757,24.4068662275514,-0.137239988175779,0.534816461419413,0
DL-Valine,15,16,22.5479171549588,23.2326016687863,-0.684684513827516,0.00940418791581794,-1
gamma-Linolenic Acid,15,16,24.0327831217333,24.7673969313398,-0.734613809606515,0.000140471822045326,-1
Myristyl sulfate,15,16,27.6041559781038,27.5569544731316,0.0472015049722536,0.931480249314465,0
N-Methyl-D-Aspartic acid,15,16,24.302909718774,24.3735075519403,-0.0705978331663211,0.679295836845709,0
Pantothenicacid (VitaminB5),15,16,24.1753944998116,24.7110978323749,-0.535703332563255,0.00535172443182787,-1
Retinoic acid,15,16,20.2464062879267,20.6704861591618,-0.424079871235097,0.154498226676337,0
