Name,Count_-2,Count_-6,Mean_-2,Mean_-6,Fold_change_-2_vs_-6,P_value_A_-2_vs_-6,Flag_A_-2_vs_-6
(±)13-HODE,3,3,24.4220292504872,25.873183991102,-1.45115474061483,0.000652349750482505,-1
10,11-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydropicene-4a(2H)-carboxylic acid,3,3,26.8318787425522,26.9505974520494,-0.11871870949717,0.759574970698605,0
18-?-Glycyrrhetinic acid,3,3,25.9028131393658,26.1530404737365,-0.250227334370706,0.436218311498853,0
3,21,23-Trihydroxyolean-12-en-28-oic acid,3,3,26.3207151674532,26.5813819412697,-0.260666773816471,0.393844891242494,0
3-Acetoxylanosta-8,24-dien-21-oic acid,3,3,19.8640224890208,21.3838951979835,-1.51987270896274,0.125311797142933,0
8Z,11Z,14Z-Eicosatrienoic acid,3,3,20.6204571703129,22.5922692307984,-1.97181206048541,0.000583303003766107,-1
9-hydroxy-5b,8,8,11a-tetramethyl-1-(prop-1-en-2-yl)octadecahydro-1H-cyclopenta[a]chrysene-3a,5a-dicarboxylic acid,3,3,25.7769208773382,25.9962734283797,-0.219352551041545,0.545356955868797,0
Arachidonic acid,3,3,21.7917048905785,23.6477789501429,-1.8560740595644,0.0284906826734744,-1
Armatinol A,3,3,23.4795924580759,21.6938564431329,1.78573601494296,0.303748804225595,0
Citrulline,3,3,20.8892597529351,21.9314154278131,-1.04215567487799,0.0355989005239573,-1
DL-Glutamic acid,3,3,25.222954248367,25.1231142500759,0.0998399982910954,0.828049430296348,0
DL-Valine,3,3,23.2870773696298,24.422901556718,-1.13582418708825,0.0934490190805265,0
gamma-Linolenic Acid,3,3,24.4220292504872,25.873183991102,-1.45115474061483,0.000652349750482505,-1
Myristyl sulfate,3,3,28.1040177693545,28.9571226866448,-0.853104917290253,0.336384772817005,0
N-Methyl-D-Aspartic acid,3,3,25.1002656368494,25.1488888544974,-0.0486232176479717,0.931192063724575,0
