Name,Count_-2_pre,Count_-6_pre,Count_-6_2,Count_-2_2,Count_-6_4,Count_-6_6,Count_-2_6,Count_-6_8,Count_-2_8,Count_-2_10,Count_-6_10,Mean_-2_pre,Mean_-6_pre,Mean_-6_2,Mean_-2_2,Mean_-6_4,Mean_-6_6,Mean_-2_6,Mean_-6_8,Mean_-2_8,Mean_-2_10,Mean_-6_10,P_value_A_-2_pre_vs_-6_pre,P_value_A_-6_2_vs_-2_2,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,Flag_A_-2_pre_vs_-6_pre,Flag_A_-6_2_vs_-2_2,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10
2,2,6,6-Tetramethyl-4-piperidinol,3,1,3,3,3,1,3,3,3,3,3,26.5073448366658,26.7204227198753,26.6747690378787,26.4616911546692,27.0753807098006,26.868956661895,26.6558787786855,27.1849041430242,26.9718262598147,27.2632381248221,27.4763160080317,0.599608713002677,0.459578002391653,0.599608713002677,0.459578002391653,0.459578002391653,0,0,0,0,0
4-Guanidinobutanoic acid,3,1,3,3,3,1,3,3,3,3,3,21.9060768419222,23.4572501473056,21.0235457762473,21.2904252186422,22.025909757761,22.6960985610216,21.0681042600176,21.8387475074049,21.166651199952,20.6545471636899,20.7651358877052,0.169654281007132,0.731798434598633,0.15055729706435,0.392224693591762,0.88690802886035,0,0,0,0,0
Acetyl-L-carnitine,3,1,3,3,3,1,3,3,3,3,3,23.1403690949772,22.0833024393512,21.0489698961463,21.1616179886365,21.3086469070615,21.9197332233177,20.5108715851915,20.5118350179489,20.7472705996063,20.6727070398108,20.85945183143,0.271340535248918,0.866111715807582,0.147770715251381,0.72491577721539,0.780012794548287,0,0,0,0,0
Adenine,3,1,3,3,3,1,3,3,3,3,3,26.856164121097,27.907356579273,26.2572202901619,25.9341299894072,26.2755721528753,26.2731210020923,26.0303562659217,26.527563109158,26.6742532035794,26.8012174113284,26.8456943772946,0.0305182719110037,0.321011119758645,0.594329289190127,0.64868060614982,0.889838126261279,-1,0,0,0,0
Adenosine,3,1,3,3,3,1,3,3,3,3,3,29.4111019715637,29.4317595807351,29.5847495170497,29.5640919078784,29.509659097875,29.9405451118965,29.9198875027252,30.2181286573541,30.1974710481828,30.3391342839812,30.3597918931525,0.963370741928104,0.948218153824925,0.96337074192811,0.948218153824934,0.948218153824934,0,0,0,0,0
Betaine,3,1,3,3,3,1,3,3,3,3,3,30.2671256525812,30.5182380826436,30.4043733700467,30.2309033891192,30.257451464088,30.9782630350912,30.1931981867237,30.3313805622693,30.060621945935,30.1673745437744,30.292233891669,0.385423849538866,0.396245413410358,0.0123241587041828,0.191714687478103,0.539467394323349,0,0,1,0,0
Bis(methylbenzylidene)sorbitol,3,1,3,3,3,1,3,3,3,3,3,21.8883941990981,22.5884147493821,22.4669262438712,22.0651590413131,21.7256677952378,23.5762417534623,22.343396094595,22.5076638773515,22.6269117861839,22.7120973992603,22.5415136653755,0.291379066562789,0.389254119453036,0.0716054420974444,0.796395432903201,0.712332509479276,0,0,0,0,0
Choline,3,1,3,3,3,1,3,3,3,3,3,29.2860155061987,29.3259145968769,29.660260085211,29.6203609945328,29.3059355336923,29.6098036353003,29.5699045446221,29.8166224545415,29.7767233638634,29.9829790925211,30.0228781831993,0.881678792917798,0.833334182252272,0.881678792917798,0.833334182252301,0.833334182252287,0,0,0,0,0
Cytosine,3,1,3,3,3,1,3,3,3,3,3,26.0694268784351,27.2439358217818,25.884756610929,25.4182546331447,25.3350552449803,25.3848594298939,25.7909525044108,25.4474583309511,25.9422693051767,25.869097582525,25.962821658723,0.0487643724395429,0.250552052085546,0.474297692623886,0.223999967351728,0.814162111588285,-1,0,0,0,0
DEET,3,1,3,3,3,1,3,3,3,3,3,21.9192311968788,23.7677770183637,22.069694739993,20.928609392038,21.6527895462999,21.5129680245685,21.8085920319418,22.269255214699,21.6574774985668,22.0133375575377,20.6084427954339,0.196309519467302,0.256689824817519,0.832490732933543,0.537852456259865,0.1663967284236,0,0,0,0,0
