Name,Count_-6_pre,Count_-2_pre,Count_-6_2,Count_-2_2,Count_-2_4,Count_-6_4,Count_-6_6,Count_-2_6,Count_-6_8,Count_-2_8,Count_-2_10,Count_-6_10,Mean_-6_pre,Mean_-2_pre,Mean_-6_2,Mean_-2_2,Mean_-2_4,Mean_-6_4,Mean_-6_6,Mean_-2_6,Mean_-6_8,Mean_-2_8,Mean_-2_10,Mean_-6_10,P_value_A_-6_pre_vs_-2_pre,P_value_A_-6_2_vs_-2_2,P_value_A_-2_4_vs_-6_4,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,Flag_A_-6_pre_vs_-2_pre,Flag_A_-6_2_vs_-2_2,Flag_A_-2_4_vs_-6_4,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10
2,2,6,6-Tetramethyl-4-piperidinol,3,3,3,3,3,3,3,3,3,3,3,3,27.5095296319178,26.8278547659723,26.4913635866538,26.5000641560939,26.8307634790769,27.4367122858743,26.9328750075904,26.5906314134041,27.0973083447902,26.5307550105654,27.0446358451484,26.9363119406332,0.0328720827647141,0.977183202111795,0.0554912938096934,0.266841396312377,0.0720337391392591,0.722133905006223,1,0,0,0,0,0
4-Guanidinobutanoic acid,3,3,3,3,3,3,3,3,3,3,3,3,22.9184369916542,22.5218141927267,21.2827806720085,20.8861578730809,21.7158648868324,22.1124876857599,21.2613824226252,20.8647596236976,21.4366772294005,21.040054430473,20.1322269526979,20.5288497516254,0.637984082285277,0.637984082285277,0.637984082285277,0.637984082285277,0.637984082285277,0.637984082285277,0,0,0,0,0,0
Acetyl-L-carnitine,3,3,3,3,3,3,3,3,3,3,3,3,23.3926645618627,23.5333399434013,20.810165112427,21.2553903225557,22.5307571292742,21.6699784831351,22.5172923790979,20.4651511083702,20.3744165628463,20.3560220072257,20.2568949631965,20.5166575609722,0.885605277299293,0.649518792263219,0.382448263261991,0.0444341772437313,0.984987905234818,0.790611729535143,0,0,0,1,0,0
Adenine,3,3,3,3,3,3,3,3,3,3,3,3,28.2230796985662,27.249134969521,26.0184155064425,26.0279023233263,26.4532851521907,26.6369037289489,26.1971125702712,25.9846357891004,26.3901446540553,26.2830046111987,26.3854053347142,26.5029001068367,0.00366723539639405,0.975245138813812,0.549619720682923,0.489262506865414,0.726342477079174,0.701185930540215,1,0,0,0,0,0
Adenosine,3,3,3,3,3,3,3,3,3,3,3,3,30.0832592054649,29.6889302292724,29.3708318406055,29.6329771345224,29.9878624569082,29.8709906739486,29.5409006805313,29.8994958697797,29.8914450870289,29.9954875710245,29.8487579462594,30.0915618838021,0.205471060060153,0.395513469654913,0.70310515426232,0.24820829709797,0.734306436487972,0.430801245314489,0,0,0,0,0,0
Betaine,3,3,3,3,3,3,3,3,3,3,3,3,31.1504710775966,30.6600965010054,30.1655685863274,30.3246757230384,30.7271215622183,30.6187830401616,30.7415267739548,30.1474777099025,30.1939621071668,29.6693733535544,29.7515624671602,29.9494396212111,0.226882843746318,0.690949621438957,0.78642757591085,0.1460317502041,0.197076863637013,0.621311974733708,0,0,0,0,0,0
Bis(methylbenzylidene)sorbitol,3,3,3,3,3,3,3,3,3,3,3,3,22.3275388906237,22.3645986857521,22.1749965201278,22.2120563152563,22.2749010453522,22.2378412502238,22.2195311778164,22.2565909729449,22.2844244104618,22.3214842055903,22.2660322563462,22.2289724612178,0.943826289596313,0.943826289596318,0.943826289596313,0.943826289596307,0.943826289596313,0.943826289596313,0,0,0,0,0,0
Choline,3,3,3,3,3,3,3,3,3,3,3,3,29.8577673900666,29.6790736094221,29.5018311781908,29.6337574517529,29.618070423629,29.667267109766,29.5637171238264,29.564705945486,29.5989288535412,29.4657499173805,29.5266586142235,29.7205923144248,0.132115480867036,0.261114960807932,0.671620946886721,0.99318865819073,0.256733464644455,0.10362450854846,0,0,0,0,0,0
Cytosine,3,3,3,3,3,3,3,3,3,3,3,3,27.1426101161043,26.4623977268592,25.6459518272098,25.5120269670638,25.9227828817911,25.6963868210539,25.6354273551085,25.7452320275895,25.3100398758486,25.5510207127961,25.4532855059107,25.6200273882651,0.0785504213895014,0.720683966231007,0.546569352143976,0.769307965939984,0.521248305044857,0.656444662020451,0,0,0,0,0,0
DEET,3,3,3,3,3,3,3,3,3,3,3,3,22.1600474198532,22.3122020453028,21.8308899562737,21.0223817259573,21.3192507783865,22.0141211223735,21.9876601984763,21.7628715551205,22.1318367595964,21.2662289061862,21.5975254809235,20.265648524976,0.877748923541027,0.416862482216746,0.484531876462808,0.820278474776025,0.385210268674628,0.18618190006855,0,0,0,0,0,0
Deoxyadenosine,3,3,3,3,3,3,3,3,3,3,3,3,27.3108253298411,26.6251866819503,26.0357692016448,25.7079693167228,26.1797518365236,26.2843822877366,26.2387160008154,26.0436297885302,25.4043538535299,25.8623647025589,25.9843724467079,25.8081566564247,0.139676508749609,0.47224415261191,0.817643908276734,0.667691760745911,0.317683114389527,0.698067886561091,0,0,0,0,0,0
