Name,Count_-2_T0,Count_-6_6,Count_-6_4,Count_-2_4,Count_-2_10,Count_-6_8,Count_-2_8,Count_-6_T0,Count_-2_2,Count_-6_2,Count_-2_6,Count_-6_10,Mean_-2_T0,Mean_-6_6,Mean_-6_4,Mean_-2_4,Mean_-2_10,Mean_-6_8,Mean_-2_8,Mean_-6_T0,Mean_-2_2,Mean_-6_2,Mean_-2_6,Mean_-6_10,P_value_A_-2_T0_vs_-6_T0,P_value_A_-6_6_vs_-2_6,P_value_A_-6_4_vs_-2_4,P_value_A_-2_10_vs_-6_10,P_value_A_-6_8_vs_-2_8,P_value_A_-2_2_vs_-6_2,Flag_A_-2_T0_vs_-6_T0,Flag_A_-6_6_vs_-2_6,Flag_A_-6_4_vs_-2_4,Flag_A_-2_10_vs_-6_10,Flag_A_-6_8_vs_-2_8,Flag_A_-2_2_vs_-6_2
Cer(d16:0/16:3),3,3,3,3,3,3,3,3,3,3,3,3,21.5275017387226,20.8482301493292,21.3229258964157,21.3326690760135,21.0955331368157,21.0891502374019,20.8364335214859,21.3008531300083,20.9152567563949,21.3337910025549,21.3301448833732,21.2942334044642,0.503531522758257,0.161644443389504,0.976949743953498,0.557139059628459,0.456253918160554,0.221862205214118,0,0,0,0,0,0
Cer(d16:0/18:2),3,3,3,3,3,3,3,3,3,3,3,3,19.5466841259725,19.5414993565603,19.4687306203991,19.45123544371,19.6909013620148,19.7237113000932,19.7062161234041,19.5641793026616,19.6082695466131,19.6257647233022,19.5240041798712,19.7083965387039,0.974811828290324,0.974811828290324,0.974811828290324,0.974811828290324,0.974811828290324,0.974811828290324,0,0,0,0,0,0
Cer(d16:0/20:0),3,3,3,3,3,3,3,3,3,3,3,3,24.9504415395552,24.6159850320849,24.5844504382442,24.7957171072837,24.7623510664293,24.6393289108829,24.8505955799225,24.7391748705157,24.8467535637772,24.6354868947377,24.8272517011244,24.5510843973898,0.351263289980374,0.351263289980374,0.351263289980382,0.351263289980374,0.351263289980366,0.351263289980374,0,0,0,0,0,0
Cer(d18:0/14:0)_A,3,3,3,3,3,3,3,3,3,3,3,3,19.8053226292961,19.5925598180565,19.6221230879854,19.7317793527133,19.6877455331959,19.7417998655837,19.8514561303116,19.6956663645682,19.6798712637108,19.5702149989829,19.7022160827844,19.578089268468,0.681651084490152,0.681651084490152,0.681651084490152,0.681651084490152,0.681651084490152,0.681651084490152,0,0,0,0,0,0
Cer(d18:0/14:0)_B,3,3,3,3,3,3,3,3,3,3,3,3,23.4661183062605,22.8850515657421,22.8371676946086,23.1243929052535,23.44264564744,22.9747437628517,23.2619689734967,23.1788930956156,23.4111377205691,23.1239125099242,23.1722767763871,23.155420436795,0.555468865764337,0.555468865764337,0.555468865764337,0.555468865764337,0.555468865764337,0.555468865764337,0,0,0,0,0,0
Cer(d18:0/15:0),3,3,3,3,3,3,3,3,3,3,3,3,23.3366852958318,23.4129838821855,22.95827276122,23.4931309382788,23.6284400003093,23.3978712429991,23.3440081919044,23.454387471116,23.6005049389527,22.8953632269479,23.3027003100234,22.6426939331598,0.810335763350958,0.822070117639564,0.281111030716095,0.0533425144003083,0.912505390772937,0.158979135300428,0,0,0,0,0,0
Cer(d18:0/16:0(2OH))_A,3,3,3,3,3,3,3,3,3,3,3,3,24.9448228091316,24.838062585719,24.3682852209512,25.0621894654702,25.4278119979683,24.9634333647069,24.6466807154947,24.522326528286,24.7236897200863,24.73451015052,24.6959592748596,24.901458760034,0.256506088611045,0.699275479079345,0.0682762835901752,0.160521025423495,0.392135692168945,0.976496961143417,0,0,0,0,0,0
Cer(d18:0/16:0(2OH))_B,3,3,3,3,3,3,3,3,3,3,3,3,23.1524528130839,23.0813625897302,22.9174157901395,22.9105884893433,23.4318618631779,23.127316549138,23.0696614052682,23.1451391140612,23.0351062787991,23.3744402765429,22.7259123385013,22.6631918211551,0.984066484870893,0.336490859426634,0.985126009546299,0.0444527895034757,0.874934053479832,0.358445340051019,0,0,0,1,0,0
Cer(d18:0/16:0)_A,3,3,3,3,3,3,3,3,3,3,3,3,24.7422794770934,25.1305364078358,24.6048366655818,24.8355382793058,24.7178058622283,24.8852578884746,24.6534681703919,24.7385155510664,24.7815576257247,24.6757538187044,24.5075833610989,25.0201767112182,0.992052154752698,0.108730436580284,0.543077562888492,0.426683647891408,0.541191890950045,0.779646226551091,0,0,0,0,0,0
Cer(d18:0/16:0)_B,3,3,3,3,3,3,3,3,3,3,3,3,24.9637668199679,24.7140506840705,24.7522539952311,24.7985193741983,24.8101435319159,24.7097377298986,24.7560031088658,24.9175014410007,24.6624229569283,24.6161575779611,24.7603160630377,24.7638781529487,0.871999866539264,0.871999866539264,0.871999866539254,0.871999866539264,0.871999866539254,0.871999866539245,0,0,0,0,0,0
