Name,Count_pre,Count_2,Count_4,Count_6,Count_8,Count_10,Mean_pre,Mean_2,Mean_4,Mean_6,Mean_8,Mean_10,Fold_change_pre_vs_2,Fold_change_pre_vs_4,Fold_change_pre_vs_6,Fold_change_pre_vs_8,Fold_change_pre_vs_10,Fold_change_2_vs_4,Fold_change_2_vs_6,Fold_change_2_vs_8,Fold_change_2_vs_10,Fold_change_4_vs_6,Fold_change_4_vs_8,Fold_change_4_vs_10,Fold_change_6_vs_8,Fold_change_6_vs_10,Fold_change_8_vs_10,P_value_A_pre_vs_2,P_value_A_pre_vs_4,P_value_A_pre_vs_6,P_value_A_pre_vs_8,P_value_A_pre_vs_10,P_value_A_2_vs_4,P_value_A_2_vs_6,P_value_A_2_vs_8,P_value_A_2_vs_10,P_value_A_4_vs_6,P_value_A_4_vs_8,P_value_A_4_vs_10,P_value_A_6_vs_8,P_value_A_6_vs_10,P_value_A_8_vs_10,Flag_A_pre_vs_2,Flag_A_pre_vs_4,Flag_A_pre_vs_6,Flag_A_pre_vs_8,Flag_A_pre_vs_10,Flag_A_2_vs_4,Flag_A_2_vs_6,Flag_A_2_vs_8,Flag_A_2_vs_10,Flag_A_4_vs_6,Flag_A_4_vs_8,Flag_A_4_vs_10,Flag_A_6_vs_8,Flag_A_6_vs_10,Flag_A_8_vs_10
2,2,6,6-Tetramethyl-4-piperidinol,5,6,4,5,6,6,26.9212708613339,26.5675437101464,27.0533995112864,26.7784478610311,27.0776788152919,27.3690906802993,0.353727151187528,-0.13212864995252,0.142823000302808,-0.156407953957974,-0.447819818965414,-0.485855801140048,-0.210904150884719,-0.510135105145501,-0.801546970152941,0.274951650255328,-0.0242793040054536,-0.315691169012894,-0.299230954260782,-0.590642819268222,-0.29141186500744,0.21973736789585,0.675044019499224,0.63094401259308,0.582932852534006,0.123460634319627,0.117230123314602,0.460114325670699,0.0682908778959792,0.00604948011771053,0.385675422864513,0.936084989745266,0.302107644249014,0.297200904867326,0.0456005361901885,0.287199846247941,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0
4-Guanidinobutanoic acid,5,6,4,5,6,6,22.3523681304737,21.1562991113172,21.7250465951532,21.1678730106227,21.5020129675509,20.7091551395701,1.19606901915651,0.627321535320519,1.18449511985103,0.850355162922842,1.64321299090363,-0.568747483835995,-0.0115738993054855,-0.345713856233672,0.447143971747121,0.55717358453051,0.223033627602323,1.01589145558312,-0.334139956928187,0.458717871052606,0.792857827980793,0.0477369112002916,0.334313134968606,0.0595603301235987,0.151616636744045,0.00835085140046037,0.362519008757854,0.984111895431236,0.534257860213329,0.422640231432804,0.390263905559561,0.719192111161765,0.109832221782232,0.566589736790611,0.43272699116861,0.16051321435127,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Acetyl-L-carnitine,5,6,4,5,6,6,22.7967122005,21.1046075562639,21.1203800985442,20.9249908031588,20.6288664226501,20.7653930494929,1.69210464423612,1.6763321019558,1.87172139734121,2.16784577784989,2.0313191510071,-0.0157725422803203,0.179616753105094,0.47574113361377,0.339214506770979,0.195389295385414,0.49151367589409,0.354987049051299,0.296124380508676,0.159597753665885,-0.136526626842791,0.00101353092112211,0.00273924094813978,0.000575794129795682,6.64012409698251e-05,0.000146047873169084,0.974427871748198,0.697594841217208,0.285085699482853,0.443458239715635,0.702780048554773,0.322466512655368,0.47285731305258,0.522821977329558,0.729817204822678,0.756611538117564,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Adenine,5,6,4,5,6,6,27.3219665496158,26.094988753657,26.2563469360874,26.1761710302033,26.6002217702412,26.822769508184,1.22697779595882,1.06561961352845,1.14579551941254,0.721744779374646,0.499197041431813,-0.161358182430362,-0.0811822765462757,-0.505233016584171,-0.727780754527004,0.0801759058840865,-0.343874834153809,-0.566422572096641,-0.424050740037895,-0.646598477980728,-0.222547737942833,6.68445347434763e-05,0.000977109643367211,0.000251064520737068,0.00978457591758045,0.0648077447495572,0.563791630591208,0.756335991517528,0.0509053092022097,0.00666747397300018,0.782028727507786,0.223852593716101,0.050315882103485,0.113467350737206,0.0191587290534965,0.37554173699465,1,1,1,1,0,0,0,0,-1,0,0,0,0,-1,0
Adenosine,5,6,4,5,6,6,29.5110755730352,29.5737343263364,29.62218814507,29.9174024539355,30.2071134666408,30.3487767024393,-0.0626587533012071,-0.111112572034816,-0.406326880900259,-0.696037893605599,-0.837701129404042,-0.0484538187336092,-0.343668127599052,-0.633379140304392,-0.775042376102835,-0.295214308865443,-0.584925321570783,-0.726588557369226,-0.289711012705339,-0.431374248503783,-0.141663235798443,0.782753900344234,0.659318088027086,0.0955306846113053,0.00466956332190661,0.00095448222022922,0.841409405980343,0.138571619371645,0.00658401344013289,0.00126731987116879,0.246787606150907,0.021826111728409,0.00546297512437268,0.20903873652754,0.0661517544054248,0.514662554622447,0,0,0,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0
Betaine,5,6,4,5,6,6,30.4442937637602,30.3169519934555,30.0816637913654,30.3921905249481,30.1953148679747,30.2291178315942,0.127341770304724,0.36262997239476,0.0521032388121192,0.248978895785513,0.215175932166012,0.235288202090036,-0.0752385314926052,0.121637125480788,0.0878341618612879,-0.310526733582641,-0.113651076609248,-0.147454040228748,0.196875656973393,0.163072693353893,-0.0338029636195003,0.49467287377588,0.0866900916443975,0.788273957255522,0.187306931864576,0.2524571620127,0.240748805479871,0.685713830079361,0.493893034810235,0.620536694884883,0.139420779114376,0.566972357136169,0.458579843768687,0.294073641405747,0.383213138462806,0.848584796708835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bis(methylbenzylidene)sorbitol,5,6,4,5,6,6,22.1154851358433,22.2653562564646,21.9126813637713,22.4727451920921,22.5666014456402,22.6261191461904,-0.14987112062127,0.202803772072013,-0.357260056248773,-0.451116309796884,-0.510634010347111,0.352674892693283,-0.207388935627502,-0.301245189175614,-0.360762889725841,-0.560063828320786,-0.653920081868897,-0.713437782419124,-0.0938562535481111,-0.153373954098338,-0.0595177005502272,0.669165517765787,0.602035339096557,0.333032844543128,0.204701481936318,0.152877291341039,0.348841424000747,0.554974896340343,0.370603329388243,0.285224333596764,0.156844493484448,0.0886274325108552,0.06458533839649,0.788790775670979,0.661934686416203,0.858538989555116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choline,5,6,4,5,6,6,29.4383599801737,29.6396241537443,29.4358328094447,29.6376382899674,29.7959865230749,30.0022422517326,-0.201264173570589,0.00252717072905284,-0.199278309793627,-0.357626542901123,-0.563882271558899,0.203791344299642,0.0019858637769623,-0.156362369330534,-0.36261809798831,-0.20180548052268,-0.360153713630176,-0.566409442287952,-0.158348233107496,-0.364603961765273,-0.206255728657776,0.223163569588,0.98882228777071,0.247493134912922,0.0355348905830346,0.00171158124781604,0.24657991500607,0.990269347135866,0.318582905581056,0.0261626921275758,0.268984359041285,0.0460675912433308,0.00284634897786173,0.335215102141303,0.0323715151908811,0.191407897970661,0,0,0,-1,-1,0,0,0,-1,0,-1,-1,0,-1,0
Cytosine,5,6,4,5,6,6,26.3983649734566,25.6508192359093,25.4234888706377,25.8078466840728,25.6941774319364,25.9152732344965,0.74754573754733,0.974876102818918,0.590518289383759,0.704187541520216,0.48309173896012,0.227330365271587,-0.157027448163571,-0.0433581960271141,-0.264453998587211,-0.384357813435159,-0.270688561298702,-0.491784363858798,0.113669252136457,-0.107426550423639,-0.221095802560097,0.0199010651999702,0.00713430812203423,0.0718851994423697,0.0274178279540124,0.12097037985479,0.485419069924001,0.606696311307845,0.881209147266619,0.365793803159857,0.260048485245354,0.407084802682908,0.137847287079775,0.709067018687818,0.724336275182253,0.448503308395664,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DEET,5,6,4,5,6,6,22.0455637685651,21.498465679888,21.4407096405482,21.6939850430355,21.9626799705054,21.3102037903583,0.547098088677114,0.604854128016836,0.351578725529549,0.0828837980596866,0.735359978206777,0.0577560393397221,-0.195519363147564,-0.464214290617427,0.188261889529663,-0.253275402487287,-0.521970329957149,0.130505850189941,-0.268694927469863,0.383781252677228,0.65247618014709,0.452814197536091,0.453724715984445,0.643020019243638,0.90896176452072,0.315061144631406,0.940411015346735,0.787479145822943,0.503590752008021,0.785433881380178,0.752648411166545,0.501179143285439,0.865894915730689,0.711197679361605,0.597431273341206,0.349194020702843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
