Pre incubation,Incubation ID,Incubation temperauture,ID,NH4,NO3,PO4,TFPA,TRS,TOC,FTOC,TN,FTN,MBC,MBN
-2,A,2,A-2-1,2.362051837,14.47329951,0.49970844,96.8989106,0.19479298,376.2948553,1026.64261,72.70542299,91.19905595,650.3477546,18.49363297
-2,A,2,A-2-2,2.096129289,23.01061973,0.360900403,82.52995868,0.113678371,335.6100064,1030.818086,77.3127318,121.9162869,695.2080792,44.60355514
-2,A,2,A-2-3,3.448802929,7.047420486,0.14043611,102.0128156,0.191309006,428.7256696,1066.230628,68.50454285,176.7352066,637.5049588,108.2306638
-2,B,4,B-2-1,3.812621395,19.82909675,0.384123496,97.43205586,0.192876261,369.6554634,1006.413848,51.57520458,87.58026864,636.7583848,36.00506405
-2,B,4,B-2-2,2.113002061,12.3055394,0.2341086,92.78922948,0.190348331,485.0181728,949.2524209,50.76329131,133.7032894,464.2342481,82.93999807
-2,B,4,B-2-3,0.98656999,25.19750875,0.379722698,54.4077894,0.079420882,389.3251022,1178.170915,61.36824368,108.7611532,788.8458132,47.3929095
-2,C,6,C-2-1,2.399072806,17.97858707,0.428637722,63.08053924,0.147050906,420.3140488,909.0099914,76.29195861,140.6450542,488.6959426,64.35309564
-2,C,6,C-2-2,3.756102874,4.558350717,0.293384637,137.3682664,0.204720211,353.7967474,892.8144886,31.4280936,74.40473254,539.0177411,42.97663894
-2,C,6,C-2-3,2.582703044,15.76233769,0.521156576,87.75350658,0.173282241,303.6546861,891.9651534,76.17300527,102.8513671,588.3104673,26.67836181
-2,D,8,D-2-1,2.025822629,20.49499266,0.348481887,87.30057383,0.037226135,491.0900365,763.7955407,41.4560592,89.21523088,272.7055042,47.75917167
-2,D,8,D-2-2,4.210705747,14.21289586,0.694496667,90.40832898,0.076918823,406.5543208,1009.165873,46.53165528,135.5776315,602.6115523,89.04597623
-2,D,8,D-2-3,3.219984713,23.12317204,0.317718912,75.15153644,0.11492188,463.6722328,1081.061498,51.10457238,161.9755165,617.3892656,110.8709441
-2,E,10,E-2-1,0.131615813,27.24241607,0.387167079,117.0728224,0.026757869,287.7050043,1113.086618,69.82423077,172.6150131,825.3816136,102.7907823
-2,E,10,E-2-2,3.034444745,16.61924104,0.431926195,112.0203799,0.012972468,372.8035415,1019.866363,53.90337321,108.3723507,647.0628214,54.46897753
-2,E,10,E-2-3,2.49516709,22.19531959,0.120470081,72.30076531,0.015383533,418.1380509,1109.495268,52.5133069,109.0909485,691.3572172,56.57764156
-2,Pre,-2,Pre-2-1,3.021616931,13.89303545,0.444816468,45.19400385,0.118045437,343.1159921,986.6923123,93.11746045,105.5355238,643.5763203,12.41806337
