Day,Date,Sample_ID,Res,Inc_temp,pre_inc
Day 1,11/14/2022,E-2-1,47.38489663,10,-2
Day 1,11/14/2022,E-2-2,51.58406174,10,-2
Day 1,11/14/2022,E-2-3,54.63654224,10,-2
Day 1,11/14/2022,E-6-1,62.75025866,10,-6
Day 1,11/14/2022,E-6-2,62.03939705,10,-6
Day 1,11/14/2022,E-6-3,84.39801225,10,-6
Day 1,11/14/2022,D-2-1,35.23781109,8,-2
Day 1,11/14/2022,D-2-2,30.97476198,8,-2
Day 1,11/14/2022,D-2-3,46.58331845,8,-2
Day 1,11/14/2022,D-6-1,43.80273717,8,-6
Day 1,11/14/2022,D-6-2,42.67522621,8,-6
Day 1,11/14/2022,D-6-3,46.43013984,8,-6
Day 1,11/14/2022,C-2-1,21.35753263,6,-2
Day 1,11/14/2022,C-2-2,19.79295753,6,-2
Day 1,11/14/2022,C-2-3,19.81290201,6,-2
Day 1,11/14/2022,C-6-1,20.56900322,6,-6
Day 1,11/14/2022,C-6-2,30.54683262,6,-6
Day 1,11/14/2022,C-6-3,34.30434006,6,-6
Day 1,11/14/2022,B-2-1,24.26192411,4,-2
Day 1,11/14/2022,B-2-2,26.5253633,4,-2
Day 1,11/14/2022,B-2-3,27.84872299,4,-2
Day 1,11/14/2022,B-6-1,23.54876472,4,-6
Day 1,11/14/2022,B-6-2,37.76488326,4,-6
Day 1,11/14/2022,B-6-3,30.31778502,4,-6
Day 1,11/14/2022,A-2-1,26.421301,2,-2
Day 1,11/14/2022,A-2-2,26.3550822,2,-2
Day 1,11/14/2022,A-2-3,18.26876228,2,-2
Day 1,11/14/2022,A-6-1,25.27167698,2,-6
Day 1,11/14/2022,A-6-2,19.45955432,2,-6
Day 1,11/14/2022,A-6-3,33.88605108,2,-6
Day 2,11/15/2022,E-2-1,71.77624234,10,-2
Day 2,11/15/2022,E-2-2,73.3112941,10,-2
Day 2,11/15/2022,E-2-3,79.64119167,10,-2
