Name,Wein_51407_22_Pre_2_2_L_Neg,Wein_51407_5_C_6_2_L_Neg,Wein_51407_4_B_2_2_L_Neg,Wein_51407_21_B_6_2_L_Neg,Wein_51407_25_A_6_1_L_Neg,Wein_51407_6_D_6_3_L_Neg,Wein_51407_9_E_2_1_L_Neg,Wein_51407_34_D_2_3_L_Neg,Wein_51407_20_Pre_2_3_L_Neg,Wein_51407_26_C_6_1_L_Neg,Wein_51407_17_A_6_3_L_Neg,Wein_51407_11_D_2_2_L_Neg,Wein_51407_18_B_6_3_L_Neg,Wein_51407_3_C_6_3_L_Neg,Wein_51407_15_D_6_2_L_Neg,Wein_51407_23_D_6_1_L_Neg,Wein_51407_14_C_2_2_L_Neg,Wein_51407_32_B_6_1_L_Neg,Wein_51407_35_Pre_6_1_L_Neg,Wein_51407_10_E_6_3_L_Neg,Wein_51407_27_E_6_2_L_Neg,Wein_51407_8_E_2_2_L_Neg,Wein_51407_7_Pre_6_2_L_Neg,Wein_51407_33_A_2_2_L_Neg,Wein_51407_19_A_2_1_L_Neg,Wein_51407_36_Pre_2_1_L_Neg,Wein_51407_1_B_2_3_L_Neg,Wein_51407_28_C_2_3_L_Neg,Wein_51407_13_E_2_3_L_Neg,Wein_51407_12_E_6_1_L_Neg,Wein_51407_30_C_2_1_L_Neg,Wein_51407_29_A_2_3_L_Neg,Wein_51407_24_D_2_1_L_Neg,Wein_51407_2_Pre_6_3_L_Neg,Wein_51407_31_B_2_1_L_Neg,Wein_51407_16_A_6_2_L_Neg
Cer(d18:0/14:0),22.888763163741,22.3841979376557,22.1560926852392,22.6315437068242,22.7276369655522,22.7579725389344,23.3272057462464,22.0556932770699,23.5894237104334,22.7073479713754,22.6514565818569,23.0512429620833,22.3647139305469,23.3465556115704,22.9864495800224,22.4645880815789,22.3598283380752,22.6122490939694,23.0552846319297,22.2200803120363,23.0070491609984,22.9376739631574,23.4964069076751,22.6868504934653,22.8365783797285,22.4629689922223,22.2982895809792,22.4939826229951,22.5291072375454,21.7723756186236,22.5351697253606,22.3202340251509,22.2564006862939,22.7588752380846,22.8733000177094,22.607815932483
Cer(d18:0/16:0)_A,24.1857005797506,24.0185286196121,23.3872206830719,24.3803347363872,24.1484800865122,24.4776186569006,24.8020244738507,23.8755952122182,25.0855328203595,24.2880484452424,24.0806244099706,24.3148914113572,24.0187865163648,24.6095900174042,24.6079379567687,24.1268157086268,23.8711679756531,23.901262566384,24.3495699717479,23.5915904357742,24.3486954905002,24.3695360850776,24.8433293820294,24.2476331816914,24.1717625713182,24.1999345863885,23.8296710414955,24.051978076116,24.0293725736913,23.5788060324529,23.8171080889192,23.6966994040477,23.7294928545149,24.0537350897738,24.5200678029041,23.7773287942165
Cer(d18:0/16:0)_B,24.4409576349927,24.1698667233976,24.0058663100494,24.5934439168893,24.3658976924334,24.9004756606387,24.7477814290667,24.357563719616,25.0374385321585,24.4340634688478,24.3770174127508,24.6731918959096,24.5321957560609,24.5965338645787,24.5163074813031,24.2699406507254,23.9941788657585,24.310740540321,24.8090015903852,23.8333481819776,24.6952192513297,25.0208998115213,24.9748133071676,24.8303361752304,24.6968536160619,24.5017614752193,24.1931073442871,24.6932914312185,24.261319301741,23.9728839130961,24.1304741703032,24.0716266899524,24.1964581458376,24.3580691246464,24.658628633437,24.2209354456922
Cer(d18:0/18:0),23.4667207310578,23.344440228418,22.8096232230984,23.3978931077715,23.6560837045271,23.8334357328835,24.0949148638438,23.2621441545373,24.3347045728116,23.4811202929086,23.2862876365753,23.6551203229875,23.5881521620349,23.995083241069,23.662385740791,23.3372734201835,22.9069761023337,23.3383263719929,23.887989886532,22.8033603693704,23.8275794718037,23.7884886343598,24.0860307857662,23.8527735643502,23.6597006176445,23.4674986507028,23.4480367004839,23.4805621072327,23.4610888141167,22.8828677065467,22.9754145184248,23.0930003407449,23.2181532169369,23.6817663123868,23.5658714925172,23.1840986775118
Cer(d18:0/24:0),20.9899495909404,19.7552282546955,20.1640707426628,20.6840111267184,21.3156987049322,21.617021713566,21.0914342951088,19.7137075298413,21.7032321074927,21.0164520259052,20.490590919702,20.7329952136839,21.2264778883548,20.7786482750289,20.5020467881779,21.1214953766935,19.8544541020919,19.6158603475218,20.9299452029734,20.4000589781425,21.0397647361418,20.7624507734583,20.7825990344962,20.0364855175226,21.1504939545645,20.2655632543578,20.252485891366,20.7480839040588,20.5291072375454,19.6719154368444,20.3037539233786,20.1539293393873,19.9490770043153,20.8063539482514,20.1143081172132,19.7723739122738
Cer(d18:1/16:0)_A,22.4667207310578,22.4148295563094,22.3006095756105,22.5226481387795,22.5229749228346,22.7125020224202,23.0774274371149,22.5953721491616,23.0127764779242,22.4781302503028,22.4176593972482,22.6623761389903,22.5692105983815,23.0968724011529,22.6793838171429,22.4950784488007,22.4576403614319,22.4024567094126,22.9184128071058,22.0602089752579,22.6609296023943,22.8094482529955,23.2022238032707,22.5897391585164,22.7730532419433,22.4780128724467,22.377240922374,22.5464500428892,22.6863211872381,22.1538700721078,22.391216764629,22.3298680845973,22.4244605355166,22.7561911535134,23.0121277224067,22.4717951375799
Cer(d18:1/16:0)_B,24.2903979584173,23.950464344667,23.7023167444769,24.2829005854816,24.3280295068429,24.6544964189847,24.8179075154574,23.9991097487035,25.2737365555201,24.4185504694765,24.0890366497868,24.5868510469705,24.1835312787014,24.9800810777297,24.5280846490794,24.1959400692816,24.2880925844763,23.9159840720908,24.6437530761524,23.6767578190369,24.4974308701114,24.633876688412,24.8651888159931,24.3073394278156,24.5421310212633,24.2707559235782,24.0464824305686,24.1653598755337,24.2324644390688,23.6942832498728,24.067280343816,23.9751638504511,24.0529308344599,24.4356057251174,24.6102656118756,24.1074773959089
Cer(d18:1/17:0)_A,21.9058142556802,21.4148295563094,21.1210020207709,21.3312220681262,21.6706810807401,21.9838040442376,22.6482457555158,21.2986700305624,22.5052927298808,21.5708654632667,21.505750726873,21.6815484482652,21.5174491706917,22.6953698799971,22.0417191783882,21.7322838647826,21.6477680856718,21.3940689239199,21.8201997969901,21.1046030946164,21.6818083320702,21.9206508153151,22.3017594768216,21.8844824240775,22.0921953139999,21.8225113789094,21.5077429466081,21.5309091919934,21.5665819429641,21.0852178847525,21.5079284867739,21.6608893281072,21.2977414816748,21.8722882184362,22.1417888536353,21.405069023779
Cer(d18:1/17:0)_B,22.8906677119263,22.7976866498391,22.3316364712311,22.670590610956,22.8798727329822,23.2517372494843,23.3780869152486,22.6340008300523,23.4512528901679,22.6763765843075,22.9370335563418,23.1611819959618,22.8301249523409,23.4733856338058,23.0251932812973,22.6801611337065,22.7482440851748,22.5169685905363,23.0782679499305,22.4000589781425,22.810617479725,23.2035261336387,23.524151898158,22.847420329856,23.0866070757376,22.712328461159,22.8234188321831,23.0263457640862,23.0039872552714,22.3893282335892,22.8805701853982,22.7078256420281,22.6455192274053,23.2285094908775,23.149330402648,22.7115487195777
Cer(d18:1/20:0),20.767557169604,20.3529018071662,20.1851323581906,20.5140861252761,21.1097240430297,21.5065977238724,20.4532297731107,20.5210624518989,21.5810602374987,20.8506431329351,20.59823164289,20.7512574200766,21.2818209221986,20.9930919432499,20.7148531606852,20.6360685495233,20.2197385661736,20.1716765025834,21.0276418768606,20.1262981657157,21.1930611466083,20.9997794650996,20.8716825780786,20.8420471577571,21.1647078137842,20.9138516904478,20.4520949170582,21.0021295266654,20.5758004729934,20.037564909161,20.4430287119808,20.5743803348525,20.0969224722867,21.036141029759,20.985410384031,20.4220421023828
